symbol,kind,param,value,total_return,max_drawdown,calmar,profit_factor,avg_trade,trade_count
SBER,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
GMKN,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_trend_fast_vol,0.0,0.0,0.0,0.0,0.0,0
SBER,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
GMKN,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_momo_long_osc,0.0,0.0,0.0,0.0,0.0,0
SBER,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
GMKN,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_trend_slow_vol,0.0,0.0,0.0,0.0,0.0,0
SBER,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
GMKN,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_momo_short_osc,0.0,0.0,0.0,0.0,0.0,0
SBER,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
GMKN,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_momo_trend_mix,0.0,0.0,0.0,0.0,0.0,0
SBER,regime,feature_set,fs_core_vol_volume,-0.09387194427534573,-0.18541581448312716,-0.5062779813956381,0.99822314077197,-74.79836197238734,554
GAZP,regime,feature_set,fs_core_vol_volume,-0.008472285224008447,-0.1076961710262867,-0.07866839780163135,0.9971632441482478,-136.64976167755654,30
LKOH,regime,feature_set,fs_core_vol_volume,-0.10352040029470921,-0.195151130574582,-0.5304627238895049,0.9980229656370919,-84.09455750991764,548
GMKN,regime,feature_set,fs_core_vol_volume,-0.045972964311869924,-0.14478723160921692,-0.3175208462853389,0.9978746201029504,-95.77700898306209,221
ROSN,regime,feature_set,fs_core_vol_volume,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_vol_volume,-0.04516494284465733,-0.1424513918826723,-0.3170551178738687,0.9984807895185185,-64.89215925956475,305
SBER,regime,feature_set,fs_core_all_light,0.0,0.0,0.0,0.0,0.0,0
GAZP,regime,feature_set,fs_core_all_light,0.0,0.0,0.0,0.0,0.0,0
LKOH,regime,feature_set,fs_core_all_light,-0.0009260220887827852,-0.10094393693156856,-0.009173627628676202,0.99691406013288,-154.3370147971218,3
GMKN,regime,feature_set,fs_core_all_light,0.0,0.0,0.0,0.0,0.0,0
ROSN,regime,feature_set,fs_core_all_light,0.0,0.0,0.0,0.0,0.0,0
YNDX,regime,feature_set,fs_core_all_light,-2.6577441475605923e-05,-0.10006999999999999,-0.0002655885028040964,0.9997344114971967,-13.288720737764379,1
SBER,regime,feature_set,fs_core_price_osc,-0.27202496246937735,-0.34584443359954165,-0.7865529586182644,0.9983563095343025,-62.91049085785779,1926
GAZP,regime,feature_set,fs_core_price_osc,-0.2834115939030487,-0.35895000496864937,-0.7895572920462888,0.9980334259733332,-75.83933473455994,1707
LKOH,regime,feature_set,fs_core_price_osc,-0.3925719216916398,-0.39293932635780593,-0.9990649837226229,0.9974194172222569,-94.45907644168415,1862
GMKN,regime,feature_set,fs_core_price_osc,-0.3674014474377232,-0.3676778714795297,-0.9992481896158336,0.9974916800781165,-94.96031208005265,1742
ROSN,regime,feature_set,fs_core_price_osc,-0.3061990123099264,-0.3804719458849871,-0.8047873584941985,0.9981428747218859,-69.73332095420811,1981
YNDX,regime,feature_set,fs_core_price_osc,-0.24564672962659084,-0.32088767681681296,-0.7655224783431762,0.9980708806880488,-74.21351348235312,1476
