begin,open,high,low,close,volume
2022-01-03 06:50:00+00:00,217.04,217.04,217.04,217.04,250
2022-01-03 07:00:00+00:00,217.14,217.96,216.12,216.84,66970
2022-01-03 07:10:00+00:00,216.84,217.06,216.38,217.06,22810
2022-01-03 07:20:00+00:00,217.04,217.2,216.92,217.14,8100
2022-01-03 07:30:00+00:00,217.12,217.66,217.12,217.58,5770
2022-01-03 07:40:00+00:00,217.5,217.62,217.38,217.44,14940
2022-01-03 07:50:00+00:00,217.6,217.66,217.44,217.52,6220
2022-01-03 08:00:00+00:00,217.52,218.0,217.5,217.8,33770
2022-01-03 08:10:00+00:00,217.84,218.4,217.66,218.4,81300
2022-01-03 08:20:00+00:00,218.36,218.4,218.2,218.34,8160
2022-01-03 08:30:00+00:00,218.38,218.4,218.22,218.4,9860
2022-01-03 08:40:00+00:00,218.4,218.94,218.36,218.62,46480
2022-01-03 08:50:00+00:00,218.54,218.84,218.5,218.78,30010
2022-01-03 09:00:00+00:00,218.66,218.9,218.64,218.8,21640
2022-01-03 09:10:00+00:00,218.86,218.9,218.48,218.52,15580
2022-01-03 09:20:00+00:00,218.68,218.88,218.6,218.7,12310
2022-01-03 09:30:00+00:00,218.66,218.7,218.38,218.42,11410
2022-01-03 09:40:00+00:00,218.4,218.46,218.0,218.14,44200
2022-01-03 09:50:00+00:00,218.04,218.34,217.7,218.28,36920
2022-01-03 10:00:00+00:00,218.18,218.4,217.92,218.4,47220
2022-01-03 10:10:00+00:00,218.36,218.8,218.36,218.6,75060
2022-01-03 10:20:00+00:00,218.66,219.0,218.56,218.88,144650
2022-01-03 10:30:00+00:00,218.94,219.04,218.28,218.38,99990
2022-01-03 10:40:00+00:00,218.28,218.52,217.92,217.98,82680
2022-01-03 10:50:00+00:00,217.9,218.24,217.8,217.9,60920
2022-01-03 11:00:00+00:00,218.02,218.36,217.9,218.24,199820
2022-01-03 11:10:00+00:00,218.24,218.4,218.2,218.36,31880
2022-01-03 11:20:00+00:00,218.36,218.38,217.76,217.96,187400
2022-01-03 11:30:00+00:00,217.96,218.1,217.88,217.88,39830
2022-01-03 11:40:00+00:00,218.0,218.1,217.5,217.66,66070
2022-01-03 11:50:00+00:00,217.56,218.26,217.52,218.26,80660
2022-01-03 12:00:00+00:00,218.26,218.26,218.04,218.16,12730
2022-01-03 12:10:00+00:00,218.12,218.18,218.0,218.16,44760
2022-01-03 12:20:00+00:00,218.18,218.26,217.84,218.02,132370
2022-01-03 12:30:00+00:00,218.1,218.16,217.98,218.12,9650
2022-01-03 12:40:00+00:00,218.14,218.14,217.74,217.9,35770
2022-01-03 12:50:00+00:00,217.8,218.0,217.8,217.88,61780
2022-01-03 13:00:00+00:00,217.88,217.92,217.74,217.82,9890
2022-01-03 13:10:00+00:00,217.82,218.0,217.64,218.0,60940
2022-01-03 13:20:00+00:00,218.0,218.0,217.7,217.76,20040
2022-01-03 13:30:00+00:00,217.76,217.98,217.72,217.9,31020
2022-01-03 13:40:00+00:00,217.9,217.96,217.68,217.68,22730
2022-01-03 13:50:00+00:00,217.68,217.92,217.68,217.9,13410
2022-01-03 14:00:00+00:00,217.9,217.96,217.76,217.96,18790
2022-01-03 14:10:00+00:00,217.96,217.96,217.74,217.88,10880
2022-01-03 14:20:00+00:00,217.88,217.88,217.66,217.8,24210
2022-01-03 14:30:00+00:00,217.8,217.8,217.66,217.8,30910
2022-01-03 14:40:00+00:00,217.86,217.96,217.84,217.96,17390
2022-01-03 14:50:00+00:00,217.96,218.0,217.92,218.0,22850
2022-01-03 15:00:00+00:00,217.92,217.92,217.62,217.7,79580
2022-01-03 15:10:00+00:00,217.7,218.06,217.7,218.0,122520
2022-01-03 15:20:00+00:00,218.1,218.22,217.98,218.16,137610
2022-01-03 15:30:00+00:00,218.04,218.16,217.96,218.14,11210
2022-01-03 15:40:00+00:00,218.06,218.14,218.02,218.12,12290
2022-01-03 15:50:00+00:00,218.1,218.36,218.1,218.36,166480
2022-01-03 16:00:00+00:00,218.34,218.5,218.2,218.44,13290
2022-01-03 16:10:00+00:00,218.44,218.66,218.34,218.6,40360
2022-01-03 16:20:00+00:00,218.6,218.66,218.42,218.42,79330
2022-01-03 16:30:00+00:00,218.48,218.5,218.2,218.2,12440
2022-01-03 16:40:00+00:00,218.2,218.2,218.02,218.12,21720
2022-01-03 16:50:00+00:00,218.12,218.12,217.98,218.08,25010
2022-01-03 17:00:00+00:00,218.04,218.32,218.0,218.3,15790
2022-01-03 17:10:00+00:00,218.3,218.3,217.84,217.84,18880
2022-01-03 17:20:00+00:00,217.96,218.14,217.82,217.98,27840
2022-01-03 17:30:00+00:00,218.06,218.4,217.98,218.08,31430
2022-01-03 17:40:00+00:00,218.08,218.14,217.58,217.66,86980
2022-01-03 17:50:00+00:00,217.7,217.8,217.04,217.74,471420
2022-01-03 18:00:00+00:00,217.74,217.88,217.54,217.58,41590
2022-01-03 18:10:00+00:00,217.58,217.76,217.54,217.6,45060
2022-01-03 18:20:00+00:00,217.56,217.9,217.52,217.88,49160
2022-01-03 18:30:00+00:00,217.88,218.32,217.7,218.32,69320
2022-01-03 18:40:00+00:00,218.56,218.56,218.56,218.56,55090
2022-01-03 19:00:00+00:00,218.22,218.56,217.9,218.02,11750
2022-01-03 19:10:00+00:00,218.02,218.2,217.98,218.12,15330
2022-01-03 19:20:00+00:00,218.18,218.2,218.08,218.16,2960
2022-01-03 19:30:00+00:00,218.16,218.18,218.06,218.14,4420
2022-01-03 19:40:00+00:00,218.14,218.7,218.12,218.6,74180
2022-01-03 19:50:00+00:00,218.66,218.66,218.26,218.38,15550
2022-01-03 20:00:00+00:00,218.38,218.5,218.28,218.5,9030
2022-01-03 20:10:00+00:00,218.42,218.48,218.12,218.22,12270
2022-01-03 20:20:00+00:00,218.22,218.26,218.1,218.16,2410
2022-01-03 20:30:00+00:00,218.22,218.34,218.08,218.28,22920
2022-01-03 20:40:00+00:00,218.28,218.28,218.12,218.14,4720
2022-01-03 20:50:00+00:00,218.14,218.28,218.14,218.2,4280
2022-01-03 21:00:00+00:00,218.14,218.2,218.08,218.2,6540
2022-01-03 21:10:00+00:00,218.22,218.32,218.1,218.26,11630
2022-01-03 21:20:00+00:00,218.26,218.32,218.1,218.22,4560
2022-01-03 21:30:00+00:00,218.22,218.36,218.22,218.34,1800
2022-01-03 21:40:00+00:00,218.34,218.36,218.24,218.3,1720
2022-01-03 21:50:00+00:00,218.34,218.36,218.26,218.26,2790
2022-01-03 22:00:00+00:00,218.32,218.34,218.22,218.28,4910
2022-01-03 22:10:00+00:00,218.3,218.34,218.22,218.34,5080
2022-01-03 22:20:00+00:00,218.34,218.36,218.16,218.28,10300
2022-01-03 22:30:00+00:00,218.18,218.34,218.18,218.28,9540
2022-01-03 22:40:00+00:00,218.18,218.34,218.18,218.32,6950
2022-01-03 22:50:00+00:00,218.3,218.34,218.14,218.24,16390
2022-01-03 23:00:00+00:00,218.24,218.44,218.14,218.28,18190
2022-01-03 23:10:00+00:00,218.38,218.5,218.24,218.5,21970
2022-01-03 23:20:00+00:00,218.5,218.5,218.42,218.48,7300
2022-01-03 23:30:00+00:00,218.48,218.62,218.38,218.62,60000
2022-01-03 23:40:00+00:00,218.64,218.68,218.28,218.68,15000
2022-01-04 06:50:00+00:00,218.8,218.8,218.8,218.8,10
2022-01-04 07:00:00+00:00,218.88,219.0,218.7,218.98,22070
2022-01-04 07:10:00+00:00,218.98,219.0,218.5,218.6,29470
2022-01-04 07:20:00+00:00,218.5,218.58,218.22,218.32,9240
2022-01-04 07:30:00+00:00,218.22,218.62,218.22,218.44,8180
2022-01-04 07:40:00+00:00,218.58,218.8,218.58,218.64,6170
2022-01-04 07:50:00+00:00,218.68,218.8,218.6,218.62,12800
2022-01-04 08:00:00+00:00,218.72,219.0,218.56,218.58,13590
2022-01-04 08:10:00+00:00,218.58,218.82,218.26,218.5,10980
2022-01-04 08:20:00+00:00,218.46,218.82,218.32,218.76,12020
2022-01-04 08:30:00+00:00,218.76,218.78,218.2,218.54,16900
2022-01-04 08:40:00+00:00,218.54,218.6,218.42,218.58,9090
2022-01-04 08:50:00+00:00,218.56,218.66,218.3,218.66,21590
2022-01-04 09:00:00+00:00,218.62,218.7,218.1,218.48,31320
2022-01-04 09:10:00+00:00,218.52,218.7,218.4,218.56,12810
2022-01-04 09:20:00+00:00,218.56,218.62,218.16,218.5,11310
2022-01-04 09:30:00+00:00,218.34,218.54,218.26,218.32,12290
2022-01-04 09:40:00+00:00,218.32,218.44,218.04,218.2,76180
2022-01-04 09:50:00+00:00,218.22,218.7,218.08,218.48,14050
2022-01-04 10:00:00+00:00,218.3,218.52,218.0,218.1,57290
2022-01-04 10:10:00+00:00,218.0,218.28,217.34,217.52,113960
2022-01-04 10:20:00+00:00,217.64,218.0,217.42,217.8,16840
2022-01-04 10:30:00+00:00,217.82,217.82,217.3,217.8,61810
2022-01-04 10:40:00+00:00,217.88,218.1,217.44,217.56,17700
2022-01-04 10:50:00+00:00,217.54,218.06,217.42,218.06,12090
2022-01-04 11:00:00+00:00,218.06,219.4,217.92,218.98,488660
2022-01-04 11:10:00+00:00,219.1,219.18,218.24,218.64,174310
2022-01-04 11:20:00+00:00,218.58,218.66,217.86,218.36,508220
2022-01-04 11:30:00+00:00,218.4,218.44,218.02,218.12,97030
2022-01-04 11:40:00+00:00,218.12,218.16,217.68,217.86,70070
2022-01-04 11:50:00+00:00,217.76,217.86,217.36,217.7,84000
2022-01-04 12:00:00+00:00,217.7,218.04,217.66,218.04,58570
2022-01-04 12:10:00+00:00,218.04,218.14,217.7,218.0,61380
2022-01-04 12:20:00+00:00,217.94,218.18,217.84,217.94,68220
2022-01-04 12:30:00+00:00,217.84,218.08,217.76,217.88,39430
2022-01-04 12:40:00+00:00,217.88,218.2,217.78,218.12,40280
2022-01-04 12:50:00+00:00,218.12,218.12,217.32,217.7,77070
2022-01-04 13:00:00+00:00,217.7,217.96,217.56,217.74,106580
2022-01-04 13:10:00+00:00,217.74,218.34,217.74,218.08,83920
