begin,open,high,low,close,volume
2022-01-03 06:50:00+00:00,4569.4,4569.4,4569.4,4569.4,191
2022-01-03 07:00:00+00:00,4570.0,4625.0,4569.4,4602.2,10676
2022-01-03 07:10:00+00:00,4606.4,4606.6,4588.4,4599.0,5221
2022-01-03 07:20:00+00:00,4598.4,4599.8,4582.8,4584.2,2399
2022-01-03 07:30:00+00:00,4586.2,4596.8,4575.0,4592.4,2648
2022-01-03 07:40:00+00:00,4593.2,4594.4,4572.0,4576.6,4100
2022-01-03 07:50:00+00:00,4576.6,4593.0,4573.4,4590.8,1521
2022-01-03 08:00:00+00:00,4587.4,4592.8,4584.2,4591.0,1199
2022-01-03 08:10:00+00:00,4591.2,4598.4,4588.8,4593.4,1122
2022-01-03 08:20:00+00:00,4593.4,4595.8,4585.0,4587.0,1201
2022-01-03 08:30:00+00:00,4590.0,4596.0,4583.0,4595.4,856
2022-01-03 08:40:00+00:00,4592.0,4600.0,4592.0,4598.4,4806
2022-01-03 08:50:00+00:00,4599.2,4600.0,4596.0,4598.6,2607
2022-01-03 09:00:00+00:00,4599.8,4600.0,4596.2,4596.4,2199
2022-01-03 09:10:00+00:00,4596.6,4598.4,4590.0,4592.0,2486
2022-01-03 09:20:00+00:00,4592.0,4599.8,4590.0,4599.0,1107
2022-01-03 09:30:00+00:00,4599.0,4600.0,4592.2,4595.6,2064
2022-01-03 09:40:00+00:00,4595.6,4598.2,4592.0,4598.2,1050
2022-01-03 09:50:00+00:00,4598.2,4600.0,4582.2,4594.6,5437
2022-01-03 10:00:00+00:00,4593.4,4606.6,4585.0,4589.6,18440
2022-01-03 10:10:00+00:00,4589.6,4603.0,4588.2,4597.0,6961
2022-01-03 10:20:00+00:00,4597.0,4606.6,4593.6,4606.6,6267
2022-01-03 10:30:00+00:00,4606.6,4630.6,4603.4,4620.4,24586
2022-01-03 10:40:00+00:00,4620.2,4631.8,4617.6,4623.8,5770
2022-01-03 10:50:00+00:00,4621.0,4621.0,4603.4,4607.0,11826
2022-01-03 11:00:00+00:00,4610.6,4617.6,4607.4,4610.2,4486
2022-01-03 11:10:00+00:00,4611.0,4622.4,4602.2,4621.8,8869
2022-01-03 11:20:00+00:00,4620.2,4626.6,4608.0,4625.0,7677
2022-01-03 11:30:00+00:00,4624.8,4627.6,4615.0,4622.0,6114
2022-01-03 11:40:00+00:00,4622.0,4630.0,4617.0,4624.0,6173
2022-01-03 11:50:00+00:00,4623.0,4631.8,4621.0,4629.6,6856
2022-01-03 12:00:00+00:00,4628.2,4630.4,4603.0,4613.0,16479
2022-01-03 12:10:00+00:00,4613.0,4623.4,4610.0,4614.2,4577
2022-01-03 12:20:00+00:00,4614.2,4618.6,4603.8,4606.2,11391
2022-01-03 12:30:00+00:00,4606.6,4613.8,4605.0,4612.0,5597
