begin,open,high,low,close,volume
2022-01-17 06:50:00+00:00,227.0,227.0,227.0,227.0,148
2022-01-17 07:00:00+00:00,227.2,227.46,225.16,225.98,5486
2022-01-17 07:10:00+00:00,225.96,226.08,223.36,224.74,5754
2022-01-17 07:20:00+00:00,224.6,225.8,224.6,225.0,1713
2022-01-17 07:30:00+00:00,225.08,225.8,224.86,225.02,1315
2022-01-17 07:40:00+00:00,225.0,225.44,224.5,224.86,1156
2022-01-17 07:50:00+00:00,224.86,225.18,224.7,225.18,619
2022-01-17 08:00:00+00:00,225.08,225.8,225.08,225.3,1122
2022-01-17 08:10:00+00:00,225.3,226.2,225.3,226.08,2261
2022-01-17 08:20:00+00:00,226.12,226.12,225.4,225.64,750
2022-01-17 08:30:00+00:00,225.46,225.62,225.06,225.24,838
2022-01-17 08:40:00+00:00,225.2,225.72,225.18,225.56,311
2022-01-17 08:50:00+00:00,225.72,225.78,225.4,225.78,246
2022-01-17 09:00:00+00:00,225.74,226.18,225.42,226.12,740
2022-01-17 09:10:00+00:00,226.12,226.56,225.76,225.94,2249
2022-01-17 09:20:00+00:00,226.08,226.5,225.74,226.48,1295
2022-01-17 09:30:00+00:00,226.36,227.46,226.3,226.78,2133
2022-01-17 09:40:00+00:00,226.78,226.88,226.2,226.26,1275
2022-01-17 09:50:00+00:00,226.3,226.5,225.78,226.24,956
2022-01-17 10:00:00+00:00,226.26,227.5,225.72,227.08,5330
2022-01-17 10:10:00+00:00,227.08,227.4,226.5,226.68,2041
2022-01-17 10:20:00+00:00,226.68,227.46,226.44,227.34,3750
2022-01-17 10:30:00+00:00,227.34,227.56,226.9,227.1,1778
2022-01-17 10:40:00+00:00,227.0,227.36,226.68,226.8,953
2022-01-17 10:50:00+00:00,226.7,227.2,225.1,225.1,4054
2022-01-17 11:00:00+00:00,225.1,226.5,223.8,225.92,10971
2022-01-17 11:10:00+00:00,225.88,226.1,224.26,225.2,4218
2022-01-17 11:20:00+00:00,225.24,225.5,224.58,224.78,2998
2022-01-17 11:30:00+00:00,224.96,225.0,224.26,224.52,2502
2022-01-17 11:40:00+00:00,224.52,224.9,223.6,223.98,6363
2022-01-17 11:50:00+00:00,223.84,224.34,222.8,223.76,5898
2022-01-17 12:00:00+00:00,223.66,224.46,223.16,223.76,2594
2022-01-17 12:10:00+00:00,223.56,223.78,222.84,223.58,3384
2022-01-17 12:20:00+00:00,223.56,224.88,223.18,224.74,3341
2022-01-17 12:30:00+00:00,224.72,225.18,224.14,224.94,3855
2022-01-17 12:40:00+00:00,225.08,225.26,223.82,224.12,3849
2022-01-17 12:50:00+00:00,224.18,224.38,223.32,223.84,1793
2022-01-17 13:00:00+00:00,223.72,223.98,222.64,222.94,4979
2022-01-17 13:10:00+00:00,222.92,223.74,222.18,223.36,6046
2022-01-17 13:20:00+00:00,223.22,223.6,222.42,223.0,2983
2022-01-17 13:30:00+00:00,223.0,223.36,222.42,222.82,3602
2022-01-17 13:40:00+00:00,222.82,222.82,222.32,222.48,2108
2022-01-17 13:50:00+00:00,222.54,223.1,222.42,223.1,2258
2022-01-17 14:00:00+00:00,223.1,223.4,222.08,222.86,7622
2022-01-17 14:10:00+00:00,222.72,223.0,222.5,222.88,1509
2022-01-17 14:20:00+00:00,222.84,222.98,221.74,221.88,4810
2022-01-17 14:30:00+00:00,221.9,222.38,221.4,221.86,4818
2022-01-17 14:40:00+00:00,221.86,222.18,220.72,221.48,7923
2022-01-17 14:50:00+00:00,221.42,222.04,221.4,221.76,3118
2022-01-17 15:00:00+00:00,221.66,222.34,221.3,222.04,4020
2022-01-17 15:10:00+00:00,221.9,222.04,220.94,221.2,2336
2022-01-17 15:20:00+00:00,221.26,221.56,220.9,221.4,2671
2022-01-17 15:30:00+00:00,221.4,221.54,220.6,221.06,4202
2022-01-17 15:40:00+00:00,220.98,220.98,220.02,220.12,7016
2022-01-17 15:50:00+00:00,220.1,220.8,219.84,220.08,6246
2022-01-17 16:00:00+00:00,220.02,220.58,219.5,220.4,6231
2022-01-17 16:10:00+00:00,220.4,220.4,219.76,220.32,3272
2022-01-17 16:20:00+00:00,220.34,220.34,218.52,218.86,10646
2022-01-17 16:30:00+00:00,218.86,218.86,217.16,217.5,20192
2022-01-17 16:40:00+00:00,217.52,219.34,217.02,219.1,9856
2022-01-17 16:50:00+00:00,219.0,219.68,218.36,218.38,10014
2022-01-17 17:00:00+00:00,218.5,218.56,218.0,218.3,3091
2022-01-17 17:10:00+00:00,218.2,219.1,218.16,218.68,3673
2022-01-17 17:20:00+00:00,218.72,218.88,218.14,218.36,3516
2022-01-17 17:30:00+00:00,218.34,218.52,217.96,218.16,4852
2022-01-17 17:40:00+00:00,218.1,218.12,216.6,216.6,14256
2022-01-17 17:50:00+00:00,216.6,217.18,215.52,215.88,14164
2022-01-17 18:00:00+00:00,215.94,217.6,215.88,217.0,15925
2022-01-17 18:10:00+00:00,217.06,217.44,217.0,217.14,9227
2022-01-17 18:20:00+00:00,217.06,217.14,215.9,216.96,12586
2022-01-17 18:30:00+00:00,216.94,219.3,216.64,219.26,21538
2022-01-17 18:40:00+00:00,218.18,218.18,218.18,218.18,29583
2022-01-17 19:00:00+00:00,217.22,218.18,216.68,217.68,10066
2022-01-17 19:10:00+00:00,217.68,217.8,217.0,217.06,4157
2022-01-17 19:20:00+00:00,217.08,218.34,217.0,218.06,4335
2022-01-17 19:30:00+00:00,218.06,218.96,217.8,218.14,3605
2022-01-17 19:40:00+00:00,218.18,218.86,218.0,218.7,1279
2022-01-17 19:50:00+00:00,218.7,219.42,218.7,219.28,3215
2022-01-17 20:00:00+00:00,219.26,219.36,218.16,218.6,2772
2022-01-17 20:10:00+00:00,218.64,219.02,218.54,218.6,963
2022-01-17 20:20:00+00:00,218.68,219.1,218.6,218.82,682
2022-01-17 20:30:00+00:00,218.82,219.0,218.3,218.86,1082
2022-01-17 20:40:00+00:00,218.98,218.98,218.38,218.46,642
2022-01-17 20:50:00+00:00,218.4,218.46,218.08,218.32,624
2022-01-17 21:00:00+00:00,218.32,218.98,218.3,218.8,559
2022-01-17 21:10:00+00:00,218.82,218.82,218.46,218.68,845
2022-01-17 21:20:00+00:00,218.68,218.88,218.54,218.8,1119
2022-01-17 21:30:00+00:00,218.8,218.8,218.52,218.72,745
2022-01-17 21:40:00+00:00,218.72,218.86,218.52,218.68,683
2022-01-17 21:50:00+00:00,218.7,218.8,218.4,218.58,810
2022-01-17 22:00:00+00:00,218.58,218.62,217.84,217.96,1793
