iter	Passed	Remaining
0	174	52121
1	192	28710
2	211	20969
3	235	17399
4	254	15036
5	273	13380
6	289	12132
7	306	11188
8	323	10451
9	339	9850
10	355	9332
11	371	8915
12	388	8575
13	404	8253
14	420	7998
15	437	7769
16	454	7560
17	474	7430
18	493	7293
19	514	7205
20	539	7161
21	561	7099
22	585	7056
23	608	6995
24	631	6949
25	653	6891
26	671	6789
27	692	6724
28	713	6663
29	732	6594
30	749	6503
31	768	6439
32	787	6374
33	805	6305
34	823	6238
35	841	6172
36	858	6100
37	876	6040
38	894	5986
39	913	5934
40	931	5886
41	950	5840
42	968	5787
43	987	5742
44	1003	5688
45	1021	5637
46	1038	5589
47	1056	5546
48	1074	5504
49	1091	5456
50	1109	5414
51	1126	5371
52	1144	5332
53	1161	5289
54	1178	5250
55	1195	5209
56	1213	5172
57	1231	5140
58	1249	5104
59	1269	5077
60	1289	5053
61	1307	5019
62	1326	4990
63	1344	4959
64	1362	4925
65	1379	4892
66	1396	4858
67	1413	4821
68	1430	4789
69	1445	4750
70	1460	4711
71	1477	4678
72	1494	4646
73	1509	4608
74	1526	4578
75	1542	4547
76	1560	4519
77	1577	4489
78	1594	4460
79	1610	4427
80	1627	4400
81	1644	4370
82	1661	4345
83	1679	4318
84	1695	4289
85	1713	4263
86	1728	4232
87	1744	4202
88	1760	4173
89	1774	4141
90	1790	4111
91	1805	4082
92	1820	4052
93	1835	4022
94	1850	3993
95	1866	3966
96	1883	3940
97	1899	3915
98	1915	3889
99	1932	3864
100	1948	3838
101	1964	3813
102	1980	3788
103	1997	3765
104	2014	3740
105	2031	3718
106	2047	3693
107	2064	3671
108	2081	3646
109	2095	3620
110	2110	3593
111	2125	3568
112	2141	3543
113	2156	3518
114	2173	3496
115	2187	3470
116	2204	3447
117	2219	3422
118	2237	3403
119	2254	3381
120	2272	3361
121	2290	3341
122	2306	3319
123	2322	3297
124	2339	3275
125	2357	3255
126	2376	3237
127	2394	3217
128	2413	3198
129	2430	3178
130	2449	3159
131	2467	3140
132	2482	3117
133	2497	3093
134	2514	3072
135	2530	3051
136	2546	3029
137	2561	3007
138	2578	2986
139	2594	2965
140	2610	2943
141	2626	2922
142	2643	2901
143	2660	2882
144	2679	2864
145	2694	2842
146	2711	2822
147	2729	2803
148	2747	2783
149	2761	2761
150	2776	2739
151	2791	2717
152	2806	2696
153	2822	2675
154	2837	2654
155	2853	2634
156	2870	2614
157	2886	2593
158	2903	2574
159	2919	2554
160	2936	2534
161	2952	2514
162	2968	2495
163	2985	2475
164	3002	2456
165	3018	2436
166	3037	2419
167	3056	2401
168	3077	2385
169	3096	2367
170	3116	2351
171	3138	2335
172	3156	2317
173	3172	2297
174	3189	2277
175	3205	2258
176	3223	2239
177	3240	2220
178	3258	2202
179	3273	2182
180	3290	2163
181	3305	2143
182	3321	2123
183	3337	2103
184	3353	2084
185	3369	2065
186	3384	2045
187	3400	2025
188	3416	2006
189	3432	1987
190	3448	1967
191	3464	1948
192	3483	1931
193	3504	1914
194	3523	1897
195	3543	1880
196	3562	1862
197	3581	1844
198	3599	1826
199	3614	1807
200	3630	1788
201	3646	1768
202	3662	1749
203	3679	1731
204	3696	1712
205	3713	1694
206	3730	1675
207	3746	1657
208	3762	1638
209	3779	1619
210	3796	1601
211	3812	1582
212	3828	1563
213	3845	1545
214	3861	1526
215	3877	1508
216	3893	1489
217	3910	1470
218	3926	1452
219	3943	1433
220	3958	1415
221	3974	1396
222	3990	1377
223	4005	1358
224	4022	1340
225	4039	1322
226	4054	1303
227	4068	1284
228	4082	1265
229	4099	1247
230	4114	1228
231	4129	1210
232	4145	1192
233	4162	1174
234	4178	1155
235	4194	1137
236	4212	1119
237	4231	1102
238	4251	1085
239	4269	1067
240	4286	1049
241	4302	1031
242	4319	1013
243	4335	995
244	4350	976
245	4364	958
246	4380	939
247	4396	921
248	4412	903
249	4428	885
250	4443	867
251	4458	849
252	4474	831
253	4491	813
254	4506	795
255	4521	777
256	4537	759
257	4554	741
258	4571	723
259	4587	705
260	4605	688
261	4624	670
262	4644	653
263	4662	635
264	4681	618
265	4701	601
266	4720	583
267	4739	565
268	4757	548
269	4772	530
270	4789	512
271	4805	494
272	4821	476
273	4838	459
274	4858	441
275	4875	423
276	4896	406
277	4916	389
278	4935	371
279	4954	353
280	4973	336
281	4990	318
282	5009	300
283	5027	283
284	5045	265
285	5060	247
286	5076	229
287	5092	212
288	5110	194
289	5125	176
290	5142	159
291	5160	141
292	5180	123
293	5199	106
294	5217	88
295	5235	70
296	5252	53
297	5270	35
298	5289	17
299	5306	0
