begin,open,high,low,close,volume
2024-01-03 09:50:00+00:00,159.73,159.73,159.73,159.73,37690
2024-01-03 10:00:00+00:00,159.73,160.45,159.73,160.44,433100
2024-01-03 10:10:00+00:00,160.44,160.73,160.43,160.57,476390
2024-01-03 10:20:00+00:00,160.57,161.18,160.53,161.04,656730
2024-01-03 10:30:00+00:00,161.04,161.23,161.03,161.05,284400
2024-01-03 10:40:00+00:00,161.06,161.23,161.02,161.22,240780
2024-01-03 10:50:00+00:00,161.22,161.35,161.18,161.21,346950
2024-01-03 11:00:00+00:00,161.22,161.25,161.1,161.14,177460
2024-01-03 11:10:00+00:00,161.17,161.17,160.9,160.95,137430
2024-01-03 11:20:00+00:00,160.97,161.08,160.9,161.02,92020
2024-01-03 11:30:00+00:00,161.03,161.1,161.0,161.1,98660
2024-01-03 11:40:00+00:00,161.1,161.12,161.0,161.0,73020
2024-01-03 11:50:00+00:00,161.02,161.3,161.01,161.14,237090
2024-01-03 12:00:00+00:00,161.14,161.14,161.02,161.02,85070
2024-01-03 12:10:00+00:00,161.06,161.07,160.88,160.91,105780
2024-01-03 12:20:00+00:00,160.9,160.92,160.82,160.91,120620
2024-01-03 12:30:00+00:00,160.92,160.92,160.9,160.91,37740
2024-01-03 12:40:00+00:00,160.91,161.13,160.89,161.06,135280
2024-01-03 12:50:00+00:00,161.06,161.22,161.03,161.18,88060
2024-01-03 13:00:00+00:00,161.18,161.58,161.18,161.45,408750
2024-01-03 13:10:00+00:00,161.45,161.56,161.25,161.25,130410
2024-01-03 13:20:00+00:00,161.25,161.44,161.21,161.42,85400
2024-01-03 13:30:00+00:00,161.42,161.43,161.3,161.34,45790
2024-01-03 13:40:00+00:00,161.33,161.34,161.25,161.3,45370
2024-01-03 13:50:00+00:00,161.31,161.32,161.18,161.23,47720
2024-01-03 14:00:00+00:00,161.23,161.24,161.07,161.1,92800
2024-01-03 14:10:00+00:00,161.1,161.27,161.06,161.26,35430
2024-01-03 14:20:00+00:00,161.27,161.3,161.15,161.19,97170
2024-01-03 14:30:00+00:00,161.18,161.23,161.14,161.2,51720
2024-01-03 14:40:00+00:00,161.2,161.22,161.12,161.12,69020
2024-01-03 14:50:00+00:00,161.12,161.13,160.76,161.01,258020
2024-01-03 15:00:00+00:00,161.01,161.17,160.99,161.15,92690
2024-01-03 15:10:00+00:00,161.17,161.23,161.15,161.16,75860
2024-01-03 15:20:00+00:00,161.16,161.2,161.15,161.18,38350
2024-01-03 15:30:00+00:00,161.17,161.19,161.04,161.11,57780
2024-01-03 15:40:00+00:00,161.11,161.2,161.04,161.18,45980
2024-01-03 15:50:00+00:00,161.18,161.2,161.12,161.16,25260
2024-01-03 16:00:00+00:00,161.16,161.17,161.1,161.1,18460
2024-01-03 16:10:00+00:00,161.09,161.11,161.03,161.05,39840
2024-01-03 16:20:00+00:00,161.05,161.09,161.0,161.01,48210
2024-01-03 16:30:00+00:00,161.0,161.17,161.0,161.17,57500
2024-01-03 16:40:00+00:00,161.17,161.19,161.09,161.12,25850
2024-01-03 16:50:00+00:00,161.11,161.13,161.0,161.02,81070
2024-01-03 17:00:00+00:00,161.02,161.13,161.0,161.13,44990
2024-01-03 17:10:00+00:00,161.13,161.16,161.08,161.14,26020
2024-01-03 17:20:00+00:00,161.13,161.18,161.11,161.15,42270
2024-01-03 17:30:00+00:00,161.16,161.18,161.11,161.17,24860
2024-01-03 17:40:00+00:00,161.17,161.2,161.15,161.19,47750
2024-01-03 17:50:00+00:00,161.2,161.4,161.19,161.39,74700
2024-01-03 18:00:00+00:00,161.39,161.4,161.06,161.3,267330
2024-01-03 18:10:00+00:00,161.31,161.31,161.09,161.15,81540
2024-01-03 18:20:00+00:00,161.14,161.19,161.07,161.14,53410
2024-01-03 18:30:00+00:00,161.13,161.29,161.11,161.21,88270
2024-01-03 18:40:00+00:00,161.38,161.38,161.38,161.38,208060
2024-01-03 19:00:00+00:00,161.36,161.36,161.21,161.26,31670
2024-01-03 19:10:00+00:00,161.25,161.32,161.24,161.32,25510
2024-01-03 19:20:00+00:00,161.32,161.32,161.3,161.31,26620
2024-01-03 19:30:00+00:00,161.31,161.31,161.25,161.27,36980
2024-01-03 19:40:00+00:00,161.27,161.29,161.21,161.24,25860
2024-01-03 19:50:00+00:00,161.24,161.24,161.09,161.2,45710
2024-01-03 20:00:00+00:00,161.21,161.21,161.06,161.07,104480
2024-01-03 20:10:00+00:00,161.06,161.1,161.05,161.06,138710
2024-01-03 20:20:00+00:00,161.06,161.08,161.06,161.08,50380
2024-01-03 20:30:00+00:00,161.07,161.14,161.07,161.09,21750
2024-01-03 20:40:00+00:00,161.09,161.1,161.04,161.04,59540
2024-01-03 20:50:00+00:00,161.05,161.15,161.04,161.15,45810
2024-01-03 21:00:00+00:00,161.15,161.16,161.13,161.14,11740
2024-01-03 21:10:00+00:00,161.13,161.16,161.09,161.1,30330
2024-01-03 21:20:00+00:00,161.15,161.15,161.07,161.14,18230
2024-01-03 21:30:00+00:00,161.14,161.18,161.06,161.16,49390
2024-01-03 21:40:00+00:00,161.15,161.15,161.07,161.14,57250
2024-01-03 21:50:00+00:00,161.13,161.2,161.09,161.17,42890
2024-01-03 22:00:00+00:00,161.16,161.19,161.14,161.15,14910
2024-01-03 22:10:00+00:00,161.16,161.21,161.16,161.2,12450
2024-01-03 22:20:00+00:00,161.2,161.27,161.18,161.27,60270
2024-01-03 22:30:00+00:00,161.27,161.3,161.27,161.29,26340
2024-01-03 22:40:00+00:00,161.29,161.29,161.28,161.28,11840
2024-01-03 22:50:00+00:00,161.29,161.3,161.28,161.3,39980
2024-01-03 23:00:00+00:00,161.3,161.47,161.29,161.39,129350
2024-01-03 23:10:00+00:00,161.37,161.49,161.36,161.38,58940
2024-01-03 23:20:00+00:00,161.39,161.39,161.35,161.35,31730
2024-01-03 23:30:00+00:00,161.37,161.42,161.36,161.37,44740
2024-01-03 23:40:00+00:00,161.37,161.44,161.3,161.44,66540
2024-01-04 09:50:00+00:00,161.51,161.51,161.51,161.51,28950
2024-01-04 10:00:00+00:00,161.51,161.64,161.04,161.16,351100
2024-01-04 10:10:00+00:00,161.16,161.44,161.1,161.3,162490
2024-01-04 10:20:00+00:00,161.29,161.4,161.29,161.36,95840
2024-01-04 10:30:00+00:00,161.35,161.35,161.07,161.18,164490
