begin,open,high,low,close,volume
2022-01-17 10:00:00+03:00,335.9,338.95,335.81,337.44,1461080
2022-01-17 11:00:00+03:00,337.3,337.44,333.0,335.89,3603670
2022-01-17 12:00:00+03:00,335.89,337.64,334.9,337.64,1263860
2022-01-17 13:00:00+03:00,337.49,338.38,335.8,337.52,4085380
2022-01-17 14:00:00+03:00,337.39,338.74,331.16,336.2,7793300
2022-01-17 15:00:00+03:00,336.14,336.82,328.55,331.13,11387680
2022-01-17 16:00:00+03:00,331.27,332.5,328.8,329.73,7083040
2022-01-17 17:00:00+03:00,329.73,330.28,325.43,327.17,10198220
2022-01-17 18:00:00+03:00,327.22,329.0,324.57,328.3,7019520
2022-01-17 19:00:00+03:00,328.35,328.7,325.76,328.09,3107310
2022-01-17 20:00:00+03:00,328.09,328.16,325.32,325.51,3995250
2022-01-17 21:00:00+03:00,325.58,326.3,319.17,321.1,14402830
2022-01-17 22:00:00+03:00,321.11,330.0,320.04,328.09,14263770
2022-01-17 23:00:00+03:00,328.26,329.44,327.01,328.0,3061160
2022-01-18 00:00:00+03:00,328.0,328.9,327.52,328.22,934930
2022-01-18 01:00:00+03:00,328.15,329.29,325.33,326.25,1998680
2022-01-18 02:00:00+03:00,326.22,327.45,325.75,326.98,794700
2022-01-18 03:00:00+03:00,326.98,328.0,326.87,327.81,491910
2022-01-18 10:00:00+03:00,329.11,329.3,326.01,326.75,628780
2022-01-18 11:00:00+03:00,326.75,328.0,320.6,322.32,3016220
2022-01-18 12:00:00+03:00,322.46,324.47,320.28,323.4,3553830
2022-01-18 13:00:00+03:00,323.2,323.23,320.0,320.37,4405960
2022-01-18 14:00:00+03:00,320.22,322.45,315.64,321.1,14739720
2022-01-18 15:00:00+03:00,321.17,323.1,319.25,322.42,6787930
2022-01-18 16:00:00+03:00,322.4,322.78,319.61,321.31,4429180
2022-01-18 17:00:00+03:00,321.41,322.33,319.9,320.3,2434620
2022-01-18 18:00:00+03:00,320.2,320.49,307.75,309.98,29868620
2022-01-18 19:00:00+03:00,309.99,313.0,305.02,310.89,30194940
2022-01-18 20:00:00+03:00,310.87,311.44,302.62,303.32,25342530
2022-01-18 21:00:00+03:00,303.32,307.12,299.5,306.98,36597230
2022-01-18 22:00:00+03:00,307.1,307.8,296.7,300.85,30651200
2022-01-18 23:00:00+03:00,300.87,305.5,299.1,302.47,13354410
2022-01-19 00:00:00+03:00,302.49,305.0,299.01,300.2,5818270
2022-01-19 01:00:00+03:00,300.2,303.0,300.01,302.11,2402860
2022-01-19 02:00:00+03:00,302.05,305.5,301.6,303.44,3903690
2022-01-19 03:00:00+03:00,303.44,304.01,301.0,301.11,1992150
2022-01-19 10:00:00+03:00,299.0,302.72,290.22,295.72,3908760
2022-01-19 11:00:00+03:00,295.83,301.76,282.72,289.43,23333950
2022-01-19 12:00:00+03:00,289.49,290.2,284.99,289.21,12821080
2022-01-19 13:00:00+03:00,289.21,296.38,287.22,295.96,15621910
2022-01-19 14:00:00+03:00,295.96,309.9,294.0,309.0,44790970
2022-01-19 15:00:00+03:00,309.0,317.0,309.0,314.75,25906850
2022-01-19 16:00:00+03:00,314.75,317.86,311.26,315.8,17856940
2022-01-19 17:00:00+03:00,315.8,317.85,312.56,317.85,9943490
2022-01-19 18:00:00+03:00,317.7,319.97,315.11,319.8,14047470
2022-01-19 19:00:00+03:00,319.8,320.0,314.25,316.26,13824080
2022-01-19 20:00:00+03:00,316.19,318.48,315.81,317.67,5616960
2022-01-19 21:00:00+03:00,317.6,320.23,316.46,318.88,14482960
2022-01-19 22:00:00+03:00,318.9,320.42,315.85,318.42,9932500
2022-01-19 23:00:00+03:00,318.24,319.1,316.51,318.48,3188050
2022-01-20 00:00:00+03:00,318.4,319.85,318.4,318.59,2077910
2022-01-20 01:00:00+03:00,318.59,319.29,318.03,318.45,953460
2022-01-20 02:00:00+03:00,318.36,319.3,318.09,319.3,726730
2022-01-20 03:00:00+03:00,319.29,319.67,318.2,318.36,1056380
2022-01-20 10:00:00+03:00,318.4,318.4,311.33,316.62,2349190
2022-01-20 11:00:00+03:00,316.6,323.23,315.12,323.22,7026260
2022-01-20 12:00:00+03:00,323.14,323.98,322.0,323.1,2980750
2022-01-20 13:00:00+03:00,323.1,326.69,322.53,324.22,7828900
2022-01-20 14:00:00+03:00,324.35,324.95,312.6,313.96,18068450
2022-01-20 15:00:00+03:00,313.74,318.44,310.07,314.76,17474040
2022-01-20 16:00:00+03:00,314.91,319.12,314.35,315.19,7710580
2022-01-20 17:00:00+03:00,315.35,316.46,312.3,313.76,5217160
2022-01-20 18:00:00+03:00,313.88,316.7,313.51,314.15,4877790
2022-01-20 19:00:00+03:00,314.0,314.2,310.33,312.7,7421150
2022-01-20 20:00:00+03:00,312.72,316.75,310.11,316.26,12896890
2022-01-20 21:00:00+03:00,316.23,319.8,313.74,319.4,12047740
2022-01-20 22:00:00+03:00,319.4,320.0,317.21,318.49,10122370
2022-01-20 23:00:00+03:00,318.48,318.53,314.41,315.51,5422190
2022-01-21 00:00:00+03:00,315.5,316.74,314.5,314.98,1526920
2022-01-21 01:00:00+03:00,315.1,315.24,312.1,313.73,2583570
2022-01-21 02:00:00+03:00,313.73,313.87,312.63,312.77,1950590
2022-01-21 03:00:00+03:00,312.77,312.84,310.39,310.42,2767910
2022-01-21 10:00:00+03:00,309.49,309.84,303.5,305.9,3713820
2022-01-21 11:00:00+03:00,305.9,309.3,305.0,308.08,5307250
2022-01-21 12:00:00+03:00,308.0,311.43,306.98,310.03,4599600
2022-01-21 13:00:00+03:00,310.09,311.18,305.2,307.84,6218180
2022-01-21 14:00:00+03:00,307.91,310.86,307.6,310.05,6551260
2022-01-21 15:00:00+03:00,310.04,312.45,308.82,310.49,8772900
2022-01-21 16:00:00+03:00,310.4,314.4,309.9,313.13,6364420
2022-01-21 17:00:00+03:00,313.22,315.15,312.7,313.92,6069400
2022-01-21 18:00:00+03:00,313.8,321.99,312.1,319.91,20986830
2022-01-21 19:00:00+03:00,319.94,320.9,316.55,317.88,12631070
2022-01-21 20:00:00+03:00,317.99,318.65,314.5,314.63,8271140
2022-01-21 21:00:00+03:00,314.56,316.8,310.02,310.98,10855580
2022-01-21 22:00:00+03:00,310.96,314.28,310.46,313.13,9950360
2022-01-21 23:00:00+03:00,313.13,314.96,311.76,312.56,2295720
2022-01-22 00:00:00+03:00,312.57,313.89,310.83,311.64,1696760
2022-01-22 01:00:00+03:00,311.68,312.45,311.0,311.85,1110080
2022-01-22 02:00:00+03:00,311.85,312.25,309.07,309.36,1667880
2022-01-22 03:00:00+03:00,309.23,312.13,308.69,311.6,2075920
2022-01-24 10:00:00+03:00,310.8,314.0,310.36,313.27,2894060
2022-01-24 11:00:00+03:00,313.2,313.47,311.8,313.0,3109620
2022-01-24 12:00:00+03:00,313.0,313.7,312.32,313.0,1347050
2022-01-24 13:00:00+03:00,313.05,313.4,307.98,308.86,3724850
2022-01-24 14:00:00+03:00,308.86,309.04,303.11,305.3,14026490
2022-01-24 15:00:00+03:00,305.11,306.89,296.93,297.04,19818560
2022-01-24 16:00:00+03:00,297.15,297.61,290.41,292.66,35029980
2022-01-24 17:00:00+03:00,292.83,294.11,280.6,285.46,41894270
2022-01-24 18:00:00+03:00,285.45,289.5,281.1,288.67,29653250
2022-01-24 19:00:00+03:00,288.67,290.3,285.35,287.44,19779340
2022-01-24 20:00:00+03:00,287.4,293.42,287.05,289.55,18259320
2022-01-24 21:00:00+03:00,289.5,294.1,289.18,291.16,15491490
2022-01-24 22:00:00+03:00,291.12,293.63,288.35,292.32,10743370
2022-01-24 23:00:00+03:00,292.35,293.2,288.24,288.47,5696690
2022-01-25 00:00:00+03:00,288.33,292.25,286.55,291.95,5495020
2022-01-25 01:00:00+03:00,291.95,293.48,289.5,293.33,4137160
2022-01-25 02:00:00+03:00,293.35,293.49,291.03,293.39,2902200
2022-01-25 03:00:00+03:00,293.43,294.69,293.11,294.59,2549760
2022-01-25 10:00:00+03:00,293.94,297.64,291.23,297.5,2303180
2022-01-25 11:00:00+03:00,297.5,301.03,292.61,294.61,9252490
2022-01-25 12:00:00+03:00,294.75,298.5,293.73,298.39,3228270
2022-01-25 13:00:00+03:00,298.38,300.18,295.23,295.4,10806440
2022-01-25 14:00:00+03:00,295.5,299.9,290.63,292.13,17792710
2022-01-25 15:00:00+03:00,292.17,298.74,290.78,296.8,11024330
2022-01-25 16:00:00+03:00,296.81,299.37,295.0,297.86,9729000
2022-01-25 17:00:00+03:00,297.8,299.58,296.2,299.02,8980390
2022-01-25 18:00:00+03:00,298.86,299.17,296.62,297.23,6268160
2022-01-25 19:00:00+03:00,297.36,297.4,292.61,292.73,9284370
2022-01-25 20:00:00+03:00,292.62,296.29,292.0,295.05,8467800
2022-01-25 21:00:00+03:00,295.05,296.12,291.31,291.63,10491200
2022-01-25 22:00:00+03:00,291.63,295.44,289.62,294.89,12420930
2022-01-25 23:00:00+03:00,294.98,297.4,294.21,296.8,3603530
2022-01-26 00:00:00+03:00,296.8,297.82,295.7,297.75,2070120
2022-01-26 01:00:00+03:00,297.71,305.0,297.07,301.34,10833880
2022-01-26 02:00:00+03:00,301.32,303.8,300.31,301.85,4663410
2022-01-26 03:00:00+03:00,301.98,303.38,301.6,302.96,1966480
2022-01-26 10:00:00+03:00,302.9,303.28,301.11,301.7,1213010
2022-01-26 11:00:00+03:00,301.68,301.99,299.0,299.0,2192940
