begin,open,high,low,close,volume
2024-07-01 09:50:00+00:00,130.0,130.0,130.0,130.0,6500
2024-07-01 10:00:00+00:00,130.0,130.32,130.0,130.12,148790
2024-07-01 10:10:00+00:00,130.14,130.14,129.76,130.06,327530
2024-07-01 10:20:00+00:00,130.06,130.14,129.8,129.94,339050
2024-07-01 10:30:00+00:00,129.94,129.96,129.62,129.68,82940
2024-07-01 10:40:00+00:00,129.68,129.7,129.42,129.42,101480
2024-07-01 10:50:00+00:00,129.46,129.66,129.46,129.52,59810
2024-07-01 11:00:00+00:00,129.52,129.64,129.5,129.54,123110
2024-07-01 11:10:00+00:00,129.54,129.72,129.5,129.72,35970
2024-07-01 11:20:00+00:00,129.72,129.8,129.5,129.58,108510
2024-07-01 11:30:00+00:00,129.58,129.58,129.48,129.58,22730
2024-07-01 11:40:00+00:00,129.58,129.58,129.48,129.56,20000
2024-07-01 11:50:00+00:00,129.56,129.6,129.48,129.48,23320
2024-07-01 12:00:00+00:00,129.5,129.5,129.38,129.5,44270
2024-07-01 12:10:00+00:00,129.5,129.5,129.34,129.5,74460
2024-07-01 12:20:00+00:00,129.5,129.5,129.32,129.36,67860
2024-07-01 12:30:00+00:00,129.36,129.4,129.1,129.22,180740
2024-07-01 12:40:00+00:00,129.22,129.22,128.84,128.88,229070
2024-07-01 12:50:00+00:00,128.86,129.1,128.86,129.04,114490
2024-07-01 13:00:00+00:00,129.02,129.1,128.92,128.96,82340
2024-07-01 13:10:00+00:00,129.0,129.0,128.88,128.92,35290
2024-07-01 13:20:00+00:00,128.92,129.0,128.84,129.0,90610
2024-07-01 13:30:00+00:00,129.0,129.1,128.92,129.1,99410
2024-07-01 13:40:00+00:00,129.1,129.42,129.06,129.18,89570
2024-07-01 13:50:00+00:00,129.18,129.5,129.14,129.48,129500
2024-07-01 14:00:00+00:00,129.48,129.5,129.22,129.46,101730
2024-07-01 14:10:00+00:00,129.46,129.5,129.4,129.48,62860
2024-07-01 14:20:00+00:00,129.48,129.5,129.32,129.48,94590
2024-07-01 14:30:00+00:00,129.5,129.58,129.44,129.54,78060
2024-07-01 14:40:00+00:00,129.54,129.7,129.44,129.5,41550
2024-07-01 14:50:00+00:00,129.5,129.5,129.44,129.5,47410
2024-07-01 15:00:00+00:00,129.48,129.5,129.44,129.48,59350
2024-07-01 15:10:00+00:00,129.48,129.5,129.18,129.18,112920
2024-07-01 15:20:00+00:00,129.2,129.26,129.0,129.26,239300
2024-07-01 15:30:00+00:00,129.24,129.34,129.18,129.34,41740
2024-07-01 15:40:00+00:00,129.34,129.5,129.32,129.5,32200
2024-07-01 15:50:00+00:00,129.5,129.8,129.48,129.8,196180
2024-07-01 16:00:00+00:00,129.8,129.9,129.7,129.78,175940
2024-07-01 16:10:00+00:00,129.76,129.9,129.76,129.9,124420
2024-07-01 16:20:00+00:00,129.9,130.0,129.86,130.0,257240
2024-07-01 16:30:00+00:00,130.0,130.32,129.94,130.26,688950
2024-07-01 16:40:00+00:00,130.3,131.0,130.28,131.0,474220
2024-07-01 16:50:00+00:00,131.0,131.0,130.92,130.98,511990
2024-07-01 17:00:00+00:00,130.98,131.0,130.82,130.88,185980
2024-07-01 17:10:00+00:00,130.9,130.92,130.14,130.6,385000
2024-07-01 17:20:00+00:00,130.6,130.7,130.54,130.7,136790
2024-07-01 17:30:00+00:00,130.7,130.92,130.64,130.88,166910
2024-07-01 17:40:00+00:00,130.88,130.92,130.8,130.88,166410
2024-07-01 17:50:00+00:00,130.9,131.0,130.86,130.96,130210
2024-07-01 18:00:00+00:00,130.98,131.4,130.98,131.32,297090
2024-07-01 18:10:00+00:00,131.34,131.34,130.78,130.9,277420
2024-07-01 18:20:00+00:00,130.82,130.92,130.42,130.6,164280
2024-07-01 18:30:00+00:00,130.52,130.62,130.32,130.62,88600
2024-07-01 18:40:00+00:00,131.0,131.0,131.0,131.0,73030
2024-07-01 19:00:00+00:00,130.98,130.98,130.46,130.5,69690
2024-07-01 19:10:00+00:00,130.5,130.72,130.5,130.58,35480
2024-07-01 19:20:00+00:00,130.62,130.62,130.42,130.5,20130
2024-07-01 19:30:00+00:00,130.5,130.5,130.32,130.4,41360
2024-07-01 19:40:00+00:00,130.4,130.74,130.4,130.52,49290
2024-07-01 19:50:00+00:00,130.5,130.62,130.5,130.56,13370
2024-07-01 20:00:00+00:00,130.58,130.78,130.56,130.78,45590
2024-07-01 20:10:00+00:00,130.82,130.96,130.54,130.8,144460
2024-07-01 20:20:00+00:00,130.82,130.9,130.68,130.88,27650
2024-07-01 20:30:00+00:00,130.88,130.92,130.86,130.9,24720
2024-07-01 20:40:00+00:00,130.9,130.94,130.86,130.92,10340
2024-07-01 20:50:00+00:00,130.9,130.92,130.76,130.76,36820
2024-07-01 21:00:00+00:00,130.76,130.9,130.7,130.9,16260
2024-07-01 21:10:00+00:00,130.9,130.98,130.88,130.92,67070
2024-07-01 21:20:00+00:00,130.92,131.06,130.62,131.04,127300
2024-07-01 21:30:00+00:00,131.04,131.4,131.04,131.32,171610
2024-07-01 21:40:00+00:00,131.36,131.92,131.3,131.9,261680
2024-07-01 21:50:00+00:00,131.88,131.94,131.72,131.84,79270
2024-07-01 22:00:00+00:00,131.84,131.98,131.84,131.92,60260
2024-07-01 22:10:00+00:00,131.92,131.92,131.82,131.86,71360
2024-07-01 22:20:00+00:00,131.86,131.86,131.8,131.82,53910
2024-07-01 22:30:00+00:00,131.8,131.92,131.78,131.86,35400
2024-07-01 22:40:00+00:00,131.92,131.94,131.8,131.9,19560
2024-07-01 22:50:00+00:00,131.92,132.24,131.8,132.24,261760
2024-07-01 23:00:00+00:00,132.22,132.3,132.2,132.28,69910
2024-07-01 23:10:00+00:00,132.28,132.28,132.2,132.22,27300
2024-07-01 23:20:00+00:00,132.24,132.66,132.2,132.46,134180
2024-07-01 23:30:00+00:00,132.44,132.5,132.28,132.3,39950
2024-07-01 23:40:00+00:00,132.34,132.54,132.2,132.5,94030
2024-07-02 09:50:00+00:00,132.5,132.5,132.5,132.5,32130
2024-07-02 10:00:00+00:00,132.5,133.0,131.64,131.78,394180
2024-07-02 10:10:00+00:00,131.8,131.8,131.3,131.68,356460
2024-07-02 10:20:00+00:00,131.68,132.0,131.62,131.96,377210
2024-07-02 10:30:00+00:00,131.98,132.42,131.98,132.32,411200
2024-07-02 10:40:00+00:00,132.34,132.76,132.28,132.52,210890
2024-07-02 10:50:00+00:00,132.52,133.68,132.5,133.52,521550
2024-07-02 11:00:00+00:00,133.52,133.84,132.8,133.18,493080
2024-07-02 11:10:00+00:00,133.12,133.42,132.72,132.9,207090
2024-07-02 11:20:00+00:00,132.88,132.9,132.4,132.52,138520
2024-07-02 11:30:00+00:00,132.52,133.0,132.36,132.78,70520
2024-07-02 11:40:00+00:00,132.8,133.26,132.78,133.06,80260
2024-07-02 11:50:00+00:00,133.08,133.08,132.34,132.7,169290
2024-07-02 12:00:00+00:00,132.7,132.7,132.32,132.36,231340
2024-07-02 12:10:00+00:00,132.44,133.14,132.32,133.0,235530
2024-07-02 12:20:00+00:00,133.02,133.76,133.0,133.74,379070
2024-07-02 12:30:00+00:00,133.74,134.36,133.5,134.34,689090
2024-07-02 12:40:00+00:00,134.34,134.34,134.12,134.34,287870
2024-07-02 12:50:00+00:00,134.34,134.66,134.3,134.56,410060
2024-07-02 13:00:00+00:00,134.58,134.6,134.28,134.42,229860
2024-07-02 13:10:00+00:00,134.38,134.68,134.32,134.62,284860
2024-07-02 13:20:00+00:00,134.66,134.74,134.58,134.74,120330
2024-07-02 13:30:00+00:00,134.72,134.8,134.56,134.6,252430
2024-07-02 13:40:00+00:00,134.6,134.8,134.56,134.56,97590
2024-07-02 13:50:00+00:00,134.58,134.66,134.3,134.38,169420
2024-07-02 14:00:00+00:00,134.46,134.76,134.36,134.68,61340
2024-07-02 14:10:00+00:00,134.72,134.74,134.58,134.7,39350
2024-07-02 14:20:00+00:00,134.68,134.7,134.4,134.4,120290
2024-07-02 14:30:00+00:00,134.42,134.48,133.14,133.58,461520
2024-07-02 14:40:00+00:00,133.6,133.84,133.44,133.72,112770
2024-07-02 14:50:00+00:00,133.7,133.78,133.3,133.42,111410
2024-07-02 15:00:00+00:00,133.46,133.54,133.1,133.1,130990
2024-07-02 15:10:00+00:00,133.1,133.28,132.8,133.12,267070
2024-07-02 15:20:00+00:00,133.14,133.52,132.9,133.02,248100
2024-07-02 15:30:00+00:00,133.06,133.8,133.0,133.58,168740
2024-07-02 15:40:00+00:00,133.5,133.82,133.44,133.6,120200
2024-07-02 15:50:00+00:00,133.62,133.7,133.6,133.62,228010
2024-07-02 16:00:00+00:00,133.6,133.78,133.6,133.6,199170
2024-07-02 16:10:00+00:00,133.6,133.86,133.6,133.82,231580
2024-07-02 16:20:00+00:00,133.8,134.24,133.78,134.22,188640
2024-07-02 16:30:00+00:00,134.2,134.46,134.0,134.0,190760
2024-07-02 16:40:00+00:00,134.02,134.5,134.0,134.1,246660
2024-07-02 16:50:00+00:00,134.12,134.14,134.0,134.02,178330
2024-07-02 17:00:00+00:00,134.02,134.26,134.0,134.2,163850
2024-07-02 17:10:00+00:00,134.2,134.48,134.16,134.34,144840
2024-07-02 17:20:00+00:00,134.34,135.28,134.34,134.6,498290
2024-07-02 17:30:00+00:00,134.54,134.6,134.3,134.36,121010
2024-07-02 17:40:00+00:00,134.34,134.38,134.3,134.32,113110
2024-07-02 17:50:00+00:00,134.34,134.5,134.32,134.34,75930
2024-07-02 18:00:00+00:00,134.34,134.44,134.02,134.06,96460
2024-07-02 18:10:00+00:00,134.08,134.14,134.0,134.02,114280
2024-07-02 18:20:00+00:00,134.02,134.02,133.52,133.56,160710
2024-07-02 18:30:00+00:00,133.54,133.88,133.5,133.62,174310
2024-07-02 18:40:00+00:00,133.6,133.6,133.6,133.6,9360
2024-07-02 19:00:00+00:00,133.64,133.66,133.5,133.62,30480
2024-07-02 19:10:00+00:00,133.62,133.9,133.5,133.88,62420
2024-07-02 19:20:00+00:00,133.88,134.14,133.84,134.12,76070
2024-07-02 19:30:00+00:00,134.08,134.08,133.68,133.82,15970
2024-07-02 19:40:00+00:00,133.86,133.98,133.8,133.86,13240
2024-07-02 19:50:00+00:00,133.82,134.0,133.7,133.92,59480
2024-07-02 20:00:00+00:00,133.84,134.0,133.8,134.0,9250
2024-07-02 20:10:00+00:00,133.96,134.08,133.86,134.06,15540
2024-07-02 20:20:00+00:00,134.08,134.24,133.86,133.88,41350
2024-07-02 20:30:00+00:00,133.88,134.12,133.88,133.88,34050
2024-07-02 20:40:00+00:00,133.96,134.0,133.88,133.96,11850
2024-07-02 20:50:00+00:00,133.98,134.0,133.88,133.88,13480
2024-07-02 21:00:00+00:00,133.9,134.04,133.88,134.0,10770
2024-07-02 21:10:00+00:00,134.0,134.0,133.88,133.96,9940
2024-07-02 21:20:00+00:00,134.0,134.0,133.86,133.98,21130
2024-07-02 21:30:00+00:00,133.98,134.02,133.92,134.0,5750
2024-07-02 21:40:00+00:00,134.02,134.14,133.94,134.02,13720
2024-07-02 21:50:00+00:00,134.02,134.06,133.94,134.04,8480
2024-07-02 22:00:00+00:00,134.02,134.1,134.0,134.1,6320
2024-07-02 22:10:00+00:00,134.1,134.38,134.1,134.24,49840
2024-07-02 22:20:00+00:00,134.32,134.32,134.16,134.24,26350
2024-07-02 22:30:00+00:00,134.24,134.3,134.16,134.24,20460
2024-07-02 22:40:00+00:00,134.24,134.38,134.24,134.34,45060
2024-07-02 22:50:00+00:00,134.34,134.36,134.26,134.32,8540
2024-07-02 23:00:00+00:00,134.3,134.4,134.3,134.38,11500
2024-07-02 23:10:00+00:00,134.4,134.5,134.38,134.46,28610
2024-07-02 23:20:00+00:00,134.48,134.66,134.44,134.6,19850
2024-07-02 23:30:00+00:00,134.6,134.68,134.42,134.6,66110
2024-07-02 23:40:00+00:00,134.6,134.62,134.24,134.38,60260
2024-07-03 09:50:00+00:00,134.98,134.98,134.98,134.98,10870
2024-07-03 10:00:00+00:00,134.96,135.0,134.5,134.74,332350
2024-07-03 10:10:00+00:00,134.74,135.52,134.66,135.32,647900
2024-07-03 10:20:00+00:00,135.34,135.34,134.74,134.84,350950
2024-07-03 10:30:00+00:00,134.82,134.84,134.5,134.62,156260
2024-07-03 10:40:00+00:00,134.62,134.88,134.62,134.78,194860
