begin,open,high,low,close,volume
2024-07-01 09:50:00+00:00,7200.5,7200.5,7200.5,7200.5,2514
2024-07-01 10:00:00+00:00,7210.0,7235.0,7200.0,7225.5,16072
2024-07-01 10:10:00+00:00,7225.5,7230.0,7220.5,7227.5,17160
2024-07-01 10:20:00+00:00,7229.0,7230.0,7220.5,7224.0,9480
2024-07-01 10:30:00+00:00,7224.0,7229.0,7222.5,7223.5,3485
2024-07-01 10:40:00+00:00,7223.0,7224.0,7210.0,7213.5,8034
2024-07-01 10:50:00+00:00,7213.0,7214.5,7210.5,7212.0,2901
2024-07-01 11:00:00+00:00,7211.0,7216.5,7195.5,7212.5,14868
2024-07-01 11:10:00+00:00,7212.0,7212.5,7198.5,7202.5,11000
2024-07-01 11:20:00+00:00,7202.5,7206.5,7196.5,7201.5,8245
2024-07-01 11:30:00+00:00,7201.5,7209.0,7199.5,7203.5,3858
2024-07-01 11:40:00+00:00,7203.5,7204.0,7194.0,7196.5,8270
2024-07-01 11:50:00+00:00,7196.5,7197.0,7192.5,7194.0,3124
2024-07-01 12:00:00+00:00,7193.5,7194.5,7190.0,7194.0,8175
2024-07-01 12:10:00+00:00,7194.5,7209.5,7194.0,7209.0,6268
2024-07-01 12:20:00+00:00,7209.0,7215.0,7205.5,7206.0,4386
2024-07-01 12:30:00+00:00,7206.0,7219.0,7205.5,7208.5,8300
2024-07-01 12:40:00+00:00,7206.5,7207.0,7200.5,7201.5,2282
2024-07-01 12:50:00+00:00,7201.5,7204.5,7191.0,7192.0,4863
2024-07-01 13:00:00+00:00,7192.0,7205.0,7191.0,7194.5,6220
2024-07-01 13:10:00+00:00,7196.5,7203.5,7195.0,7203.0,2860
2024-07-01 13:20:00+00:00,7202.5,7205.0,7200.0,7201.0,2931
2024-07-01 13:30:00+00:00,7200.5,7214.5,7200.5,7213.0,2974
2024-07-01 13:40:00+00:00,7213.5,7223.5,7213.5,7215.0,7877
2024-07-01 13:50:00+00:00,7215.5,7223.0,7215.5,7221.5,4615
2024-07-01 14:00:00+00:00,7221.5,7224.5,7217.0,7224.5,3802
2024-07-01 14:10:00+00:00,7224.0,7229.0,7224.0,7224.0,4389
2024-07-01 14:20:00+00:00,7224.0,7228.5,7219.0,7222.0,5927
2024-07-01 14:30:00+00:00,7222.0,7226.0,7220.5,7224.5,3470
2024-07-01 14:40:00+00:00,7224.5,7226.5,7219.5,7221.5,3901
2024-07-01 14:50:00+00:00,7222.0,7227.0,7221.5,7227.0,3046
2024-07-01 15:00:00+00:00,7227.0,7228.0,7224.0,7225.5,4608
2024-07-01 15:10:00+00:00,7225.5,7230.0,7225.5,7228.5,5234
2024-07-01 15:20:00+00:00,7228.5,7230.0,7227.0,7229.5,3071
2024-07-01 15:30:00+00:00,7229.0,7245.0,7228.5,7244.5,11059
2024-07-01 15:40:00+00:00,7244.5,7268.0,7238.0,7259.0,31814
