begin,open,high,low,close,volume
2022-01-17 10:00:00+03:00,605.0,608.05,603.5,606.0,74208
2022-01-17 11:00:00+03:00,605.5,606.1,599.05,604.15,180608
2022-01-17 12:00:00+03:00,604.4,606.9,603.7,606.55,73611
2022-01-17 13:00:00+03:00,606.65,611.0,604.25,607.15,280629
2022-01-17 14:00:00+03:00,607.1,611.7,599.3,610.4,984223
2022-01-17 15:00:00+03:00,610.4,614.0,606.4,609.0,1552686
2022-01-17 16:00:00+03:00,608.5,612.9,606.55,608.2,762734
2022-01-17 17:00:00+03:00,608.3,609.0,597.0,599.05,1004819
2022-01-17 18:00:00+03:00,599.25,599.25,582.0,588.5,1625867
2022-01-17 19:00:00+03:00,588.5,592.0,587.1,587.9,667978
2022-01-17 20:00:00+03:00,587.9,590.25,587.1,589.55,535873
2022-01-17 21:00:00+03:00,589.55,592.8,578.05,583.1,1187413
2022-01-17 22:00:00+03:00,582.95,594.95,582.15,591.75,1060289
2022-01-17 23:00:00+03:00,591.8,595.45,590.2,591.55,261404
2022-01-18 00:00:00+03:00,591.55,593.9,591.3,593.0,51349
2022-01-18 01:00:00+03:00,593.0,595.8,591.45,592.2,82689
2022-01-18 02:00:00+03:00,592.15,592.85,591.05,591.8,60112
2022-01-18 03:00:00+03:00,591.75,594.0,591.3,592.55,33526
2022-01-18 10:00:00+03:00,592.65,596.8,591.8,595.75,82711
2022-01-18 11:00:00+03:00,595.7,598.7,588.0,589.0,214957
2022-01-18 12:00:00+03:00,589.6,593.5,586.0,593.35,203368
2022-01-18 13:00:00+03:00,592.6,594.65,586.25,587.85,226701
2022-01-18 14:00:00+03:00,587.85,591.0,575.5,589.3,1091007
2022-01-18 15:00:00+03:00,589.1,592.0,584.3,590.3,852386
2022-01-18 16:00:00+03:00,590.5,591.9,583.1,586.5,446362
2022-01-18 17:00:00+03:00,587.0,591.35,586.2,586.75,648976
2022-01-18 18:00:00+03:00,586.55,586.8,574.0,574.5,1798229
2022-01-18 19:00:00+03:00,574.45,579.2,567.65,577.9,2044699
2022-01-18 20:00:00+03:00,577.8,579.3,564.25,565.5,1709385
2022-01-18 21:00:00+03:00,565.5,591.2,541.0,544.0,7484714
2022-01-18 22:00:00+03:00,543.8,545.0,525.1,532.6,7920519
2022-01-18 23:00:00+03:00,532.6,549.5,531.1,544.15,1779114
2022-01-19 00:00:00+03:00,544.35,547.5,537.6,538.45,664558
2022-01-19 01:00:00+03:00,538.3,545.0,537.9,544.2,227620
2022-01-19 02:00:00+03:00,544.15,555.0,544.15,549.5,496237
2022-01-19 03:00:00+03:00,549.6,550.0,542.15,544.8,170968
2022-01-19 10:00:00+03:00,537.0,547.0,530.0,537.7,307635
2022-01-19 11:00:00+03:00,537.75,543.3,523.1,527.25,1048121
2022-01-19 12:00:00+03:00,527.8,534.7,523.15,532.55,599060
2022-01-19 13:00:00+03:00,532.55,542.55,528.05,540.3,819904
2022-01-19 14:00:00+03:00,540.7,559.95,538.05,558.6,3082348
2022-01-19 15:00:00+03:00,558.9,567.8,555.0,558.2,2243487
2022-01-19 16:00:00+03:00,557.8,564.0,552.1,556.35,1056509
