begin,open,high,low,close,volume
2024-07-01 09:50:00+00:00,327.64,327.64,327.64,327.64,59500
2024-07-01 10:00:00+00:00,327.68,329.0,327.65,328.67,1964340
2024-07-01 10:10:00+00:00,328.67,329.0,328.16,328.92,874850
2024-07-01 10:20:00+00:00,328.92,329.0,328.78,328.94,594790
2024-07-01 10:30:00+00:00,328.94,329.0,328.88,328.92,1026370
2024-07-01 10:40:00+00:00,328.92,328.93,328.55,328.72,684140
2024-07-01 10:50:00+00:00,328.78,328.95,328.71,328.79,417120
2024-07-01 11:00:00+00:00,328.79,328.89,328.56,328.89,336000
2024-07-01 11:10:00+00:00,328.89,328.98,328.77,328.91,882550
2024-07-01 11:20:00+00:00,328.9,328.94,328.37,328.44,817290
2024-07-01 11:30:00+00:00,328.42,328.5,328.12,328.17,668840
2024-07-01 11:40:00+00:00,328.17,328.27,328.0,328.0,719300
2024-07-01 11:50:00+00:00,328.01,328.49,328.0,328.3,686900
2024-07-01 12:00:00+00:00,328.33,328.48,328.1,328.2,372680
2024-07-01 12:10:00+00:00,328.17,328.18,328.0,328.08,554750
2024-07-01 12:20:00+00:00,328.07,328.36,328.01,328.02,425580
2024-07-01 12:30:00+00:00,328.03,328.29,328.03,328.12,620390
2024-07-01 12:40:00+00:00,328.11,328.49,328.0,328.01,561940
2024-07-01 12:50:00+00:00,328.02,328.18,327.57,327.7,1092170
2024-07-01 13:00:00+00:00,327.72,327.96,327.51,327.61,419390
2024-07-01 13:10:00+00:00,327.65,327.79,327.51,327.62,276180
2024-07-01 13:20:00+00:00,327.63,327.72,327.52,327.6,201860
2024-07-01 13:30:00+00:00,327.6,328.05,327.53,328.03,381180
2024-07-01 13:40:00+00:00,328.03,328.23,327.66,327.73,384120
2024-07-01 13:50:00+00:00,327.73,328.06,327.65,328.04,346610
2024-07-01 14:00:00+00:00,328.05,328.37,327.8,328.28,370300
2024-07-01 14:10:00+00:00,328.28,328.4,328.1,328.23,256640
2024-07-01 14:20:00+00:00,328.2,328.33,327.7,327.76,326560
2024-07-01 14:30:00+00:00,327.74,327.89,327.6,327.85,833490
2024-07-01 14:40:00+00:00,327.88,327.88,327.61,327.63,355350
2024-07-01 14:50:00+00:00,327.63,327.76,327.6,327.68,440520
2024-07-01 15:00:00+00:00,327.68,327.78,327.6,327.73,333700
2024-07-01 15:10:00+00:00,327.71,327.78,327.51,327.57,539930
2024-07-01 15:20:00+00:00,327.57,327.65,327.25,327.25,689480
2024-07-01 15:30:00+00:00,327.27,328.0,327.13,327.99,611140
2024-07-01 15:40:00+00:00,327.98,328.15,327.73,328.05,598310
2024-07-01 15:50:00+00:00,328.06,328.45,327.7,327.74,658880
2024-07-01 16:00:00+00:00,327.76,328.11,327.73,327.97,303490
2024-07-01 16:10:00+00:00,327.98,328.12,327.9,328.02,312290
2024-07-01 16:20:00+00:00,328.02,328.22,327.92,328.19,276980
2024-07-01 16:30:00+00:00,328.18,328.22,327.81,327.85,325910
2024-07-01 16:40:00+00:00,327.83,327.95,327.75,327.8,220640
2024-07-01 16:50:00+00:00,327.79,327.86,327.58,327.59,274080
