begin,open,high,low,close,volume
2022-01-17 10:00:00+03:00,262.15,264.01,261.11,261.11,3944080
2022-01-17 11:00:00+03:00,261.27,261.27,254.12,259.68,11004710
2022-01-17 12:00:00+03:00,259.51,261.9,258.71,261.9,4111140
2022-01-17 13:00:00+03:00,261.9,261.91,258.21,260.89,8565100
2022-01-17 14:00:00+03:00,260.77,261.08,251.12,255.21,28113090
2022-01-17 15:00:00+03:00,255.21,256.09,252.4,254.69,21783570
2022-01-17 16:00:00+03:00,254.6,256.36,253.35,253.46,13098120
2022-01-17 17:00:00+03:00,253.54,254.27,249.66,250.9,24250550
2022-01-17 18:00:00+03:00,250.9,252.21,247.0,251.61,32939910
2022-01-17 19:00:00+03:00,251.6,251.68,248.6,251.51,14006680
2022-01-17 20:00:00+03:00,251.55,252.16,249.7,249.85,12340810
2022-01-17 21:00:00+03:00,249.75,251.4,249.0,251.0,13547310
2022-01-17 22:00:00+03:00,251.0,260.0,250.04,257.77,39004570
2022-01-17 23:00:00+03:00,257.96,258.96,256.7,257.8,10339280
2022-01-18 00:00:00+03:00,257.84,259.99,257.4,259.05,4417490
2022-01-18 01:00:00+03:00,259.08,259.93,257.15,257.6,4079190
2022-01-18 02:00:00+03:00,257.7,258.92,257.21,258.15,1743220
2022-01-18 03:00:00+03:00,258.2,258.75,257.66,257.78,1400430
2022-01-18 10:00:00+03:00,258.8,259.39,255.1,256.78,2386340
2022-01-18 11:00:00+03:00,256.79,258.28,252.05,253.3,6716440
2022-01-18 12:00:00+03:00,253.49,254.99,251.32,254.37,5680480
2022-01-18 13:00:00+03:00,254.24,256.81,252.55,253.28,7954580
2022-01-18 14:00:00+03:00,253.23,255.47,249.5,253.33,23440170
2022-01-18 15:00:00+03:00,253.34,253.67,251.01,252.25,11482950
2022-01-18 16:00:00+03:00,252.25,252.73,250.38,252.04,10860450
2022-01-18 17:00:00+03:00,252.04,252.73,250.23,250.82,9243060
2022-01-18 18:00:00+03:00,250.8,251.36,239.2,239.99,66727100
2022-01-18 19:00:00+03:00,239.98,241.26,234.52,240.22,88413680
2022-01-18 20:00:00+03:00,240.22,241.3,230.75,231.81,63450190
2022-01-18 21:00:00+03:00,231.81,237.44,228.09,235.59,89722650
2022-01-18 22:00:00+03:00,235.55,235.92,231.0,232.26,55352140
2022-01-18 23:00:00+03:00,232.16,238.0,231.49,235.7,16454730
2022-01-19 00:00:00+03:00,235.74,237.35,233.39,234.0,10216290
2022-01-19 01:00:00+03:00,233.85,235.99,233.35,235.5,6421640
2022-01-19 02:00:00+03:00,235.5,237.36,235.16,236.43,5246860
2022-01-19 03:00:00+03:00,236.39,236.68,233.85,234.7,4286730
2022-01-19 10:00:00+03:00,232.9,234.1,225.45,228.99,6938310
2022-01-19 11:00:00+03:00,228.99,232.5,221.03,225.66,25443550
2022-01-19 12:00:00+03:00,225.56,226.5,221.09,226.06,17111600
2022-01-19 13:00:00+03:00,226.07,238.0,224.7,236.78,30407420
2022-01-19 14:00:00+03:00,236.78,245.0,235.73,239.8,62986220
