dt,side,conf
2022-01-17 07:00:00+00:00,-1,0.75
2022-01-17 09:30:00+00:00,1,0.75
2022-01-17 10:50:00+00:00,-1,0.75
2022-01-18 19:10:00+00:00,1,0.75
2022-01-18 21:00:00+00:00,-1,0.75
2022-01-18 22:00:00+00:00,1,0.75
2022-01-19 06:50:00+00:00,-1,0.75
2022-01-19 10:00:00+00:00,1,0.75
2022-01-20 10:20:00+00:00,-1,0.75
2022-01-20 12:30:00+00:00,1,0.75
2022-01-20 13:10:00+00:00,-1,0.75
2022-01-20 13:20:00+00:00,1,0.75
2022-01-20 14:10:00+00:00,-1,0.75
2022-01-20 14:20:00+00:00,1,0.75
2022-01-20 19:50:00+00:00,-1,0.75
2022-01-21 13:40:00+00:00,1,0.75
2022-01-21 18:40:00+00:00,-1,0.75
2022-01-24 07:00:00+00:00,1,0.75
2022-01-24 08:40:00+00:00,-1,0.75
2022-01-24 17:30:00+00:00,1,0.75
2022-01-24 18:10:00+00:00,-1,0.75
2022-01-24 19:20:00+00:00,1,0.75
2022-01-24 19:40:00+00:00,-1,0.75
2022-01-24 21:40:00+00:00,1,0.75
2022-01-25 11:00:00+00:00,-1,0.75
2022-01-25 14:00:00+00:00,1,0.75
2022-01-25 14:20:00+00:00,-1,0.75
2022-01-25 19:20:00+00:00,1,0.75
2022-01-26 07:30:00+00:00,-1,0.75
2022-01-26 11:00:00+00:00,1,0.75
2022-01-26 19:50:00+00:00,-1,0.75
2022-01-26 20:00:00+00:00,1,0.75
2022-01-26 20:10:00+00:00,-1,0.75
2022-01-26 21:10:00+00:00,1,0.75
2022-01-26 22:40:00+00:00,-1,0.75
2022-01-27 10:30:00+00:00,1,0.75
2022-01-27 17:40:00+00:00,-1,0.75
2022-01-28 07:00:00+00:00,1,0.75
2022-01-28 10:20:00+00:00,-1,0.75
2022-01-28 12:10:00+00:00,1,0.75
2022-01-28 14:40:00+00:00,-1,0.75
2022-01-28 18:30:00+00:00,1,0.75
2022-01-28 19:10:00+00:00,-1,0.75
2022-01-28 19:20:00+00:00,1,0.75
2022-01-28 19:40:00+00:00,-1,0.75
2022-01-28 21:40:00+00:00,1,0.75
2022-01-28 21:50:00+00:00,-1,0.75
2022-01-28 23:30:00+00:00,1,0.75
2022-01-31 06:50:00+00:00,-1,0.75
2022-01-31 07:00:00+00:00,1,0.75
2022-01-31 11:30:00+00:00,-1,0.75
2022-01-31 12:00:00+00:00,1,0.75
2022-01-31 12:20:00+00:00,-1,0.75
2022-01-31 20:30:00+00:00,1,0.75
2022-02-01 07:20:00+00:00,-1,0.75
2022-02-01 11:10:00+00:00,1,0.75
2022-02-01 12:40:00+00:00,-1,0.75
2022-02-01 13:10:00+00:00,1,0.75
2022-02-01 16:50:00+00:00,-1,0.75
2022-02-01 17:00:00+00:00,1,0.75
2022-02-01 17:50:00+00:00,-1,0.75
2022-02-01 23:00:00+00:00,1,0.75
2022-02-02 10:40:00+00:00,-1,0.75
2022-02-02 15:10:00+00:00,1,0.75
2022-02-02 15:30:00+00:00,-1,0.75
2022-02-02 17:10:00+00:00,1,0.75
2022-02-02 17:40:00+00:00,-1,0.75
2022-02-02 18:20:00+00:00,1,0.75
2022-02-02 19:40:00+00:00,-1,0.75
2022-02-02 20:30:00+00:00,1,0.75
2022-02-02 21:10:00+00:00,-1,0.75
2022-02-02 21:40:00+00:00,1,0.75
2022-02-02 23:30:00+00:00,-1,0.75
2022-02-03 08:30:00+00:00,1,0.75
2022-02-03 08:40:00+00:00,-1,0.75
2022-02-03 15:10:00+00:00,1,0.75
2022-02-03 17:40:00+00:00,-1,0.75
2022-02-03 22:00:00+00:00,1,0.75
2022-02-04 13:20:00+00:00,-1,0.75
2022-02-04 21:40:00+00:00,1,0.75
2022-02-07 06:50:00+00:00,-1,0.75
2022-02-07 07:10:00+00:00,1,0.75
2022-02-07 08:50:00+00:00,-1,0.75
2022-02-07 09:20:00+00:00,1,0.75
2022-02-07 10:20:00+00:00,-1,0.75
2022-02-07 14:10:00+00:00,1,0.75
2022-02-07 17:20:00+00:00,-1,0.75
2022-02-07 18:30:00+00:00,1,0.75
2022-02-08 07:00:00+00:00,-1,0.75
2022-02-08 09:20:00+00:00,1,0.75
2022-02-08 23:10:00+00:00,-1,0.75
2022-02-08 23:20:00+00:00,1,0.75
2022-02-09 10:40:00+00:00,-1,0.75
2022-02-09 11:00:00+00:00,1,0.75
2022-02-09 11:10:00+00:00,-1,0.75
2022-02-09 12:10:00+00:00,1,0.75
2022-02-09 12:40:00+00:00,-1,0.75
2022-02-09 12:50:00+00:00,1,0.75
2022-02-09 15:20:00+00:00,-1,0.75
2022-02-09 16:20:00+00:00,1,0.75
2022-02-09 22:00:00+00:00,-1,0.75
2022-02-10 09:30:00+00:00,1,0.75
2022-02-10 10:20:00+00:00,-1,0.75
