dt,side,conf
2022-01-17 07:00:00+00:00,1,0.75
2022-01-17 07:10:00+00:00,-1,0.75
2022-01-17 07:30:00+00:00,1,0.75
2022-01-17 12:00:00+00:00,-1,0.75
2022-01-17 13:30:00+00:00,1,0.75
2022-01-17 14:20:00+00:00,-1,0.75
2022-01-17 14:40:00+00:00,1,0.75
2022-01-17 17:00:00+00:00,-1,0.75
2022-01-17 17:20:00+00:00,1,0.75
2022-01-17 17:50:00+00:00,-1,0.75
2022-01-17 18:30:00+00:00,1,0.75
2022-01-18 08:10:00+00:00,-1,0.75
2022-01-19 10:00:00+00:00,1,0.75
2022-01-19 17:30:00+00:00,-1,0.75
2022-01-20 07:30:00+00:00,1,0.75
2022-01-20 11:10:00+00:00,-1,0.75
2022-01-20 16:40:00+00:00,1,0.75
2022-01-20 21:20:00+00:00,-1,0.75
2022-01-21 15:00:00+00:00,1,0.75
2022-01-21 17:20:00+00:00,-1,0.75
2022-01-24 21:10:00+00:00,1,0.75
2022-01-25 11:00:00+00:00,-1,0.75
2022-01-25 12:30:00+00:00,1,0.75
2022-01-25 16:00:00+00:00,-1,0.75
2022-01-25 20:40:00+00:00,1,0.75
2022-01-26 08:00:00+00:00,-1,0.75
2022-01-26 08:50:00+00:00,1,0.75
2022-01-26 10:10:00+00:00,-1,0.75
2022-01-26 11:20:00+00:00,1,0.75
2022-01-26 18:10:00+00:00,-1,0.75
2022-01-26 22:00:00+00:00,1,0.75
2022-01-26 22:10:00+00:00,-1,0.75
2022-01-27 11:10:00+00:00,1,0.75
2022-01-27 17:50:00+00:00,-1,0.75
2022-01-28 06:50:00+00:00,1,0.75
2022-01-28 11:20:00+00:00,-1,0.75
2022-01-28 12:10:00+00:00,1,0.75
2022-01-28 14:10:00+00:00,-1,0.75
2022-01-28 14:20:00+00:00,1,0.75
2022-01-28 14:40:00+00:00,-1,0.75
2022-01-28 17:00:00+00:00,1,0.75
2022-01-28 17:20:00+00:00,-1,0.75
2022-01-28 19:30:00+00:00,1,0.75
2022-01-28 20:30:00+00:00,-1,0.75
2022-01-28 23:40:00+00:00,1,0.75
2022-01-31 15:20:00+00:00,-1,0.75
2022-01-31 15:50:00+00:00,1,0.75
2022-01-31 17:00:00+00:00,-1,0.75
2022-01-31 17:50:00+00:00,1,0.75
2022-02-01 10:30:00+00:00,-1,0.75
2022-02-01 11:40:00+00:00,1,0.75
2022-02-01 12:00:00+00:00,-1,0.75
2022-02-01 16:10:00+00:00,1,0.75
2022-02-01 17:20:00+00:00,-1,0.75
2022-02-01 23:40:00+00:00,1,0.75
2022-02-02 10:50:00+00:00,-1,0.75
2022-02-02 13:40:00+00:00,1,0.75
2022-02-02 17:20:00+00:00,-1,0.75
2022-02-02 17:30:00+00:00,1,0.75
2022-02-02 17:40:00+00:00,-1,0.75
2022-02-03 11:20:00+00:00,1,0.75
2022-02-03 12:30:00+00:00,-1,0.75
2022-02-03 15:10:00+00:00,1,0.75
2022-02-03 15:50:00+00:00,-1,0.75
2022-02-03 19:10:00+00:00,1,0.75
2022-02-03 22:20:00+00:00,-1,0.75
2022-02-04 07:10:00+00:00,1,0.75
2022-02-04 13:00:00+00:00,-1,0.75
2022-02-04 22:00:00+00:00,1,0.75
2022-02-07 07:00:00+00:00,-1,0.75
2022-02-07 07:20:00+00:00,1,0.75
2022-02-07 08:20:00+00:00,-1,0.75
2022-02-07 09:20:00+00:00,1,0.75
2022-02-07 11:20:00+00:00,-1,0.75
2022-02-07 15:00:00+00:00,1,0.75
2022-02-07 17:10:00+00:00,-1,0.75
2022-02-07 17:50:00+00:00,1,0.75
2022-02-07 18:00:00+00:00,-1,0.75
2022-02-07 22:30:00+00:00,1,0.75
2022-02-07 23:00:00+00:00,-1,0.75
2022-02-07 23:10:00+00:00,1,0.75
2022-02-07 23:30:00+00:00,-1,0.75
2022-02-07 23:40:00+00:00,1,0.75
2022-02-08 08:20:00+00:00,-1,0.75
2022-02-08 09:00:00+00:00,1,0.75
2022-02-08 16:30:00+00:00,-1,0.75
2022-02-08 17:40:00+00:00,1,0.75
2022-02-09 15:40:00+00:00,-1,0.75
2022-02-09 17:20:00+00:00,1,0.75
2022-02-09 17:30:00+00:00,-1,0.75
2022-02-09 19:40:00+00:00,1,0.75
2022-02-09 20:00:00+00:00,-1,0.75
2022-02-09 22:00:00+00:00,1,0.75
2022-02-10 07:30:00+00:00,-1,0.75
