dt,side,conf
2022-01-17 07:00:00+00:00,1,0.75
2022-01-17 07:10:00+00:00,-1,0.75
2022-01-17 08:20:00+00:00,1,0.75
2022-01-17 11:40:00+00:00,-1,0.75
2022-01-17 20:40:00+00:00,1,0.75
2022-01-17 22:20:00+00:00,-1,0.75
2022-01-17 22:50:00+00:00,1,0.75
2022-01-17 23:10:00+00:00,-1,0.75
2022-01-17 23:20:00+00:00,1,0.75
2022-01-17 23:30:00+00:00,-1,0.75
2022-01-18 06:50:00+00:00,1,0.75
2022-01-18 08:00:00+00:00,-1,0.75
2022-01-18 13:10:00+00:00,1,0.75
2022-01-18 14:40:00+00:00,-1,0.75
2022-01-18 19:50:00+00:00,1,0.75
2022-01-18 20:00:00+00:00,-1,0.75
2022-01-18 22:30:00+00:00,1,0.75
2022-01-18 23:20:00+00:00,-1,0.75
2022-01-19 09:50:00+00:00,1,0.75
2022-01-19 17:20:00+00:00,-1,0.75
2022-01-19 19:40:00+00:00,1,0.75
2022-01-19 23:30:00+00:00,-1,0.75
2022-01-20 08:00:00+00:00,1,0.75
2022-01-20 10:20:00+00:00,-1,0.75
2022-01-20 13:40:00+00:00,1,0.75
2022-01-20 13:50:00+00:00,-1,0.75
2022-01-20 14:20:00+00:00,1,0.75
2022-01-20 14:40:00+00:00,-1,0.75
2022-01-20 17:00:00+00:00,1,0.75
2022-01-20 20:50:00+00:00,-1,0.75
2022-01-21 10:50:00+00:00,1,0.75
2022-01-21 11:00:00+00:00,-1,0.75
2022-01-21 12:10:00+00:00,1,0.75
2022-01-21 14:50:00+00:00,-1,0.75
2022-01-21 15:00:00+00:00,1,0.75
2022-01-21 18:00:00+00:00,-1,0.75
2022-01-21 18:30:00+00:00,1,0.75
2022-01-21 20:10:00+00:00,-1,0.75
2022-01-24 07:00:00+00:00,1,0.75
2022-01-24 09:50:00+00:00,-1,0.75
2022-01-24 17:20:00+00:00,1,0.75
2022-01-24 17:50:00+00:00,-1,0.75
2022-01-24 21:10:00+00:00,1,0.75
2022-01-24 21:20:00+00:00,-1,0.75
2022-01-24 21:30:00+00:00,1,0.75
2022-01-25 11:00:00+00:00,-1,0.75
2022-01-25 12:00:00+00:00,1,0.75
2022-01-25 15:30:00+00:00,-1,0.75
2022-01-25 16:40:00+00:00,1,0.75
2022-01-25 17:30:00+00:00,-1,0.75
2022-01-25 18:30:00+00:00,1,0.75
2022-01-26 08:00:00+00:00,-1,0.75
2022-01-26 09:30:00+00:00,1,0.75
2022-01-26 10:10:00+00:00,-1,0.75
2022-01-26 11:20:00+00:00,1,0.75
2022-01-26 18:10:00+00:00,-1,0.75
2022-01-26 21:20:00+00:00,1,0.75
2022-01-26 22:40:00+00:00,-1,0.75
2022-01-27 10:20:00+00:00,1,0.75
2022-01-27 20:30:00+00:00,-1,0.75
2022-01-27 23:40:00+00:00,1,0.75
2022-01-28 06:50:00+00:00,-1,0.75
2022-01-28 07:00:00+00:00,1,0.75
2022-01-28 10:20:00+00:00,-1,0.75
2022-01-28 11:50:00+00:00,1,0.75
2022-01-28 15:20:00+00:00,-1,0.75
2022-01-28 17:40:00+00:00,1,0.75
2022-01-28 18:20:00+00:00,-1,0.75
2022-01-31 07:00:00+00:00,1,0.75
2022-01-31 11:20:00+00:00,-1,0.75
2022-01-31 15:40:00+00:00,1,0.75
2022-01-31 17:40:00+00:00,-1,0.75
2022-01-31 18:30:00+00:00,1,0.75
2022-02-01 08:00:00+00:00,-1,0.75
2022-02-01 10:20:00+00:00,1,0.75
2022-02-01 18:20:00+00:00,-1,0.75
2022-02-01 19:10:00+00:00,1,0.75
2022-02-01 19:30:00+00:00,-1,0.75
2022-02-01 23:10:00+00:00,1,0.75
2022-02-02 10:40:00+00:00,-1,0.75
2022-02-02 11:00:00+00:00,1,0.75
2022-02-02 13:00:00+00:00,-1,0.75
2022-02-02 13:20:00+00:00,1,0.75
2022-02-02 14:30:00+00:00,-1,0.75
2022-02-02 14:40:00+00:00,1,0.75
2022-02-03 07:00:00+00:00,-1,0.75
2022-02-03 11:30:00+00:00,1,0.75
2022-02-03 12:30:00+00:00,-1,0.75
2022-02-03 21:40:00+00:00,1,0.75
2022-02-04 14:50:00+00:00,-1,0.75
2022-02-04 20:30:00+00:00,1,0.75
2022-02-07 10:30:00+00:00,-1,0.75
2022-02-07 10:40:00+00:00,1,0.75
2022-02-07 11:10:00+00:00,-1,0.75
