symbol,source,total_return,pf,win_rate,trade_count,max_drawdown,volatility_ann,sharpe_ann,pnl_sum,pnl_mean,pnl_std,bars_total,bars_in_regime,entries_raw,entries_after_regime_filter,regime_filter,calmar,avg_trade,max_total_dd_limit,max_daily_dd_limit,hit_max_total_dd,hit_max_daily_dd_days,regime_exit_trades,regime_segments_path,profile
GAZP,out/range/GAZP_30min_rangeV2_stats.json,-0.10341672148429182,0.5021904808347499,0.3671875,128,-0.10569008495360943,0.0030013776054304588,-0.316050831590219,-103416.72148429156,-807.9431365960277,2640.692597371987,28863,28863,374,374,,-0.9784902862901902,-807.9431365960277,0.1,0.02,True,0,0,,
ROSN,out/range/ROSN_30min_rangeV2_stats.json,-0.09953308725907983,0.5545572615824426,0.3611111111111111,144,-0.10052689459111708,0.0031910500594964954,-0.285325435169126,-99533.08725907962,-691.2019948547196,2719.52656501452,28856,28856,367,367,,-0.9901140153977753,-691.2019948547196,0.1,0.02,True,1,0,,
SBER,out/range/SBER_30min_rangeV2_stats.json,-0.09808080891246695,0.5115841918642214,0.3795620437956204,137,-0.10258872439541367,0.0028067481210381547,-0.3197787833477415,-98080.80891246644,-715.9183132296821,2334.5843079341616,28857,28857,334,334,,-0.9560583727937625,-715.9183132296821,0.1,0.02,True,1,0,,
LKOH,out/range/LKOH_30min_rangeV2_stats.json,-0.10093495216346127,0.4638567599918261,0.33043478260869563,115,-0.10140939051445486,0.002822265500619115,-0.32777719855655285,-100934.95216346158,-877.6952362040137,2596.1501483587513,28860,28860,369,369,,-0.9953215540633196,-877.6952362040137,0.1,0.02,True,0,0,,
GMKN,out/range/GMKN_30min_rangeV2_stats.json,-0.09053798220255571,0.47706368243372005,0.36363636363636365,110,-0.10081492627324307,0.0027140902305578776,-0.3051936134259814,-90537.98220255488,-823.0725654777717,2481.577510887843,28744,28744,386,386,,-0.8980612846669817,-823.0725654777717,0.1,0.02,True,0,0,,
YNDX,out/range/YNDX_30min_rangeV2_stats.json,-0.09804042990895045,0.601842029514201,0.37790697674418605,172,-0.10026827313972098,0.004492840019682061,-0.3500956424006145,-98040.4299089508,-570.0024994706441,2524.0762395816087,16426,16426,195,195,,-0.9777811748321816,-570.0024994706441,0.1,0.02,True,0,0,,
NVTK,out/range/NVTK_30min_rangeV2_stats.json,-0.1043701861138322,0.45637171916830627,0.3230769230769231,130,-0.10578500572805694,0.00283052872118823,-0.33959114905373494,-104370.18611383239,-802.8475854910184,2296.7285135191532,28778,28778,379,379,,-0.986625518385263,-802.8475854910184,0.1,0.02,True,0,0,,
NLMK,out/range/NLMK_30min_rangeV2_stats.json,-0.10525813031652664,0.5056297682034187,0.3873239436619718,142,-0.10795051195904637,0.0031152434982541686,-0.31017070968423954,-105258.13031652734,-741.2544388487842,2487.0470874303683,28861,28861,364,364,,-0.9750591118683981,-741.2544388487842,0.1,0.02,True,0,0,,
MTSS,out/range/MTSS_30min_rangeV2_stats.json,-0.09958420538557378,0.5546096621224811,0.373134328358209,134,-0.10181606314308955,0.0034682681350097838,-0.26273270740795046,-99584.20538557362,-743.165711832639,3023.59660256528,28819,28819,367,367,,-0.9780795123223417,-743.165711832639,0.1,0.02,True,0,0,,
TATN,out/range/TATN_30min_rangeV2_stats.json,-0.10155046045192961,0.8287468731586227,0.49064449064449067,481,-0.10213388400409573,0.005796821685711313,-0.15864346605992924,-101550.46045192887,-211.12361840317848,2574.616833306431,28817,28817,391,391,,-0.9942876592048264,-211.12361840317848,0.1,0.02,True,0,0,,
