bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00229]",-0.001,0.00229,24,0.5,2.601580068333333e-05,1.0227412600686971
"(0.00229, 0.00409]",0.00229,0.00409,24,0.25,-0.0014890602592662998,0.23500063691977652
"(0.00409, 0.0059]",0.00409,0.0059,24,0.2916666666666667,-0.001268629339816675,0.37383590537820033
"(0.0059, 0.00728]",0.0059,0.00728,24,0.5833333333333334,0.000849041892618954,1.9609564192655273
"(0.00728, 0.00869]",0.00728,0.00869,24,0.4166666666666667,-0.00045454441132520835,0.624687503447022
"(0.00869, 0.0115]",0.00869,0.0115,23,0.34782608695652173,-0.0005503466466115261,0.5681346120561526
"(0.0115, 0.0147]",0.0115,0.0147,24,0.3333333333333333,-0.0004697764753656167,0.6457036102189792
"(0.0147, 0.0199]",0.0147,0.0199,24,0.4166666666666667,-0.0001416039560867043,0.8931141426782476
"(0.0199, 0.0268]",0.0199,0.0268,24,0.4583333333333333,4.865252037102493e-05,1.032534756643207
"(0.0268, 0.113]",0.0268,0.113,24,0.4166666666666667,-0.0007688060378770375,0.49655219544301227
