bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.261, -0.0564]",-0.261,-0.0564,13,0.46153846153846156,-0.0009124166909087263,0.5192969589059553
"(-0.0564, -0.0433]",-0.0564,-0.0433,13,0.46153846153846156,0.0002307036314549077,1.1977548013549355
"(-0.0433, -0.0344]",-0.0433,-0.0344,13,0.38461538461538464,-0.0003810349852707154,0.7169071258088429
"(-0.0344, -0.0287]",-0.0344,-0.0287,12,0.5833333333333334,0.00025131271079456666,1.2423833097828976
"(-0.0287, -0.0235]",-0.0287,-0.0235,13,0.15384615384615385,-0.001581207123137523,0.11689653650111936
"(-0.0235, -0.019]",-0.0235,-0.019,13,0.15384615384615385,-0.002183539354417146,0.08897648903107176
"(-0.019, -0.0152]",-0.019,-0.0152,12,0.3333333333333333,-0.0013411402585068917,0.4353199983300545
"(-0.0152, -0.0122]",-0.0152,-0.0122,13,0.3076923076923077,-0.0009895493143372769,0.4762372136623868
"(-0.0122, -0.00739]",-0.0122,-0.00739,13,0.46153846153846156,-0.00045364266491363856,0.6668472265408274
"(-0.00739, -0.00111]",-0.00739,-0.00111,13,0.38461538461538464,-0.0010790602210437308,0.3856063170801632
