bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.0014]",-0.001,0.0014,13,0.38461538461538464,-0.0013884827931760998,0.44767484130339835
"(0.0014, 0.0029]",0.0014,0.0029,13,0.6153846153846154,0.0003616944549864768,1.550790872208398
"(0.0029, 0.00419]",0.0029,0.00419,13,0.15384615384615385,-0.0019539737649778696,0.09315512915561744
"(0.00419, 0.006]",0.00419,0.006,12,0.25,-0.0013014254981108583,0.32262752540308154
"(0.006, 0.0071]",0.006,0.0071,13,0.23076923076923078,-0.0013663179190688845,0.26065040452350546
"(0.0071, 0.00941]",0.0071,0.00941,13,0.23076923076923078,-0.0014169111198967846,0.27245439855824194
"(0.00941, 0.0112]",0.00941,0.0112,12,0.3333333333333333,-0.0008869687535259084,0.5196921034464843
"(0.0112, 0.0139]",0.0112,0.0139,13,0.5384615384615384,-0.00010111661772062603,0.9132290929174203
"(0.0139, 0.017]",0.0139,0.017,13,0.38461538461538464,-0.0008646920048007615,0.5343258242522078
"(0.017, 0.0467]",0.017,0.0467,13,0.5384615384615384,0.00039411461493403066,1.3476641938727425
