bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.0971, -0.0439]",-0.0971,-0.0439,11,0.45454545454545453,-0.0005452295244266753,0.6344696106859107
"(-0.0439, -0.0347]",-0.0439,-0.0347,11,0.45454545454545453,-0.00015157931597680906,0.8642955229384118
"(-0.0347, -0.0271]",-0.0347,-0.0271,11,0.2727272727272727,-0.0011967866980882634,0.33652759715039804
"(-0.0271, -0.0221]",-0.0271,-0.0221,11,0.2727272727272727,-0.0011734609301626271,0.42452106630503733
"(-0.0221, -0.0192]",-0.0221,-0.0192,11,0.2727272727272727,-0.0011737723228137545,0.4105541960125366
"(-0.0192, -0.0149]",-0.0192,-0.0149,11,0.36363636363636365,-0.00037562938675983633,0.7448895443646841
"(-0.0149, -0.0128]",-0.0149,-0.0128,11,0.5454545454545454,-0.0004774093336707818,0.6414455358654957
"(-0.0128, -0.0105]",-0.0128,-0.0105,11,0.18181818181818182,-0.001756441972238409,0.172489064404328
"(-0.0105, -0.00807]",-0.0105,-0.00807,11,0.5454545454545454,-0.00013281475530954544,0.8642461352332999
"(-0.00807, -0.000604]",-0.00807,-0.000604,11,0.2727272727272727,-0.0016079011366471544,0.17337142430084496
