bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.0010500000000000002, 0.00267]",0.0010500000000000002,0.00267,11,0.09090909090909091,-0.002844627069424427,0.07469616566316269
"(0.00267, 0.00325]",0.00267,0.00325,11,0.2727272727272727,-0.0010204990427692454,0.31865434501376255
"(0.00325, 0.004]",0.00325,0.004,11,0.0,-0.002329419830939827,0.0
"(0.004, 0.00451]",0.004,0.00451,11,0.45454545454545453,-0.0003456232619688544,0.7734109104602548
"(0.00451, 0.00487]",0.00451,0.00487,11,0.45454545454545453,-0.000684653675284818,0.5398738785702409
"(0.00487, 0.00548]",0.00487,0.00548,11,0.5454545454545454,0.00021272535918165456,1.1679362517618832
"(0.00548, 0.00612]",0.00548,0.00612,11,0.5454545454545454,0.00022378002741091813,1.2459282287401414
"(0.00612, 0.00685]",0.00612,0.00685,11,0.5454545454545454,-5.3347370768136295e-05,0.9482198503656346
"(0.00685, 0.00958]",0.00685,0.00958,11,0.36363636363636365,-0.0010446618770416818,0.3317273072329229
"(0.00958, 0.0293]",0.00958,0.0293,11,0.36363636363636365,-0.000704698634489439,0.5617240184906603
