bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.0023]",-0.001,0.0023,12,0.3333333333333333,-0.001775435173867925,0.3017090549111073
"(0.0023, 0.00301]",0.0023,0.00301,11,0.36363636363636365,-0.0007914632185294545,0.4830436119334119
"(0.00301, 0.00406]",0.00301,0.00406,12,0.3333333333333333,-0.0009355834871412833,0.3925441376426222
"(0.00406, 0.0056]",0.00406,0.0056,11,0.2727272727272727,-0.0013723645559343093,0.21238777949365215
"(0.0056, 0.007]",0.0056,0.007,12,0.25,-0.0014105677071379666,0.16766553766907394
"(0.007, 0.00832]",0.007,0.00832,11,0.45454545454545453,-0.0005217648707112545,0.7274543408810626
"(0.00832, 0.0107]",0.00832,0.0107,11,0.2727272727272727,-0.001218995146455309,0.3303875871863801
"(0.0107, 0.0129]",0.0107,0.0129,12,0.3333333333333333,-0.0005778914823856334,0.6544880547829954
"(0.0129, 0.0185]",0.0129,0.0185,11,0.18181818181818182,-0.0010472139596779907,0.41231013927426735
"(0.0185, 0.084]",0.0185,0.084,12,0.5,0.00041156299813014416,1.4305341125734523
