bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.0015699999999999998, 0.00435]",0.0015699999999999998,0.00435,12,0.25,-0.0016493508825542586,0.19527376259339926
"(0.00435, 0.00491]",0.00435,0.00491,11,0.18181818181818182,-0.0018580099287348452,0.18200185618358236
"(0.00491, 0.00539]",0.00491,0.00539,12,0.08333333333333333,-0.0027290112745950086,0.06601807122417096
"(0.00539, 0.00629]",0.00539,0.00629,11,0.2727272727272727,-0.0011180586431859272,0.3996876664506048
"(0.00629, 0.00683]",0.00629,0.00683,12,0.4166666666666667,-0.00018518769528654987,0.8765526578542238
"(0.00683, 0.0075]",0.00683,0.0075,11,0.36363636363636365,-0.00047964522390312733,0.6959235901450427
"(0.0075, 0.00891]",0.0075,0.00891,11,0.36363636363636365,-0.00038490621833289995,0.6716583637144871
"(0.00891, 0.0107]",0.00891,0.0107,12,0.5,0.00014721080368941666,1.1509058968461905
"(0.0107, 0.0152]",0.0107,0.0152,11,0.36363636363636365,-0.0008732086527398729,0.430007409001856
"(0.0152, 0.0285]",0.0152,0.0285,12,0.5,-8.971779770027245e-05,0.9311073412538572
