bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.12, -0.0641]",-0.12,-0.0641,12,0.4166666666666667,-0.0005707951716475001,0.6907750828853366
"(-0.0641, -0.046]",-0.0641,-0.046,11,0.36363636363636365,-1.407737409072455e-05,0.9874534154946121
"(-0.046, -0.0339]",-0.046,-0.0339,12,0.5833333333333334,0.0006405714589415333,1.7055198886406466
"(-0.0339, -0.0307]",-0.0339,-0.0307,11,0.36363636363636365,-0.00025572708187612727,0.8020853181437226
"(-0.0307, -0.0244]",-0.0307,-0.0244,12,0.3333333333333333,-0.0008944182569054167,0.5016020028047122
"(-0.0244, -0.0199]",-0.0244,-0.0199,11,0.2727272727272727,-0.0016031056728142727,0.20550226600451282
"(-0.0199, -0.0159]",-0.0199,-0.0159,11,0.2727272727272727,-0.001025650243705191,0.3365033257610144
"(-0.0159, -0.0134]",-0.0159,-0.0134,12,0.16666666666666666,-0.0018457398314179752,0.1468486697660085
"(-0.0134, -0.00821]",-0.0134,-0.00821,11,0.09090909090909091,-0.0026611357136436184,0.07328223627588322
"(-0.00821, -0.00137]",-0.00821,-0.00137,12,0.4166666666666667,-0.001060296577786825,0.35345282265444017
