bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00422]",-0.001,0.00422,12,0.25,-0.0020650552915667916,0.2399407493141506
"(0.00422, 0.00613]",0.00422,0.00613,11,0.2727272727272727,-0.0011822552071877911,0.3450030625966101
"(0.00613, 0.00776]",0.00613,0.00776,12,0.3333333333333333,-0.0011899753542772334,0.32258883719814946
"(0.00776, 0.00897]",0.00776,0.00897,11,0.36363636363636365,-0.0011266875044431365,0.36724458971692475
"(0.00897, 0.0104]",0.00897,0.0104,12,0.3333333333333333,-0.0012235664403820086,0.24848262637110777
"(0.0104, 0.0125]",0.0104,0.0125,11,0.09090909090909091,-0.0017117052340084274,0.11111141390348016
"(0.0125, 0.0152]",0.0125,0.0152,11,0.2727272727272727,-0.001441131650454882,0.3099128748919791
"(0.0152, 0.0196]",0.0152,0.0196,12,0.5833333333333334,0.0008506496582354582,2.0696986369375923
"(0.0196, 0.0287]",0.0196,0.0287,11,0.36363636363636365,-0.0007228061117486635,0.6022471700088571
"(0.0287, 0.0864]",0.0287,0.0864,12,0.4166666666666667,0.0004700845357446109,1.5029890734876776
