bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00034, 0.00313]",0.00034,0.00313,17,0.29411764705882354,-0.0016314592838290413,0.3043623180131201
"(0.00313, 0.00389]",0.00313,0.00389,17,0.23529411764705882,-0.001261502731233853,0.2890160790424484
"(0.00389, 0.00438]",0.00389,0.00438,17,0.4117647058823529,-0.0014758345237753717,0.2855012785056679
"(0.00438, 0.0048]",0.00438,0.0048,16,0.3125,-0.0006758034939055624,0.5449448937634653
"(0.0048, 0.00567]",0.0048,0.00567,17,0.35294117647058826,-0.0005418798308026882,0.6755477364478346
"(0.00567, 0.00649]",0.00567,0.00649,17,0.4117647058823529,-0.0006449901172827293,0.5522426021346967
"(0.00649, 0.00777]",0.00649,0.00777,16,0.625,0.00026492171628134386,1.257175456486173
"(0.00777, 0.00929]",0.00777,0.00929,17,0.5882352941176471,-9.221767915271173e-05,0.9181487369606381
"(0.00929, 0.0123]",0.00929,0.0123,17,0.5294117647058824,-0.00017357145491102348,0.8244897018050675
"(0.0123, 0.0278]",0.0123,0.0278,17,0.5882352941176471,3.5492258333764124e-06,1.0033380313550444
