bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-1.132, -0.623]",-1.132,-0.623,17,0.5882352941176471,8.24526569760057e-05,1.0567829912718272
"(-0.623, -0.488]",-0.623,-0.488,17,0.47058823529411764,-0.00023297248780948244,0.8191447816426365
"(-0.488, -0.388]",-0.488,-0.388,17,0.4117647058823529,-0.0007881221062197587,0.5486972303034997
"(-0.388, -0.258]",-0.388,-0.258,16,0.3125,-0.0007447027600409563,0.49966331333979125
"(-0.258, -0.209]",-0.258,-0.209,17,0.35294117647058826,-0.0016238201761638832,0.2117043976914801
"(-0.209, -0.0936]",-0.209,-0.0936,17,0.4117647058823529,-0.00047249458287528233,0.6952461323009974
"(-0.0936, -0.0497]",-0.0936,-0.0497,16,0.375,-0.0006632493661220876,0.5377623497353279
"(-0.0497, -0.00874]",-0.0497,-0.00874,17,0.47058823529411764,-0.0007120528166871117,0.5397765966958677
"(-0.00874, 0.218]",-0.00874,0.218,17,0.47058823529411764,-0.00033330585081228824,0.6961895131184687
"(0.218, 0.441]",0.218,0.441,17,0.47058823529411764,-0.0007991718799962881,0.4077662926531478
