bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00106]",-0.001,0.00106,14,0.2857142857142857,-0.0007918548311900356,0.500044223320542
"(0.00106, 0.00275]",0.00106,0.00275,13,0.3076923076923077,-0.0008607154182813768,0.4015230247837284
"(0.00275, 0.00418]",0.00275,0.00418,13,0.3076923076923077,-0.0015744107382022923,0.19351312787085928
"(0.00418, 0.00523]",0.00418,0.00523,14,0.2857142857142857,-0.0007524879735303254,0.5115163507062875
"(0.00523, 0.00632]",0.00523,0.00632,13,0.23076923076923078,-0.0014422089955827997,0.28294042638394773
"(0.00632, 0.00796]",0.00632,0.00796,13,0.38461538461538464,-0.0023732658949553306,0.24564787856553935
"(0.00796, 0.0102]",0.00796,0.0102,14,0.5714285714285714,0.0003049846538551714,1.2955428146807555
"(0.0102, 0.0151]",0.0102,0.0151,13,0.38461538461538464,-0.0011192412957133462,0.44853066222817045
"(0.0151, 0.0196]",0.0151,0.0196,13,0.38461538461538464,1.677323490942302e-05,1.0103621857662328
"(0.0196, 0.0849]",0.0196,0.0849,14,0.5714285714285714,0.0006250273315851713,1.5521092335958482
