bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-1.638, -0.707]",-1.638,-0.707,14,0.35714285714285715,-0.0001802234554908428,0.9041606419928199
"(-0.707, -0.495]",-0.707,-0.495,13,0.5384615384615384,0.00017007720810917687,1.1210448881527006
"(-0.495, -0.399]",-0.495,-0.399,13,0.3076923076923077,-0.0016435616338446692,0.3339540386567329
"(-0.399, -0.288]",-0.399,-0.288,14,0.35714285714285715,-0.0003554955103889755,0.7334504029706963
"(-0.288, -0.207]",-0.288,-0.207,13,0.38461538461538464,-0.0017732725648801925,0.3840618360613959
"(-0.207, -0.126]",-0.207,-0.126,13,0.46153846153846156,2.0287966987923122e-05,1.016728266877213
"(-0.126, -0.048]",-0.126,-0.048,14,0.21428571428571427,-0.0016768696650074643,0.1447485444564836
"(-0.048, -0.0166]",-0.048,-0.0166,13,0.23076923076923078,-0.0012922041257108384,0.2740806041580721
"(-0.0166, 0.22]",-0.0166,0.22,13,0.38461538461538464,-0.0006099883797752847,0.542374011695798
"(0.22, 0.492]",0.22,0.492,14,0.5,-0.0004672635114823001,0.5944133779664058
