bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00119, 0.00363]",0.00119,0.00363,15,0.4,-0.00102885504958838,0.3827594638637772
"(0.00363, 0.00427]",0.00363,0.00427,14,0.5,-0.00010904921390947864,0.9288367708242425
"(0.00427, 0.005]",0.00427,0.005,14,0.35714285714285715,-0.0018667283439377641,0.23831437635170008
"(0.005, 0.00561]",0.005,0.00561,14,0.2857142857142857,-0.0008625213136980714,0.41527973329780654
"(0.00561, 0.00622]",0.00561,0.00622,14,0.35714285714285715,-0.00096123126350305,0.4265344292029748
"(0.00622, 0.007]",0.00622,0.007,14,0.21428571428571427,-0.0010023849731213,0.3949795039871732
"(0.007, 0.00778]",0.007,0.00778,14,0.42857142857142855,-0.0005863561264883285,0.5978111096416155
"(0.00778, 0.00864]",0.00778,0.00864,14,0.42857142857142855,-0.0004068737994995714,0.662868907472057
"(0.00864, 0.0108]",0.00864,0.0108,14,0.5,0.00020147839192916436,1.2640593913287703
"(0.0108, 0.0293]",0.0108,0.0293,15,0.4,-0.0011302056070177067,0.35637284509392647
