bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00351]",-0.001,0.00351,15,0.4,-0.0001871430332676934,0.8392357922910181
"(0.00351, 0.00476]",0.00351,0.00476,14,0.35714285714285715,-0.0008817042700551713,0.3107432758471779
"(0.00476, 0.00684]",0.00476,0.00684,14,0.42857142857142855,-0.0011968710521077501,0.4167537934426508
"(0.00684, 0.00822]",0.00684,0.00822,14,0.42857142857142855,-0.0007329859640831642,0.43314213349784975
"(0.00822, 0.0102]",0.00822,0.0102,14,0.5,-0.0003828957627343572,0.6880125005340183
"(0.0102, 0.0132]",0.0102,0.0132,14,0.14285714285714285,-0.0019655759466022786,0.15898898287702318
"(0.0132, 0.0176]",0.0132,0.0176,14,0.5714285714285714,0.0006143057194545216,1.7333928119092368
"(0.0176, 0.0214]",0.0176,0.0214,14,0.21428571428571427,-0.0014063895663091787,0.3260111009915334
"(0.0214, 0.0311]",0.0214,0.0311,14,0.42857142857142855,-0.0005247311956574856,0.638645390827692
"(0.0311, 0.107]",0.0311,0.107,15,0.4,-0.00114761498719636,0.40711791057921737
