bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00133]",-0.001,0.00133,15,0.4666666666666667,4.495181556562003e-05,1.0457280384918208
"(0.00133, 0.00276]",0.00133,0.00276,14,0.2857142857142857,-0.0008545523829987288,0.3013825741179535
"(0.00276, 0.00381]",0.00276,0.00381,14,0.5,-0.0010773094076949716,0.4167154873496217
"(0.00381, 0.00492]",0.00381,0.00492,14,0.5,-0.0008877136520698929,0.4814437837399648
"(0.00492, 0.00645]",0.00492,0.00645,14,0.35714285714285715,-0.0008309230829438286,0.42338067939090185
"(0.00645, 0.00897]",0.00645,0.00897,14,0.21428571428571427,-0.0013891030319571715,0.28017348200573666
"(0.00897, 0.0123]",0.00897,0.0123,14,0.2857142857142857,-0.0013174247948204928,0.3003078887607147
"(0.0123, 0.0157]",0.0123,0.0157,14,0.5,0.0003040809892497643,1.2435171083459087
"(0.0157, 0.022]",0.0157,0.022,14,0.35714285714285715,-0.0006955514750689927,0.5316625073311927
"(0.022, 0.0754]",0.022,0.0754,15,0.4,-0.0011261709558341867,0.4152680562843544
