bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00209]",-0.001,0.00209,13,0.3076923076923077,-0.0016349996505642536,0.29083661839675085
"(0.00209, 0.00383]",0.00209,0.00383,13,0.3076923076923077,-0.0005707224666775063,0.5415262886124776
"(0.00383, 0.00569]",0.00383,0.00569,13,0.15384615384615385,-0.001492634018102977,0.18663956852255334
"(0.00569, 0.00715]",0.00569,0.00715,13,0.5384615384615384,0.00027232566514606157,1.3257507984788564
"(0.00715, 0.00874]",0.00715,0.00874,13,0.3076923076923077,-0.0011496162030257462,0.3738257789394745
"(0.00874, 0.0109]",0.00874,0.0109,13,0.23076923076923078,-0.000978011727676616,0.38384190084396047
"(0.0109, 0.0133]",0.0109,0.0133,13,0.23076923076923078,-0.0012371231825221386,0.2713499309078686
"(0.0133, 0.0154]",0.0133,0.0154,13,0.23076923076923078,-0.0009771821865894384,0.36548342980655585
"(0.0154, 0.0206]",0.0154,0.0206,13,0.38461538461538464,-0.000632214041836402,0.530622059021687
"(0.0206, 0.0331]",0.0206,0.0331,13,0.5384615384615384,-4.603927002415414e-05,0.9648287627862134
