bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.11800000000000001, -0.0643]",-0.11800000000000001,-0.0643,13,0.46153846153846156,-0.0009276692695364408,0.4227047116631918
"(-0.0643, -0.0515]",-0.0643,-0.0515,13,0.46153846153846156,6.236262059276125e-05,1.0547858686354488
"(-0.0515, -0.0411]",-0.0515,-0.0411,13,0.0,-0.0021688534826903,0.0
"(-0.0411, -0.0343]",-0.0411,-0.0343,13,0.38461538461538464,-0.0005138556220046614,0.6484069207981693
"(-0.0343, -0.0291]",-0.0343,-0.0291,13,0.23076923076923078,-0.0008793701713435524,0.38734036302197483
"(-0.0291, -0.0247]",-0.0291,-0.0247,13,0.23076923076923078,-0.0008866066414219231,0.4258619145036613
"(-0.0247, -0.0207]",-0.0247,-0.0207,13,0.38461538461538464,-0.00015609990451980783,0.8714255620815662
"(-0.0207, -0.0159]",-0.0207,-0.0159,13,0.3076923076923077,-0.0010003793159215626,0.4627336085634257
"(-0.0159, -0.0117]",-0.0159,-0.0117,13,0.3076923076923077,-0.001253576764656546,0.30922783616389865
"(-0.0117, -0.000357]",-0.0117,-0.000357,13,0.46153846153846156,-0.0007221685303711383,0.4412817744623658
