bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00364, 0.00733]",0.00364,0.00733,13,0.38461538461538464,-0.0016060600015080386,0.36537287062072155
"(0.00733, 0.00883]",0.00733,0.00883,13,0.23076923076923078,-0.0015852280353985304,0.32906691563845725
"(0.00883, 0.0107]",0.00883,0.0107,13,0.5384615384615384,-6.993198634346924e-05,0.9455633708291602
"(0.0107, 0.0116]",0.0107,0.0116,12,0.3333333333333333,-0.0006303887760739083,0.47897454102253184
"(0.0116, 0.0128]",0.0116,0.0128,13,0.23076923076923078,-0.0014255057128719382,0.34611593639247
"(0.0128, 0.0145]",0.0128,0.0145,13,0.23076923076923078,-0.0006606744814614692,0.4751269828973808
"(0.0145, 0.0156]",0.0145,0.0156,12,0.25,-0.0002240831468117,0.8339951076720941
"(0.0156, 0.0176]",0.0156,0.0176,13,0.23076923076923078,-0.0012426815845534766,0.28257916494367136
"(0.0176, 0.0205]",0.0176,0.0205,13,0.15384615384615385,-0.0011019646166036462,0.21534356503085308
"(0.0205, 0.0294]",0.0205,0.0294,13,0.6153846153846154,0.0007628882900068925,2.5584697944317165
