bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00015999999999999999, 0.00252]",0.00015999999999999999,0.00252,48,0.4583333333333333,-0.00040596813932990025,0.769866220344207
"(0.00252, 0.00297]",0.00252,0.00297,47,0.425531914893617,-0.0007978914597990955,0.5452941679780446
"(0.00297, 0.00341]",0.00297,0.00341,47,0.44680851063829785,3.304754819174399e-06,1.0023557318668748
"(0.00341, 0.00384]",0.00341,0.00384,47,0.46808510638297873,-2.3069552454268095e-05,0.9813657338425232
"(0.00384, 0.00435]",0.00384,0.00435,48,0.3958333333333333,-0.0009513789152994992,0.4255439805218818
"(0.00435, 0.00503]",0.00435,0.00503,47,0.5531914893617021,0.0005497029765270894,1.5285452058930125
"(0.00503, 0.00644]",0.00503,0.00644,47,0.5106382978723404,9.64767131783189e-05,1.089822670759209
"(0.00644, 0.00791]",0.00644,0.00791,47,0.48936170212765956,-0.00017606993677227027,0.8664245227906573
"(0.00791, 0.0104]",0.00791,0.0104,47,0.46808510638297873,-2.3421858084036057e-06,0.9979469128729135
"(0.0104, 0.0294]",0.0104,0.0294,48,0.3333333333333333,-0.0003176926374245602,0.7190303215953169
