bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.0021]",-0.001,0.0021,48,0.4166666666666667,-0.0007447571294449876,0.5791735802706329
"(0.0021, 0.00333]",0.0021,0.00333,47,0.425531914893617,-0.0005368709520920618,0.6596880474991559
"(0.00333, 0.00475]",0.00333,0.00475,47,0.5319148936170213,-1.1990477664982997e-05,0.9902724092687769
"(0.00475, 0.00629]",0.00475,0.00629,47,0.3829787234042553,-0.0006493923484991907,0.5700111492130258
"(0.00629, 0.00795]",0.00629,0.00795,48,0.4375,-0.0002057459961083604,0.8294452976919087
"(0.00795, 0.0101]",0.00795,0.0101,47,0.5319148936170213,5.1723990996604215e-05,1.0476221924881945
"(0.0101, 0.0129]",0.0101,0.0129,47,0.5106382978723404,9.014236337172558e-05,1.0680783752294964
"(0.0129, 0.0176]",0.0129,0.0176,47,0.425531914893617,-0.0002596213106101408,0.8297611396638019
"(0.0176, 0.0246]",0.0176,0.0246,47,0.425531914893617,0.00015696950690997452,1.1381303856945144
"(0.0246, 0.145]",0.0246,0.145,48,0.4583333333333333,6.775666791803412e-05,1.058401910169642
