bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.164, -0.0373]",-0.164,-0.0373,48,0.375,-0.00023595195973890597,0.8346791472920162
"(-0.0373, -0.027]",-0.0373,-0.027,47,0.5531914893617021,0.0005506819409825305,1.6447244756072437
"(-0.027, -0.0228]",-0.027,-0.0228,47,0.44680851063829785,-0.00012219838510885316,0.9071610458399844
"(-0.0228, -0.019]",-0.0228,-0.019,47,0.5106382978723404,0.00038674610506110395,1.3760158108527059
"(-0.019, -0.0152]",-0.019,-0.0152,48,0.5,-0.00010490983325638877,0.920467427321457
"(-0.0152, -0.0122]",-0.0152,-0.0122,47,0.46808510638297873,-0.00030505214816284256,0.7718278461876996
"(-0.0122, -0.00979]",-0.0122,-0.00979,47,0.3404255319148936,-0.0009863467983872,0.5178646872866539
"(-0.00979, -0.00755]",-0.00979,-0.00755,47,0.40425531914893614,-0.00046792260394962345,0.6820207011841055
"(-0.00755, -0.00544]",-0.00755,-0.00544,47,0.44680851063829785,-0.0004542520598271638,0.6986793169546854
"(-0.00544, -4.99e-05]",-0.00544,-4.99e-05,48,0.5,-0.00030756545787362496,0.7488959386002739
