bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-1.4509999999999998, -0.431]","(0.00297, 0.00384]",19,0.631578947368421,0.0015097062144560107,2.7867489582930283
"(-1.4509999999999998, -0.431]","(0.00384, 0.00503]",26,0.5384615384615384,0.00036787645145295006,1.382877283740554
"(-1.4509999999999998, -0.431]","(0.00503, 0.00791]",21,0.47619047619047616,0.0004112108215219428,1.3306843612651535
"(-1.4509999999999998, -0.431]","(0.00791, 0.0294]",23,0.34782608695652173,-0.00019366018251965476,0.7921108358565249
"(-0.431, -0.229]","(0.00015999999999999999, 0.00297]",20,0.25,-0.0013774356950076098,0.293384363637543
"(-0.431, -0.229]","(0.00297, 0.00384]",14,0.35714285714285715,-0.0006106029766989572,0.6273566152066974
"(-0.431, -0.229]","(0.00384, 0.00503]",21,0.6190476190476191,0.000411230237603802,1.3663552195845872
"(-0.431, -0.229]","(0.00503, 0.00791]",16,0.6875,0.0008665708987043376,1.9696453506783638
"(-0.431, -0.229]","(0.00791, 0.0294]",23,0.43478260869565216,-0.0001828314844412914,0.8746977715614871
"(-0.229, -0.109]","(0.00015999999999999999, 0.00297]",16,0.4375,-0.00033355863855392503,0.8310345257896469
"(-0.229, -0.109]","(0.00297, 0.00384]",20,0.4,-0.000678698503813755,0.6538572313337067
"(-0.229, -0.109]","(0.00384, 0.00503]",18,0.3333333333333333,-0.0010740743884935942,0.48386725787282425
"(-0.229, -0.109]","(0.00503, 0.00791]",20,0.45,-0.000564325601831185,0.5294729284208689
"(-0.229, -0.109]","(0.00791, 0.0294]",21,0.3333333333333333,-0.0005742575781112999,0.5343651292937538
"(-0.109, -0.02]","(0.00015999999999999999, 0.00297]",25,0.48,-0.00052834405700744,0.7231448523604981
"(-0.109, -0.02]","(0.00297, 0.00384]",19,0.47368421052631576,-0.00023327880652238955,0.8208739523721871
"(-0.109, -0.02]","(0.00384, 0.00503]",20,0.4,-0.00044259861345391494,0.6750980621007824
"(-0.109, -0.02]","(0.00503, 0.00791]",16,0.625,0.0004599620031588625,1.680600542832265
"(-0.109, -0.02]","(0.00791, 0.0294]",14,0.35714285714285715,-0.0002750311291832214,0.7523316274290495
"(-0.02, 0.497]","(0.00015999999999999999, 0.00297]",28,0.4642857142857143,-0.0007582674997359857,0.5423100602417069
"(-0.02, 0.497]","(0.00297, 0.00384]",22,0.4090909090909091,-0.0001390297495239864,0.8555069209175932
"(-0.02, 0.497]","(0.00384, 0.00503]",10,0.4,-0.00098454595030963,0.3488155326628204
"(-0.02, 0.497]","(0.00503, 0.00791]",21,0.3333333333333333,-0.0010625868168601907,0.40048883277125147
"(-0.02, 0.497]","(0.00791, 0.0294]",14,0.5714285714285714,0.0006578445685450215,1.8036089511712348
