bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-1.4509999999999998, -0.431]","(0.00629, 0.0101]",20,0.5,0.000265448558537405,1.2584420875015823
"(-1.4509999999999998, -0.431]","(0.0101, 0.0176]",22,0.6363636363636364,0.0012260835316692273,2.504939997458159
"(-1.4509999999999998, -0.431]","(0.0176, 0.145]",40,0.425,0.00022169557753677353,1.2125588884637208
"(-0.431, -0.229]","(-0.001, 0.00333]",11,0.36363636363636365,-0.0007122030846422728,0.5019297809970792
"(-0.431, -0.229]","(0.00333, 0.00629]",16,0.5625,0.0001613228294284088,1.1324611758092173
"(-0.431, -0.229]","(0.00629, 0.0101]",20,0.45,-0.0003629227700624649,0.7139289782503576
"(-0.431, -0.229]","(0.0101, 0.0176]",26,0.38461538461538464,-0.0005794690905004038,0.6824030554397508
"(-0.431, -0.229]","(0.0176, 0.145]",21,0.5714285714285714,0.0004655433365396285,1.385934456027885
"(-0.229, -0.109]","(-0.001, 0.00333]",17,0.4117647058823529,-0.0006293549469483766,0.6853311539712449
"(-0.229, -0.109]","(0.00333, 0.00629]",21,0.47619047619047616,-0.00045924132314815243,0.7207311636706488
"(-0.229, -0.109]","(0.00629, 0.0101]",16,0.375,-0.00076745472484495,0.4964498431144568
"(-0.229, -0.109]","(0.0101, 0.0176]",24,0.2916666666666667,-0.0011566596296688416,0.38677093926428896
"(-0.229, -0.109]","(0.0176, 0.145]",17,0.4117647058823529,-7.105646289285873e-05,0.9394715483447478
"(-0.109, -0.02]","(-0.001, 0.00333]",21,0.2857142857142857,-0.0013348183691427814,0.3607210859136983
"(-0.109, -0.02]","(0.00333, 0.00629]",27,0.5925925925925926,0.0002298086234173852,1.2220085100112033
"(-0.109, -0.02]","(0.00629, 0.0101]",24,0.5,0.00012010671974543754,1.1093213205932173
"(-0.109, -0.02]","(0.0101, 0.0176]",13,0.5384615384615384,0.00012613458839111545,1.108266197173458
"(-0.02, 0.497]","(-0.001, 0.00333]",42,0.4523809523809524,-0.0006648750191085024,0.5737733202434596
"(-0.02, 0.497]","(0.00333, 0.00629]",21,0.19047619047619047,-0.001349389840885514,0.2146156694772022
"(-0.02, 0.497]","(0.00629, 0.0101]",15,0.6,0.00026009455451793335,1.3176031579296963
