bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.0010999999999999998, 0.00375]",0.0010999999999999998,0.00375,16,0.25,-0.0017932004939011875,0.2981064204196588
"(0.00375, 0.00479]",0.00375,0.00479,15,0.26666666666666666,-0.0013816482811286465,0.326125515482912
"(0.00479, 0.00553]",0.00479,0.00553,15,0.5333333333333333,-0.00035337657879306,0.7532877947100571
"(0.00553, 0.00625]",0.00553,0.00625,15,0.5333333333333333,-0.00029967862069032666,0.7508403400800178
"(0.00625, 0.0073]",0.00625,0.0073,16,0.375,-0.0008982494592755877,0.42996760523013194
"(0.0073, 0.00802]",0.0073,0.00802,15,0.6,0.00032121877938540735,1.3415046546661522
"(0.00802, 0.00897]",0.00802,0.00897,15,0.3333333333333333,-0.0007507807119447734,0.4558401313774068
"(0.00897, 0.00981]",0.00897,0.00981,15,0.26666666666666666,-0.0012518123537910801,0.1913773393909605
"(0.00981, 0.0117]",0.00981,0.0117,15,0.5333333333333333,0.0005755405001043465,1.650518608742419
"(0.0117, 0.022]",0.0117,0.022,16,0.4375,-0.0008000825781150813,0.5431320882673125
