bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.0939, -0.0545]",-0.0939,-0.0545,16,0.375,-0.0007760173591964439,0.5656972285677223
"(-0.0545, -0.043]",-0.0545,-0.043,15,0.4666666666666667,-6.385976612978003e-05,0.9308448352065828
"(-0.043, -0.0348]",-0.043,-0.0348,15,0.4666666666666667,-0.00040810025807208004,0.7281671705682503
"(-0.0348, -0.0303]",-0.0348,-0.0303,15,0.3333333333333333,-0.0011280721634074065,0.46781028108817757
"(-0.0303, -0.0246]",-0.0303,-0.0246,16,0.375,-0.0005212253554117875,0.6400668833289588
"(-0.0246, -0.0202]",-0.0246,-0.0202,15,0.4666666666666667,-9.432794298877334e-05,0.9287620731999354
"(-0.0202, -0.0161]",-0.0202,-0.0161,15,0.26666666666666666,-0.00126693958146096,0.3060911551661192
"(-0.0161, -0.0113]",-0.0161,-0.0113,15,0.26666666666666666,-0.0016404254307896204,0.2348927885668062
"(-0.0113, -0.00752]",-0.0113,-0.00752,15,0.6666666666666666,0.0002221061367541601,1.2184153704218141
"(-0.00752, -0.000902]",-0.00752,-0.000902,16,0.4375,-0.0010326506861495681,0.21691933573927505
