bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00089, 0.00371]",0.00089,0.00371,15,0.26666666666666666,-0.00115220932026208,0.5486827223704687
"(0.00371, 0.00459]",0.00371,0.00459,14,0.35714285714285715,-0.0009299661881716812,0.3929614353206864
"(0.00459, 0.00521]",0.00459,0.00521,14,0.35714285714285715,-0.0007171489586423144,0.5678444859133454
"(0.00521, 0.00572]",0.00521,0.00572,15,0.4666666666666667,-0.0005099820447932392,0.6496439019655212
"(0.00572, 0.00664]",0.00572,0.00664,14,0.14285714285714285,-0.002172906366465064,0.10678121848299749
"(0.00664, 0.00727]",0.00664,0.00727,14,0.21428571428571427,-0.0014712579797822706,0.18652190761365353
"(0.00727, 0.00842]",0.00727,0.00842,15,0.4,-0.00046203598796692666,0.6645871172214751
"(0.00842, 0.00985]",0.00842,0.00985,14,0.5714285714285714,0.0004687782275657786,1.4258115907102982
"(0.00985, 0.0134]",0.00985,0.0134,14,0.42857142857142855,6.422647004046347e-05,1.069768002816714
"(0.0134, 0.0292]",0.0134,0.0292,15,0.4,-0.0003812998297166133,0.7511216037228274
