bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(0.00114, 0.00393]",0.00114,0.00393,13,0.3076923076923077,-0.0016268853753604999,0.22724490960037383
"(0.00393, 0.00487]",0.00393,0.00487,12,0.3333333333333333,-0.0008464606474837002,0.554581646241262
"(0.00487, 0.00553]",0.00487,0.00553,13,0.15384615384615385,-0.0016748925109498537,0.16168454511849448
"(0.00553, 0.00625]",0.00553,0.00625,12,0.4166666666666667,-0.0008853344619165,0.5057037173285709
"(0.00625, 0.00692]",0.00625,0.00692,13,0.38461538461538464,-0.0004921481106494386,0.5951732100630567
"(0.00692, 0.00765]",0.00692,0.00765,12,0.16666666666666666,-0.0013841543654545248,0.16086651888621517
"(0.00765, 0.00851]",0.00765,0.00851,12,0.16666666666666666,-0.0012446823075492803,0.2817642931355556
"(0.00851, 0.00936]",0.00851,0.00936,13,0.6153846153846154,0.00037404830621191534,1.378712294680451
"(0.00936, 0.0108]",0.00936,0.0108,12,0.4166666666666667,-0.00041651902135223336,0.6991887996101473
"(0.0108, 0.0286]",0.0108,0.0286,13,0.6153846153846154,-0.00017879064966793852,0.8861693174317671
