bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-1.037, -0.663]",-1.037,-0.663,13,0.23076923076923078,-0.0021322929779704924,0.18340214509131375
"(-0.663, -0.467]",-0.663,-0.467,12,0.5833333333333334,-0.0002878726204236501,0.8169697853079472
"(-0.467, -0.363]",-0.467,-0.363,13,0.38461538461538464,-0.0006780880915524923,0.6120305068669645
"(-0.363, -0.279]",-0.363,-0.279,12,0.16666666666666666,-0.0011402188597676886,0.31042997342038425
"(-0.279, -0.203]",-0.279,-0.203,13,0.5384615384615384,0.0002573896981683692,1.2207315489286747
"(-0.203, -0.149]",-0.203,-0.149,12,0.3333333333333333,-0.0009263051374484918,0.4708427243186071
"(-0.149, -0.0696]",-0.149,-0.0696,12,0.3333333333333333,-0.0004728510616306833,0.6180070532721954
"(-0.0696, -0.0366]",-0.0696,-0.0366,13,0.46153846153846156,-0.00047433488901462307,0.6661965698119166
"(-0.0366, 0.00022]",-0.0366,0.00022,12,0.08333333333333333,-0.0017104715741172334,0.14435592020380483
"(0.00022, 0.47]",0.00022,0.47,13,0.46153846153846156,-0.0007923558188482615,0.3153046573600377
