bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.000825]",-0.001,0.000825,13,0.46153846153846156,-0.0009132482176864615,0.35926758364379285
"(0.000825, 0.00305]",0.000825,0.00305,12,0.3333333333333333,-0.0007211676238949499,0.5521784000510606
"(0.00305, 0.00401]",0.00305,0.00401,13,0.3076923076923077,-0.0010424427288016924,0.2481560732166806
"(0.00401, 0.00512]",0.00401,0.00512,12,0.25,-0.0017999704087575666,0.14541956771727926
"(0.00512, 0.00686]",0.00512,0.00686,13,0.23076923076923078,-0.0014446615766370203,0.1919595961607114
"(0.00686, 0.00813]",0.00686,0.00813,12,0.25,-0.0015099466903921502,0.2264373696216588
"(0.00813, 0.00936]",0.00813,0.00936,12,0.5,-2.5303814543925034e-05,0.9832890766537975
"(0.00936, 0.0121]",0.00936,0.0121,13,0.6153846153846154,0.00041751608104030006,1.340056762660796
"(0.0121, 0.0181]",0.0121,0.0181,12,0.16666666666666666,-0.0014626978463745585,0.24437923752175664
"(0.0181, 0.0734]",0.0181,0.0734,13,0.46153846153846156,6.903171416774622e-05,1.047917898440462
