bin_x,bin_y,count_trades,win_rate,mean_pnl_rel,pf
"(-0.136, -0.0248]","(0.00441, 0.00664]",24,0.4166666666666667,-0.00014608576300907574,0.8942902716393508
"(-0.136, -0.0248]","(0.00664, 0.03]",63,0.5238095238095238,-8.231931712587244e-06,0.9938136071071473
"(-0.0248, -0.0142]","(0.00236, 0.00326]",12,0.4166666666666667,-0.00030187050604237503,0.830303170439205
"(-0.0248, -0.0142]","(0.00326, 0.00441]",26,0.5384615384615384,9.038362213301579e-05,1.077414816358697
"(-0.0248, -0.0142]","(0.00441, 0.00664]",30,0.4,-0.0006115791365972199,0.6067266252293244
"(-0.0248, -0.0142]","(0.00664, 0.03]",26,0.5769230769230769,0.0002556725097383655,1.3014266693798662
"(-0.0142, -0.00919]","(0.00236, 0.00326]",26,0.3076923076923077,-0.0010133295949517232,0.4182422420232215
"(-0.0142, -0.00919]","(0.00326, 0.00441]",31,0.5806451612903226,0.0007356589426750968,1.7487251820788543
"(-0.0142, -0.00919]","(0.00441, 0.00664]",27,0.48148148148148145,-0.00041591081534348887,0.690147026457843
"(-0.00919, -0.00536]","(2.0000000000000052e-05, 0.00236]",33,0.42424242424242425,-0.0005923086061413788,0.656062785034099
"(-0.00919, -0.00536]","(0.00236, 0.00326]",29,0.5172413793103449,-3.435823718390004e-05,0.9687755717528512
"(-0.00919, -0.00536]","(0.00326, 0.00441]",23,0.43478260869565216,-0.0006217708840020696,0.5728041923344135
"(-0.00919, -0.00536]","(0.00441, 0.00664]",11,0.2727272727272727,-0.0019435391809049728,0.12501223207125878
"(-0.00536, -0.000257]","(2.0000000000000052e-05, 0.00236]",53,0.5660377358490566,-0.00022092996072389434,0.8197077100239806
"(-0.00536, -0.000257]","(0.00236, 0.00326]",28,0.6428571428571429,6.497486297071918e-05,1.0988988038031993
