bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00155]",-0.001,0.00155,49,0.4897959183673469,-0.0003418441663012082,0.7579823684697442
"(0.00155, 0.00279]",0.00155,0.00279,48,0.5,-0.0001795659400758482,0.8489882298516386
"(0.00279, 0.00361]",0.00279,0.00361,48,0.4583333333333333,-0.0006433116915938313,0.541540961380477
"(0.00361, 0.00481]",0.00361,0.00481,48,0.5416666666666666,8.712025195984237e-05,1.0841211312540524
"(0.00481, 0.00593]",0.00481,0.00593,48,0.5625,-0.00013689467834981253,0.8976836924699181
"(0.00593, 0.00803]",0.00593,0.00803,48,0.3541666666666667,-0.0008390227599099562,0.5264841181424716
"(0.00803, 0.0104]",0.00803,0.0104,48,0.5208333333333334,0.00019217272448619616,1.1626391233428242
"(0.0104, 0.0136]",0.0104,0.0136,48,0.4791666666666667,-0.00024242430947147035,0.8120422181325718
"(0.0136, 0.019]",0.0136,0.019,48,0.5416666666666666,0.00030348317585628126,1.311102550768169
"(0.019, 0.0926]",0.019,0.0926,48,0.4583333333333333,-0.0003854660735421863,0.7455879342863904
