bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00329]",-0.001,0.00329,18,0.4444444444444444,-9.977943196096665e-05,0.9218838354437463
"(0.00329, 0.00664]",0.00329,0.00664,18,0.2777777777777778,-0.0010061926004689221,0.45170820083594154
"(0.00664, 0.00966]",0.00664,0.00966,18,0.4444444444444444,-0.00023958222121699433,0.809026807279634
"(0.00966, 0.013]",0.00966,0.013,17,0.23529411764705882,-0.0012042164936226412,0.3177628972538114
"(0.013, 0.0164]",0.013,0.0164,18,0.5,-0.0004222726069273666,0.6121698044626076
"(0.0164, 0.019]",0.0164,0.019,18,0.3333333333333333,-0.0005019414155771581,0.6399431787653624
"(0.019, 0.0246]",0.019,0.0246,17,0.23529411764705882,-0.0012280105825005353,0.3486094942773613
"(0.0246, 0.0295]",0.0246,0.0295,18,0.2777777777777778,-0.0010621054550163389,0.43728115614763075
"(0.0295, 0.0418]",0.0295,0.0418,18,0.3333333333333333,-0.0006887213440535501,0.565254097151532
"(0.0418, 0.124]",0.0418,0.124,18,0.5555555555555556,0.00041835060755310256,1.482989178643797
