bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.146, -0.077]",-0.146,-0.077,18,0.4444444444444444,-0.0004277697967973332,0.6662598733956607
"(-0.077, -0.0562]",-0.077,-0.0562,18,0.5,0.000325943371262342,1.2835678810981754
"(-0.0562, -0.0458]",-0.0562,-0.0458,18,0.3888888888888889,-0.00012968114088587784,0.9067821722704982
"(-0.0458, -0.0394]",-0.0458,-0.0394,17,0.29411764705882354,-0.0005679391927680913,0.636291188176862
"(-0.0394, -0.0327]",-0.0394,-0.0327,18,0.2222222222222222,-0.0010214138499314055,0.3224400965599995
"(-0.0327, -0.0258]",-0.0327,-0.0258,18,0.3333333333333333,-0.0007214274603777279,0.5374713849089929
"(-0.0258, -0.0209]",-0.0258,-0.0209,17,0.4117647058823529,-0.0004244351871190352,0.7404238408077308
"(-0.0209, -0.0159]",-0.0209,-0.0159,18,0.3888888888888889,-0.0009800927771417556,0.3921599032954487
"(-0.0159, -0.00992]",-0.0159,-0.00992,18,0.16666666666666666,-0.0017269252160862943,0.1477378620606811
"(-0.00992, -0.00184]",-0.00992,-0.00184,18,0.5,-0.0002807384774886332,0.7419391083954325
