bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.001, 0.00438]",-0.001,0.00438,18,0.4444444444444444,-0.0003124565113869445,0.7895914504739223
"(0.00438, 0.00729]",0.00438,0.00729,17,0.35294117647058826,-0.0008487730828662485,0.4619576255597413
"(0.00729, 0.00913]",0.00729,0.00913,17,0.35294117647058826,-0.000748112027343468,0.4322397746384204
"(0.00913, 0.0124]",0.00913,0.0124,17,0.4117647058823529,-0.0008168356036406016,0.5073850324351049
"(0.0124, 0.0167]",0.0124,0.0167,17,0.47058823529411764,9.99323966740598e-06,1.0091605724435007
"(0.0167, 0.0193]",0.0167,0.0193,17,0.47058823529411764,0.00010367338228305297,1.0904867101439517
"(0.0193, 0.024]",0.0193,0.024,17,0.29411764705882354,-0.0011192664517223354,0.4389579594596892
"(0.024, 0.0305]",0.024,0.0305,17,0.11764705882352941,-0.0019416937965295825,0.13353249125489536
"(0.0305, 0.0414]",0.0305,0.0414,17,0.29411764705882354,-0.0009442852161845721,0.39992423839622054
"(0.0414, 0.123]",0.0414,0.123,18,0.5555555555555556,0.0005708560851411221,1.549904256165146
