bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-1.519, -0.674]",-1.519,-0.674,18,0.2777777777777778,-0.0012280603059446223,0.41535157053571936
"(-0.674, -0.498]",-0.674,-0.498,17,0.29411764705882354,-0.0006931779894588764,0.5580258151104618
"(-0.498, -0.389]",-0.498,-0.389,17,0.4117647058823529,-0.00042562919483600585,0.7191772680398438
"(-0.389, -0.311]",-0.389,-0.311,17,0.4117647058823529,-0.0004453118443340529,0.643957813154802
"(-0.311, -0.218]",-0.311,-0.218,17,0.17647058823529413,-0.0019406382237823234,0.16954151489231073
"(-0.218, -0.168]",-0.218,-0.168,17,0.4117647058823529,-0.0006245872114721444,0.5649624704764173
"(-0.168, -0.123]",-0.168,-0.123,17,0.4117647058823529,-0.00048644319989541763,0.6861143354931264
"(-0.123, -0.0614]",-0.123,-0.0614,17,0.4117647058823529,-0.0006884330410628765,0.5647713754014737
"(-0.0614, -0.00241]",-0.0614,-0.00241,17,0.47058823529411764,0.0004181506898224923,1.3545219714048369
"(-0.00241, 0.473]",-0.00241,0.473,18,0.5,0.0001460764240103859,1.2460330723640594
