bin,bin_left,bin_right,count_trades,win_rate,mean_pnl_rel,pf
"(-0.139, -0.0794]",-0.139,-0.0794,18,0.6666666666666666,0.0009023261867825445,2.123934801869998
"(-0.0794, -0.0598]",-0.0794,-0.0598,17,0.35294117647058826,-0.0005281808401111488,0.6380098994820123
"(-0.0598, -0.0461]",-0.0598,-0.0461,17,0.23529411764705882,-0.0010602832620714294,0.40804074813700686
"(-0.0461, -0.0377]",-0.0461,-0.0377,17,0.35294117647058826,8.635981180708496e-06,1.007599261038168
"(-0.0377, -0.0315]",-0.0377,-0.0315,17,0.4117647058823529,-0.0005634001724158412,0.6131847599951268
"(-0.0315, -0.0253]",-0.0315,-0.0253,17,0.35294117647058826,-0.0008598960780853177,0.502272629635126
"(-0.0253, -0.0209]",-0.0253,-0.0209,17,0.29411764705882354,-0.0014681541579858487,0.23137435865338868
"(-0.0209, -0.0142]",-0.0209,-0.0142,17,0.23529411764705882,-0.0013832997632872881,0.27589106523350726
"(-0.0142, -0.0086]",-0.0142,-0.0086,17,0.5294117647058824,-0.000299541486356547,0.7567624120959356
"(-0.0086, -0.00105]",-0.0086,-0.00105,18,0.3333333333333333,-0.0007867075137206905,0.5367670229426005
