symbol,n_bars_test,f1_test,precision_test,recall_test,auc_test,target_rate_test,trades_full,pf_full,win_rate_full,calmar_full,total_return_full,max_drawdown_full
MTSS,76,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.06382978723404255,0.3815789473684211,3,0.0,0.0,-1.0,-0.01415507954762596,-0.01415507954762596
NVTK,50,0.9629629629629629,0.9512195121951219,0.975,0.2125,0.8,11,0.4833991165550336,0.5454545454545454,-0.8160858850107829,-0.05185184564004952,-0.06353724110712244
SBER,49,0.942528735632184,0.9534883720930233,0.9318181818181818,0.4090909090909091,0.8979591836734694,3,0.0,0.0,-1.0,-0.012990002391959798,-0.012990002391959798
YNDX,66,0.9302325581395349,0.8695652173913043,1.0,0.043478260869565216,0.30303030303030304,5,0.05047643834776016,0.2,-0.9333436324969339,-0.029439209754358875,-0.03154166239459033
MGNT,49,0.9135802469135802,0.8809523809523809,0.9487179487179487,0.22564102564102564,0.7959183673469388,13,0.2963891111627419,0.5384615384615384,-0.8769760197297217,-0.06613685278969417,-0.0754146650555817
TATN,49,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.3163265306122449,0.8571428571428571,26,0.8059597536933658,0.5769230769230769,-0.6926160668180489,-0.027976052299883092,-0.040391861581276944
CHMF,49,0.9,0.9230769230769231,0.8780487804878049,0.29878048780487804,0.8367346938775511,7,0.0908195334937064,0.2857142857142857,-1.0,-0.03855479516369542,-0.03855479516369542
PLZL,49,0.8571428571428571,0.8333333333333334,0.8823529411764706,0.13333333333333333,0.6938775510204082,6,0.25620466042523793,0.3333333333333333,-0.634217718716263,-0.016705163163165837,-0.026339792582552257
GAZP,60,0.8275862068965518,0.8,0.8571428571428571,0.043478260869565216,0.23333333333333334,18,0.3416372304530272,0.4444444444444444,-0.9740182886623527,-0.09874647209926846,-0.1013805112785714
VKCO,49,0.7462686567164178,0.9259259259259259,0.625,0.3277777777777778,0.8163265306122449,10,0.1269966518925943,0.4,-1.0,-0.14009575062156066,-0.14009575062156066
NLMK,49,0.7323943661971831,0.9285714285714286,0.6046511627906976,0.3333333333333333,0.8775510204081632,6,0.27131274721832527,0.5,-0.8564030510781543,-0.020627263659977246,-0.024085929672960527
ROSN,50,0.6557377049180327,0.4878048780487805,1.0,0.095,0.4,12,0.654259782163443,0.5,-0.6248719658239335,-0.028852104409577084,-0.046172825774850934
PIKK,49,0.6086956521739131,0.5,0.7777777777777778,0.1971326164874552,0.3673469387755102,10,3.082082554812628,0.6,1.3981818429503325,0.03959258485147377,-0.028317192825168314
GMKN,49,0.6046511627906976,0.8666666666666667,0.4642857142857143,0.33163265306122447,0.5714285714285714,25,1.0010940534713129,0.6,-0.04127133054849872,-0.0018633871121723766,-0.04514967381491797
LKOH,50,0.6,0.42857142857142855,1.0,0.0920138888888889,0.36,12,0.7163140046400713,0.5,-0.5401927502299593,-0.024356600691673003,-0.04508872190769764
SNGS,49,0.56,0.4375,0.7777777777777778,0.28888888888888886,0.1836734693877551,5,0.5067513456276684,0.2,-0.3568039031932366,-0.007560327612956996,-0.021189027208770472
OZON,413,0.19999999999999998,0.12,0.6,0.026470588235294117,0.012106537530266344,19,0.2005432720053684,0.42105263157894735,-0.9883199909832239,-0.21713319338185644,-0.21969928298813712
