symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_signal_bars,entry_ai_allowed,entry_ai_blocked,calmar
SBER,55,46956.64257748987,0.0469566425774898,0.5272727272727272,158863.7314642119,111907.088886722,1.419603825321752,-0.0156479782362564,1000000.0,1046956.6425774896,False,,top_pct,0.5230281296380264,0.3,298,90,208,3.000812109304393
GAZP,96,-911.0009975923882,-0.0009110009975923,0.5,279303.4353902242,280214.4363878166,0.9967489148334544,-0.0706561444573087,1000000.0,999088.9990024072,False,,top_pct,0.5324369119676318,0.3,548,165,383,-0.012893443374096614
LKOH,61,-3705.087568720568,-0.0037050875687205,0.4754098360655737,145426.50224492225,149131.5898136428,0.9751555819035356,-0.0348511376889259,1000000.0,996294.9124312792,False,,top_pct,0.5370554415791621,0.3,397,119,278,-0.10631181116069585
GMKN,109,124313.24283411657,0.1243132428341165,0.5779816513761468,375757.3901757975,251444.14734168092,1.4943970426370294,-0.0224870551328074,1000000.0,1124313.2428341166,False,,top_pct,0.5378995983380608,0.3,689,207,482,5.528213547746863
YNDX,61,-53023.51975612167,-0.0530235197561216,0.3934426229508196,132282.35297874932,185305.872734871,0.7138594747507769,-0.0918154462465881,1000000.0,946976.4802438784,False,,top_pct,0.5425465591890859,0.3,318,96,222,-0.5775010842262499
ROSN,81,92699.24886535018,0.0926992488653501,0.6296296296296297,294511.423573404,201812.1747080538,1.4593342745523212,-0.033256113444116,1000000.0,1092699.2488653504,False,,top_pct,0.5555757781703595,0.3,554,166,388,2.7874348282195727
NVTK,146,36683.254604348185,0.0366832546043481,0.5205479452054794,419079.836014298,382396.58140994987,1.095929870683184,-0.0657188540522268,1000000.0,1036683.254604348,False,,top_pct,0.546210528168011,0.3,865,260,605,0.5581846356480273
NLMK,122,-120004.99733747312,-0.1200049973374731,0.4262295081967213,246841.7071676301,366846.7045051032,0.6728742663795587,-0.1361988978896299,1000000.0,879995.0026625271,False,,top_pct,0.5366518857047795,0.3,717,215,502,-0.8811010896337818
MTSS,60,112909.7860702366,0.1129097860702366,0.5833333333333334,230024.58982074825,117114.80375051164,1.964094909049816,-0.0288033899315519,1000000.0,1112909.7860702365,False,,top_pct,0.5546647020035224,0.3,398,120,278,3.9200172736109997
TATN,84,43918.10136278889,0.0439181013627888,0.5714285714285714,231565.8609545948,187647.7595918059,1.234045434159858,-0.0323037283713837,1000000.0,1043918.1013627888,False,,top_pct,0.5465321788837485,0.3,536,161,375,1.3595366100742015
CHMF,117,11297.600971357107,0.0112976009713571,0.5128205128205128,297242.70810593246,285945.1071345754,1.0395096845145178,-0.0649922087998555,1000000.0,1011297.6009713564,False,,top_pct,0.5515975062160404,0.3,792,238,554,0.17383008178946857
SNGS,121,244300.66360283009,0.2443006636028301,0.6033057851239669,488883.73981716885,244583.0762143388,1.998845330527852,-0.0433832129799243,1000000.0,1244300.66360283,False,,top_pct,0.5262317956340715,0.3,656,197,459,5.631225693585233
PIKK,159,-80238.31271591393,-0.0802383127159139,0.440251572327044,338968.7225589357,419207.0352748496,0.8085950235465243,-0.1195544215815402,1000000.0,919761.687284086,False,,top_pct,0.5337401282058214,0.3,1164,349,815,-0.6711446691345383
PLZL,102,11405.48627953602,0.011405486279536,0.5196078431372549,256145.6373177288,244740.1510381928,1.0466024321352818,-0.0759282178180848,1000000.0,1011405.486279536,False,,top_pct,0.5479162038578123,0.3,738,222,516,0.15021406543298857
MGNT,80,55946.654992497184,0.0559466549924971,0.5625,243268.86371778903,187322.20872529183,1.2986653604674443,-0.037658863127842,1000000.0,1055946.654992497,False,,top_pct,0.5403396676033974,0.3,542,163,379,1.4856172052399144
VKCO,178,31070.863011825397,0.0310708630118253,0.4719101123595505,502055.514795084,470984.6517832586,1.0659700117491808,-0.0639715123440225,1000000.0,1031070.863011826,False,,top_pct,0.5334991169830375,0.3,1361,409,952,0.4856984284619396
OZON,103,-14470.368009271278,-0.0144703680092712,0.4660194174757281,263056.3385574181,277526.70656668936,0.9478595476871916,-0.054634089479417,1000000.0,985529.6319907288,False,,top_pct,0.5406879009278784,0.3,539,162,377,-0.2648596901156888
