begin,open,high,low,close,volume,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout
2022-01-03 06:50:00+00:00,295.9,295.9,295.9,295.9,26910,0.0,,,,,False
2022-01-03 07:00:00+00:00,295.9,296.1,294.5,294.97,440880,0.0,,,,,False
2022-01-03 07:10:00+00:00,294.97,295.2,294.34,295.0,196510,0.0,,,,,False
2022-01-03 07:20:00+00:00,295.0,295.2,294.75,295.17,88250,0.0,,,,,False
2022-01-03 07:30:00+00:00,295.2,295.2,294.76,295.08,145320,0.0,,,,,False
2022-01-03 07:40:00+00:00,294.92,295.12,294.61,294.7,71160,0.0,,,,,False
2022-01-03 07:50:00+00:00,294.7,295.1,294.52,295.1,111610,0.0,,,,,False
2022-01-03 08:00:00+00:00,295.09,295.39,294.9,295.22,200810,0.0,,,,,False
2022-01-03 08:10:00+00:00,295.32,295.5,295.18,295.47,133870,0.0,,,,,False
2022-01-03 08:20:00+00:00,295.46,295.67,295.42,295.55,116150,0.0,,,,,False
2022-01-03 08:30:00+00:00,295.55,295.67,295.54,295.64,75600,0.0,,,,,False
2022-01-03 08:40:00+00:00,295.6,296.7,295.6,296.35,528920,0.0,,,,,False
2022-01-03 08:50:00+00:00,296.23,296.8,296.23,296.55,226700,0.0,,,,,False
2022-01-03 09:00:00+00:00,296.55,296.95,296.55,296.7,242640,0.0,,,,,False
2022-01-03 09:10:00+00:00,296.7,296.72,295.88,295.89,178970,0.0,,,,,False
2022-01-03 09:20:00+00:00,295.89,296.62,295.87,296.62,137590,0.0,,,,,False
2022-01-03 09:30:00+00:00,296.62,296.74,296.1,296.15,116260,0.0,,,,,False
2022-01-03 09:40:00+00:00,296.22,296.3,295.86,296.12,155880,0.0,,,,,False
2022-01-03 09:50:00+00:00,296.1,296.8,296.0,296.6,332720,0.0,,,,,False
2022-01-03 10:00:00+00:00,296.57,297.29,296.45,297.14,942510,0.0,,,,,False
2022-01-03 10:10:00+00:00,297.14,298.98,297.1,298.46,2394590,0.0,,,,,True
2022-01-03 10:20:00+00:00,298.45,298.85,298.23,298.35,990600,0.0,,,,,True
2022-01-03 10:30:00+00:00,298.36,300.77,298.36,300.47,2554880,0.0,,,,,True
2022-01-03 10:40:00+00:00,300.47,301.2,300.11,300.51,1261480,0.0,,,,,True
2022-01-03 10:50:00+00:00,300.51,300.62,299.64,300.25,1393190,0.0,,,,,True
2022-01-03 11:00:00+00:00,300.2,302.87,299.11,302.75,3879080,0.0,,,,,True
2022-01-03 11:10:00+00:00,302.75,303.43,302.06,302.35,1852160,0.0,,,,,True
2022-01-03 11:20:00+00:00,302.27,302.52,301.83,302.05,932220,0.0,,,,,True
2022-01-03 11:30:00+00:00,302.0,302.17,301.59,301.7,645060,0.0,,,,,True
2022-01-03 11:40:00+00:00,301.78,302.31,301.26,301.53,1060930,0.0,,,,,True
2022-01-03 11:50:00+00:00,301.54,301.95,300.65,301.05,885580,0.0,,,,,False
2022-01-03 12:00:00+00:00,301.05,301.4,300.61,300.8,556600,0.0,,,,,False
2022-01-03 12:10:00+00:00,300.78,301.16,300.3,300.87,602800,0.0,,,,,False
2022-01-03 12:20:00+00:00,300.98,301.13,300.6,300.63,636350,0.0,,,,,False
2022-01-03 12:30:00+00:00,300.7,301.2,300.65,300.8,481250,0.0,,,,,False
2022-01-03 12:40:00+00:00,300.84,301.0,300.8,300.94,188790,0.0,,,,,False
2022-01-03 12:50:00+00:00,300.9,301.22,300.82,301.0,470850,0.0,,,,,False
2022-01-03 13:00:00+00:00,300.98,301.0,300.39,300.62,467740,0.0,,,,,False
2022-01-03 13:10:00+00:00,300.62,301.2,300.36,301.06,410150,0.0,,,,,False
2022-01-03 13:20:00+00:00,301.02,301.67,301.02,301.59,454270,0.0,,,,,False
2022-01-03 13:30:00+00:00,301.58,301.92,301.57,301.6,607830,0.0,,,,,False
2022-01-03 13:40:00+00:00,301.6,301.66,300.78,300.9,1114380,0.0,,,,,False
2022-01-03 13:50:00+00:00,300.9,302.39,300.85,302.2,1180190,0.0,,,,,True
2022-01-03 14:00:00+00:00,302.14,302.32,301.5,302.2,670980,0.0,,,,,True
