symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_trend_mode,entry_ai_trend_threshold,entry_ai_trend_top_pct,entry_ai_trend_slope_k,entry_ai_signal_bars,entry_ai_trend_bars,entry_ai_allowed,entry_ai_blocked
SBER,16,25281.796684133576,0.025281796684133575,0.6875,53485.62097447497,28203.824290341392,1.8963960498361039,-0.00723607183175734,1000000.0,1025281.7966841336,False,,top_pct,0.5711911054149351,0.08,off,,0.3,0.00025,298,0,24,274
GAZP,33,13260.63702618472,0.01326063702618472,0.5757575757575758,84724.46121898181,71463.82419279708,1.185557338639055,-0.02307038001562691,1000000.0,1013260.6370261847,False,,top_pct,0.5648634864497135,0.08,off,,0.3,0.00025,548,0,44,504
LKOH,17,44597.72279606079,0.04459772279606079,0.6470588235294118,60280.55195444225,15682.82915838145,3.843729428259838,-0.007000000000000004,1000000.0,1044597.7227960608,False,,top_pct,0.570347410588465,0.08,off,,0.3,0.00025,397,0,32,365
GMKN,39,80192.5613705649,0.08019256137056491,0.5897435897435898,150291.61137617775,70099.05000561284,2.1439892746641203,-0.015151071527071774,1000000.0,1080192.5613705646,False,,top_pct,0.5694863171015624,0.08,off,,0.3,0.00025,689,0,56,633
YNDX,17,9667.136806823266,0.009667136806823266,0.4117647058823529,50151.17940211315,40484.04259528989,1.2387888211526579,-0.02123585634302681,1000000.0,1009667.1368068233,False,,top_pct,0.5685850236030907,0.08,off,,0.3,0.00025,318,0,26,292
ROSN,21,31857.358513266256,0.03185735851326626,0.7142857142857143,60908.51392077841,29051.155407512153,2.096595232320036,-0.020220158038147047,1000000.0,1031857.3585132665,False,,top_pct,0.5778987776438627,0.08,off,,0.3,0.00025,554,0,46,508
NVTK,39,-19558.862186000886,-0.019558862186000885,0.48717948717948717,78877.59277216397,98436.45495816486,0.8013046874319749,-0.04839885109014644,1000000.0,980441.1378139992,False,,top_pct,0.5736506364070656,0.08,off,,0.3,0.00025,865,0,70,795
NLMK,35,-1906.795638625589,-0.001906795638625589,0.5142857142857142,94824.91560438822,96731.71124301382,0.980287791727004,-0.020681691922437778,1000000.0,998093.2043613746,False,,top_pct,0.5685080694965133,0.08,off,,0.3,0.00025,717,0,58,659
MTSS,17,28128.975753649047,0.028128975753649046,0.7058823529411765,56406.34904608393,28277.37329243488,1.9947520748390895,-0.011681793306672324,1000000.0,1028128.975753649,False,,top_pct,0.5773366382689142,0.08,off,,0.3,0.00025,398,0,32,366
TATN,27,-16977.41197200098,-0.01697741197200098,0.4444444444444444,51785.353753025876,68762.76572502685,0.7531016707517061,-0.05125688649651642,1000000.0,983022.5880279988,False,,top_pct,0.5729457109417667,0.08,off,,0.3,0.00025,536,0,43,493
CHMF,43,60133.27457787344,0.06013327457787344,0.627906976744186,137162.4292668507,77029.15468897724,1.7806560362849009,-0.017602144235751578,1000000.0,1060133.274577874,False,,top_pct,0.5762866841851819,0.08,off,,0.3,0.00025,792,0,64,728
SNGS,34,63226.699555103354,0.06322669955510335,0.6470588235294118,119204.72911959187,55978.02956448851,2.1294913387807646,-0.009735828702290056,1000000.0,1063226.6995551037,False,,top_pct,0.5734068083842419,0.08,off,,0.3,0.00025,656,0,53,603
PIKK,47,-8638.476983585038,-0.008638476983585039,0.5319148936170213,119561.2934363482,128199.77041993324,0.932617063546302,-0.04601401713787388,1000000.0,991361.5230164148,False,,top_pct,0.5704059916939811,0.08,off,,0.3,0.00025,1164,0,94,1070
PLZL,30,19242.271359997638,0.019242271359997638,0.6333333333333333,73956.54826033978,54714.27690034214,1.3516864783764933,-0.011035370267375014,1000000.0,1019242.2713599976,False,,top_pct,0.5715955204064371,0.08,off,,0.3,0.00025,738,0,59,679
MGNT,22,17960.49962704637,0.01796049962704637,0.5,53834.20144340007,35873.7018163537,1.5006592215933159,-0.012595927139410046,1000000.0,1017960.4996270463,False,,top_pct,0.5701760280237334,0.08,off,,0.3,0.00025,542,0,44,498
VKCO,54,101667.92808896938,0.10166792808896938,0.6111111111111112,207474.97645059484,105807.04836162545,1.9608804863499316,-0.02261588935912319,1000000.0,1101667.92808897,False,,top_pct,0.5673666751800568,0.08,off,,0.3,0.00025,1361,0,109,1252
OZON,33,26417.097582304734,0.026417097582304733,0.5151515151515151,90639.3997756029,64222.302193298165,1.4113383774812958,-0.0192218428060141,1000000.0,1026417.0975823047,False,,top_pct,0.5622386118377696,0.08,off,,0.3,0.00025,539,0,44,495
