bin,count,bad_count,bad_rate,feature
"(0.00309, 0.00917]",100,13,0.13,band_width_pct
"(0.00917, 0.0106]",99,14,0.1414141414141414,band_width_pct
"(0.0106, 0.012]",99,12,0.12121212121212122,band_width_pct
"(0.012, 0.0135]",99,12,0.12121212121212122,band_width_pct
"(0.0135, 0.0239]",100,12,0.12,band_width_pct
"(0.114, 0.459]",48,10,0.20833333333333334,range_vs_atr
"(0.459, 0.56]",47,12,0.2553191489361702,range_vs_atr
"(0.56, 0.689]",47,7,0.14893617021276595,range_vs_atr
"(0.689, 0.827]",47,2,0.0425531914893617,range_vs_atr
"(0.827, 1.583]",47,7,0.14893617021276595,range_vs_atr
"(0.00075, 0.00279]",48,0,0.0,atr_14_pct
"(0.00279, 0.00317]",47,9,0.19148936170212766,atr_14_pct
"(0.00317, 0.00346]",47,4,0.0851063829787234,atr_14_pct
"(0.00346, 0.00394]",47,10,0.2127659574468085,atr_14_pct
"(0.00394, 0.00507]",47,15,0.3191489361702128,atr_14_pct
"(-0.010180000000000002, -0.00311]",100,10,0.1,dist_from_ma
"(-0.00311, 0.00295]",99,13,0.13131313131313133,dist_from_ma
"(0.00295, 0.00363]",99,19,0.1919191919191919,dist_from_ma
"(0.00363, 0.00451]",99,11,0.1111111111111111,dist_from_ma
"(0.00451, 0.0104]",100,10,0.1,dist_from_ma
"(-0.148, 0.184]",100,11,0.11,band_pos
"(0.184, 0.76]",99,19,0.1919191919191919,band_pos
"(0.76, 0.821]",99,12,0.12121212121212122,band_pos
"(0.821, 0.893]",99,6,0.06060606060606061,band_pos
"(0.893, 1.15]",100,15,0.15,band_pos
"(-0.151, 0.0564]",100,11,0.11,edge_proximity
"(0.0564, 0.133]",99,14,0.1414141414141414,edge_proximity
"(0.133, 0.179]",99,7,0.0707070707070707,edge_proximity
"(0.179, 0.236]",99,10,0.10101010101010101,edge_proximity
"(0.236, 0.369]",100,21,0.21,edge_proximity
"(-0.074, -0.000245]",100,10,0.1,z_ma
"(-0.000245, 0.000724]",99,14,0.1414141414141414,z_ma
"(0.000724, 0.00199]",99,12,0.12121212121212122,z_ma
"(0.00199, 0.00557]",99,11,0.1111111111111111,z_ma
"(0.00557, 0.0719]",100,16,0.16,z_ma
"(9.999, 13.0]",201,37,0.18407960199004975,hour
"(13.0, 19.0]",157,15,0.09554140127388536,hour
"(19.0, 20.0]",93,8,0.08602150537634409,hour
"(20.0, 22.0]",46,3,0.06521739130434782,hour
"(-0.001, 1.0]",139,15,0.1079136690647482,day_of_week
"(1.0, 2.0]",127,17,0.13385826771653545,day_of_week
"(2.0, 3.0]",138,19,0.13768115942028986,day_of_week
"(3.0, 4.0]",93,12,0.12903225806451613,day_of_week
"(-0.00696, -0.00122]",100,13,0.13,ret_1
"(-0.00122, 0.0]",100,19,0.19,ret_1
"(0.0, 0.000995]",98,12,0.12244897959183673,ret_1
"(0.000995, 0.00203]",99,8,0.08080808080808081,ret_1
"(0.00203, 0.00634]",100,11,0.11,ret_1
"(-0.011200000000000002, -0.00145]",94,10,0.10638297872340426,ret_3
"(-0.00145, 0.000856]",94,10,0.10638297872340426,ret_3
"(0.000856, 0.0026]",94,11,0.11702127659574468,ret_3
"(0.0026, 0.00429]",94,13,0.13829787234042554,ret_3
"(0.00429, 0.0133]",94,15,0.1595744680851064,ret_3
"(-0.013399999999999999, -0.00168]",96,9,0.09375,ret_6
"(-0.00168, 0.00185]",95,13,0.1368421052631579,ret_6
"(0.00185, 0.00406]",95,13,0.1368421052631579,ret_6
"(0.00406, 0.00615]",95,15,0.15789473684210525,ret_6
"(0.00615, 0.014]",95,12,0.12631578947368421,ret_6
"(-0.001902, -0.000169]",100,10,0.1,ret_mean_20
"(-0.000169, 7.89e-05]",99,16,0.16161616161616163,ret_mean_20
"(7.89e-05, 0.000266]",99,11,0.1111111111111111,ret_mean_20
"(0.000266, 0.000439]",99,12,0.12121212121212122,ret_mean_20
"(0.000439, 0.00101]",100,14,0.14,ret_mean_20
"(-7.400000000000006e-05, 0.00193]",100,6,0.06,ret_vol_20
"(0.00193, 0.00225]",99,10,0.10101010101010101,ret_vol_20
"(0.00225, 0.00254]",99,19,0.1919191919191919,ret_vol_20
"(0.00254, 0.00297]",99,10,0.10101010101010101,ret_vol_20
"(0.00297, 0.00572]",100,18,0.18,ret_vol_20
"(-0.000753, 0.00167]",100,14,0.14,bar_range_pct
"(0.00167, 0.00239]",99,11,0.1111111111111111,bar_range_pct
"(0.00239, 0.00316]",99,13,0.13131313131313133,bar_range_pct
"(0.00316, 0.0045]",99,12,0.12121212121212122,bar_range_pct
"(0.0045, 0.0118]",100,13,0.13,bar_range_pct
"(-0.001, 0.000424]",100,17,0.17,bar_body_pct
"(0.000424, 0.001]",99,14,0.1414141414141414,bar_body_pct
"(0.001, 0.00169]",99,12,0.12121212121212122,bar_body_pct
"(0.00169, 0.00291]",99,8,0.08080808080808081,bar_body_pct
"(0.00291, 0.0063]",100,12,0.12,bar_body_pct
"(-0.001, 0.204]",100,19,0.19,body_vs_range
"(0.204, 0.459]",99,11,0.1111111111111111,body_vs_range
"(0.459, 0.615]",99,11,0.1111111111111111,body_vs_range
"(0.615, 0.789]",100,13,0.13,body_vs_range
"(0.789, 1.0]",99,9,0.09090909090909091,body_vs_range
