feature,all_mean,all_median,bad_mean,bad_median,bad_rate,all_p10,all_p90,bad_p10,bad_p90
band_width_pct,0.011594435983479373,0.0113550697798104,0.01141711983355853,0.0115309502415368,0.1297709923664122,0.00839333523368944,0.01509940156948118,0.00843366651049542,0.0143947908254443
range_vs_atr,0.6570219088868533,0.6288212054134367,0.5976313831681703,0.5238382978723368,0.1297709923664122,0.32134338186872247,0.988250492125972,0.3165175365921077,0.9662273161413547
atr_14_pct,0.003301388788698008,0.0032895782795040497,0.0037095717821386347,0.0037489684670548,0.1297709923664122,0.00246695450266835,0.0040896433457672,0.0030155677464725,0.00427878210003254
dist_from_ma,0.0019681463680423683,0.0032868001154011,0.0023164107010809143,0.0032521998931378,0.1297709923664122,-0.0046856546871835,0.00518485863898012,-0.0037756940996966,0.0051301224309382
band_pos,0.6723992507557698,0.7869909109870208,0.6963057813274484,0.7633564445272255,0.1297709923664122,0.08652047664730676,0.9518639604031713,0.11320100758599486,0.9469813369297007
edge_proximity,0.1422899492712962,0.1559062610720983,0.15823860728930506,0.1734567428741028,0.1297709923664122,-0.01122328115069826,0.26328246743474315,0.0396892415701194,0.2745815412185494
z_ma,0.0035825981264124168,0.0012681493329667,0.003596794744626208,0.0012731849131618,0.1297709923664122,-0.0016744109570796997,0.010213382671190202,-0.00089182357645944,0.009870878072323069
hour,16.75251509054326,19.0,15.53968253968254,13.0,0.1297709923664122,12.0,20.0,12.0,20.0
day_of_week,2.261569416498994,2.0,2.365079365079365,2.0,0.1297709923664122,0.0,4.0,1.0,4.0
ret_1,0.0004261451752016859,0.000498670212766,0.00042221975986418215,0.0,0.1297709923664122,-0.00251997869905836,0.0033216090580215803,-0.0018396344938803,0.0042418150462003815
ret_3,0.001414641816554956,0.00174958911470695,0.002021181877711749,0.0022107590272659,0.1297709923664122,-0.00390494198815107,0.005469392764753391,-0.0029105662553058197,0.0054098936780098
ret_6,0.002201250798660989,0.0031572069125071498,0.002978129586282676,0.00322227641646815,0.1297709923664122,-0.0055712845955103,0.0078811333848556,-0.00413915760799383,0.008297001569448589
ret_mean_20,0.00013859995294092416,0.0001634917907832,0.0001437242012589748,0.0001910124361389,0.1297709923664122,-0.00036060416359354,0.00057517207838396,-0.000314332660243,0.0005832701302797
ret_vol_20,0.002475054971818137,0.0024021853088251,0.0026691298652179074,0.0024860756882049,0.1297709923664122,0.00174266570923166,0.0032823007395781003,0.00200549752513928,0.00364300771776804
bar_range_pct,0.0031905862582031507,0.0027231467473525,0.003300892400924385,0.0027490297542044,0.1297709923664122,0.00130422183618856,0.0058528808860092395,0.00137007474398638,0.006010905113679502
bar_body_pct,0.001720463074964094,0.0013360053440213,0.0016114625290897665,0.0010065425264217,0.1297709923664122,0.00020469160394542,0.0039497856705450396,0.00013213451742374,0.004238282847854581
body_vs_range,0.5164010499964985,0.5384615384615486,0.45374274392216896,0.4705882352941107,0.1297709923664122,0.11503267973857333,0.888888888888885,0.053869969040214745,0.8660049627791819
