symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_trend_mode,entry_ai_trend_threshold,entry_ai_trend_top_pct,entry_ai_trend_slope_k,entry_ai_signal_bars,entry_ai_trend_bars,entry_ai_allowed,entry_ai_blocked
SBER,59,48534.98615807483,0.04853498615807483,0.576271186440678,170655.5028713258,122120.51671325095,1.397435152293361,-0.027919892512928604,1000000.0,1048534.9861580745,False,,top_pct,0.5065225823563161,0.3,off,,0.3,0.00025,298,0,90,208
GAZP,88,39017.38114954511,0.03901738114954511,0.5227272727272727,251938.58547354184,212921.2043239967,1.1832479826207134,-0.05151967475272924,1000000.0,1039017.3811495441,False,,top_pct,0.5082256285282333,0.3,off,,0.3,0.00025,548,0,168,380
LKOH,66,-59287.79328207521,-0.05928779328207521,0.42424242424242425,115615.5000706244,174903.2933526996,0.6610252892007072,-0.07225575499919382,1000000.0,940712.206717925,False,,top_pct,0.5075192294185299,0.3,off,,0.3,0.00025,397,0,119,278
GMKN,103,100783.80355837605,0.10078380355837604,0.5728155339805825,322367.1808054937,221583.37724711766,1.4548346758248856,-0.029485250525882953,1000000.0,1100783.803558376,False,,top_pct,0.5094932205809476,0.3,off,,0.3,0.00025,689,0,208,481
YNDX,62,-18315.842383287018,-0.01831584238328702,0.4032258064516129,167501.51373392777,185817.35611721477,0.90143093860547,-0.08353043389918605,1000000.0,981684.157616713,False,,top_pct,0.507486077037398,0.3,off,,0.3,0.00025,318,0,96,222
ROSN,76,42781.70834676367,0.04278170834676367,0.5526315789473685,257956.905329508,215175.19698274432,1.1988226754136282,-0.05188175440865472,1000000.0,1042781.7083467636,False,,top_pct,0.5155637234865028,0.3,off,,0.3,0.00025,554,0,166,388
NVTK,127,-21622.35571796905,-0.02162235571796905,0.4881889763779528,301748.72513153305,323371.0808495021,0.9331345410938828,-0.07201105240154645,1000000.0,978377.6442820309,False,,top_pct,0.5093748863499348,0.3,off,,0.3,0.00025,865,0,260,605
NLMK,112,-67465.44955435219,-0.06746544955435219,0.4732142857142857,251794.2901791281,319259.73973348027,0.7886816245271869,-0.09037639347106434,1000000.0,932534.550445648,False,,top_pct,0.5099756373819323,0.3,off,,0.3,0.00025,717,0,215,502
MTSS,59,59609.71570966897,0.05960971570966897,0.559322033898305,211955.3867239825,152345.67101431353,1.391279353806308,-0.05251716303140465,1000000.0,1059609.7157096684,False,,top_pct,0.5140712959684887,0.3,off,,0.3,0.00025,398,0,120,278
TATN,82,13261.176935907071,0.013261176935907072,0.524390243902439,229247.32993842475,215986.15300251768,1.0613982736928163,-0.037747947804098736,1000000.0,1013261.1769359075,False,,top_pct,0.5095563062961763,0.3,off,,0.3,0.00025,536,0,161,375
CHMF,109,-13347.424097503977,-0.013347424097503977,0.48623853211009177,273317.4702436059,286664.89434110984,0.9534389303992644,-0.07166682154461863,1000000.0,986652.5759024958,False,,top_pct,0.5128219353075478,0.3,off,,0.3,0.00025,792,0,238,554
SNGS,101,223844.62025075985,0.22384462025075985,0.6336633663366337,413889.1381609537,190044.51791019383,2.177853603525351,-0.034101626029537584,1000000.0,1223844.6202507606,False,,top_pct,0.5090678296343906,0.3,off,,0.3,0.00025,656,0,198,458
PIKK,140,-75454.11582970354,-0.07545411582970354,0.45714285714285713,313220.01269680256,388674.12852650613,0.8058679230445412,-0.10483888501965484,1000000.0,924545.884170297,False,,top_pct,0.5086353508351106,0.3,off,,0.3,0.00025,1164,0,350,814
PLZL,87,-6258.131783137566,-0.006258131783137566,0.5287356321839081,231897.16933761025,238155.3011207478,0.9737224754028692,-0.0822224040711338,1000000.0,993741.8682168617,False,,top_pct,0.5129854879862341,0.3,off,,0.3,0.00025,738,0,223,515
MGNT,82,54881.390411511406,0.0548813904115114,0.5487804878048781,242456.28313789875,187574.89272638733,1.2925838827031402,-0.028363490907747826,1000000.0,1054881.3904115115,False,,top_pct,0.5108440377546288,0.3,off,,0.3,0.00025,542,0,163,379
VKCO,160,23792.28448812265,0.023792284488122647,0.49375,440788.657836931,416996.3733488084,1.057056334320253,-0.06857031700101322,1000000.0,1023792.2844881221,False,,top_pct,0.5088241735886585,0.3,off,,0.3,0.00025,1361,0,410,951
OZON,101,-8926.995582975054,-0.008926995582975054,0.46534653465346537,245456.92460963211,254383.92019260718,0.9649073904662843,-0.06229135160380469,1000000.0,991073.0044170248,False,,top_pct,0.5068719539876476,0.3,off,,0.3,0.00025,539,0,162,377
