symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final,circuit_breaker_hit,circuit_breaker_time,entry_ai_mode,entry_ai_threshold,entry_ai_top_pct,entry_ai_trend_mode,entry_ai_trend_threshold,entry_ai_trend_top_pct,entry_ai_trend_slope_k,entry_ai_signal_bars,entry_ai_trend_bars,entry_ai_allowed,entry_ai_blocked
SBER,25,30026.916502714932,0.030026916502714933,0.56,86416.15594135674,56389.23943864181,1.5324937311025055,-0.015001316262850102,1000000.0,1030026.9165027146,False,,top_pct,0.5193984200911631,0.1,off,,0.3,0.00025,298,0,30,268
GAZP,38,-13599.52018221402,-0.01359952018221402,0.5,86965.57556557987,100565.09574779388,0.8647689829051612,-0.025181709172635108,1000000.0,986400.479817786,False,,top_pct,0.5190439565699628,0.1,off,,0.3,0.00025,548,0,57,491
LKOH,25,13950.381601529456,0.013950381601529456,0.6,71174.81143361788,57224.42983208843,1.2437836714575148,-0.030849843432469905,1000000.0,1013950.3816015294,False,,top_pct,0.518866904056673,0.1,off,,0.3,0.00025,397,0,40,357
GMKN,38,59897.46021961578,0.05989746021961578,0.6052631578947368,133123.58809570145,73226.12787608567,1.8179793464018081,-0.018535006385731505,1000000.0,1059897.460219616,False,,top_pct,0.5197860404985067,0.1,off,,0.3,0.00025,689,0,69,620
YNDX,24,29336.22586512375,0.02933622586512375,0.5416666666666666,82989.41098975253,53653.185124628784,1.546775103788896,-0.025573918164344855,1000000.0,1029336.2258651239,False,,top_pct,0.5181191435188407,0.1,off,,0.3,0.00025,318,0,32,286
ROSN,23,-10632.211261240802,-0.010632211261240802,0.5652173913043478,54563.28474580393,65195.496007044734,0.8369180094880798,-0.04849446498359916,1000000.0,989367.7887387594,False,,top_pct,0.5222728590247342,0.1,off,,0.3,0.00025,554,0,56,498
NVTK,45,-28090.308650295254,-0.028090308650295253,0.4444444444444444,96578.11212765469,124668.42077794996,0.774679838927874,-0.04732773506156989,1000000.0,971909.6913497049,False,,top_pct,0.5201267891491709,0.1,off,,0.3,0.00025,865,0,90,775
NLMK,41,-36196.03969025253,-0.036196039690252535,0.4634146341463415,88151.58562510781,124347.62531536035,0.7089124975370049,-0.07170459676828403,1000000.0,963803.9603097471,False,,top_pct,0.5201267891491709,0.1,off,,0.3,0.00025,717,0,73,644
MTSS,17,9438.202553009887,0.009438202553009888,0.6470588235294118,41704.76573712974,32266.56318411985,1.292507215570295,-0.014962876447351108,1000000.0,1009438.2025530098,False,,top_pct,0.5220754432281552,0.1,off,,0.3,0.00025,398,0,41,357
TATN,28,-23839.781151874697,-0.023839781151874698,0.42857142857142855,55450.999965062285,79290.78111693698,0.6993372897069067,-0.03714624164680741,1000000.0,976160.2188481252,False,,top_pct,0.520923849141407,0.1,off,,0.3,0.00025,536,0,54,482
CHMF,43,62277.357939051195,0.062277357939051196,0.627906976744186,146343.22956395574,84065.87162490455,1.7408161806366318,-0.019963628007424954,1000000.0,1062277.3579390515,False,,top_pct,0.5203775443926064,0.1,off,,0.3,0.00025,792,0,80,712
SNGS,36,83831.26573041388,0.08383126573041388,0.6666666666666666,150693.60979250175,66862.34406208785,2.2537889137205367,-0.02085334299999999,1000000.0,1083831.2657304134,False,,top_pct,0.5195777900852209,0.1,off,,0.3,0.00025,656,0,73,583
PIKK,45,-1983.0396561282064,-0.0019830396561282063,0.4888888888888889,129592.2972538308,131575.336909959,0.9849284850588278,-0.040843567260822396,1000000.0,998016.9603438717,False,,top_pct,0.5200882518140956,0.1,off,,0.3,0.00025,1164,0,121,1043
PLZL,30,-19480.628883263627,-0.01948062888326363,0.5333333333333333,71051.41622349886,90532.0451067625,0.7848206250031075,-0.033041968780253235,1000000.0,980519.3711167364,False,,top_pct,0.5200882518140956,0.1,off,,0.3,0.00025,738,0,75,663
MGNT,28,13963.723387271228,0.013963723387271228,0.5714285714285714,70718.57135251095,56754.84796523972,1.2460357817507237,-0.018963575360135626,1000000.0,1013963.7233872709,False,,top_pct,0.5200249813816098,0.1,off,,0.3,0.00025,542,0,55,487
VKCO,61,-14255.00928471744,-0.01425500928471744,0.45901639344262296,169748.1358233229,184003.14510804033,0.9225284476721993,-0.06230851646156442,1000000.0,985744.9907152827,False,,top_pct,0.5184694392923351,0.1,off,,0.3,0.00025,1361,0,137,1224
OZON,47,35094.41064619891,0.035094410646198906,0.5531914893617021,148254.0759580602,113159.66531186127,1.310131799607933,-0.020468827305635796,1000000.0,1035094.4106461992,False,,top_pct,0.5158766223754955,0.1,off,,0.3,0.00025,539,0,54,485
