begin,open,high,low,close,volume,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout
2022-01-03 06:50:00+00:00,39.9,39.9,39.9,39.9,2100,0.0,,,,,False
2022-01-03 07:00:00+00:00,39.9,40.125,39.76,39.96,215300,0.0,,,,,False
2022-01-03 07:10:00+00:00,39.91,39.99,39.9,39.91,71900,0.0,,,,,False
2022-01-03 07:20:00+00:00,39.915,40.045,39.91,39.99,100800,0.0,,,,,False
2022-01-03 07:30:00+00:00,40.0,40.0,39.95,39.955,32900,0.0,,,,,False
2022-01-03 07:40:00+00:00,39.98,40.02,39.945,39.945,58500,0.0,,,,,False
2022-01-03 07:50:00+00:00,39.94,40.02,39.93,39.995,18600,0.0,,,,,False
2022-01-03 08:00:00+00:00,39.995,40.02,39.98,39.98,21700,0.0,,,,,False
2022-01-03 08:10:00+00:00,39.97,39.975,39.9,39.93,71000,0.0,,,,,False
2022-01-03 08:20:00+00:00,39.93,39.96,39.91,39.92,51100,0.0,,,,,False
2022-01-03 08:30:00+00:00,39.945,39.96,39.92,39.935,19300,0.0,,,,,False
2022-01-03 08:40:00+00:00,39.935,40.045,39.925,40.045,69800,0.0,,,,,False
2022-01-03 08:50:00+00:00,40.045,40.105,40.045,40.07,88300,0.0,,,,,False
2022-01-03 09:00:00+00:00,40.07,40.13,40.05,40.065,85000,0.0,,,,,False
2022-01-03 09:10:00+00:00,40.075,40.075,40.01,40.01,38300,0.0,,,,,False
2022-01-03 09:20:00+00:00,40.01,40.08,40.01,40.065,30600,0.0,,,,,False
2022-01-03 09:30:00+00:00,40.045,40.05,39.905,39.96,238900,0.0,,,,,False
2022-01-03 09:40:00+00:00,39.92,39.995,39.91,39.965,121400,0.0,,,,,False
2022-01-03 09:50:00+00:00,39.985,40.0,39.915,39.935,121600,0.0,,,,,False
2022-01-03 10:00:00+00:00,39.92,39.945,39.715,39.8,1410800,0.0,,,,,False
2022-01-03 10:10:00+00:00,39.8,39.97,39.785,39.87,1248400,0.0,,,,,True
2022-01-03 10:20:00+00:00,39.89,39.92,39.785,39.785,525300,0.0,,,,,True
2022-01-03 10:30:00+00:00,39.835,39.99,39.83,39.955,776500,0.0,,,,,False
2022-01-03 10:40:00+00:00,39.96,39.965,39.85,39.875,743300,0.0,,,,,False
2022-01-03 10:50:00+00:00,39.87,39.91,39.575,39.62,1676500,0.0,,,,,True
2022-01-03 11:00:00+00:00,39.635,39.83,39.61,39.71,962700,0.0,,,,,True
2022-01-03 11:10:00+00:00,39.75,39.75,39.67,39.725,398100,0.0,,,,,True
2022-01-03 11:20:00+00:00,39.725,39.75,39.665,39.745,282300,0.0,,,,,True
2022-01-03 11:30:00+00:00,39.745,39.84,39.745,39.75,388600,0.0,,,,,False
2022-01-03 11:40:00+00:00,39.775,39.835,39.75,39.795,656800,0.0,,,,,False
2022-01-03 11:50:00+00:00,39.775,39.83,39.765,39.785,140200,0.0,,,,,False
2022-01-03 12:00:00+00:00,39.79,39.805,39.75,39.8,87700,0.0,,,,,False
2022-01-03 12:10:00+00:00,39.8,39.8,39.75,39.785,88500,0.0,,,,,False
2022-01-03 12:20:00+00:00,39.79,39.79,39.665,39.74,442300,0.0,,,,,False
2022-01-03 12:30:00+00:00,39.74,39.785,39.72,39.785,81200,0.0,,,,,False
2022-01-03 12:40:00+00:00,39.765,39.77,39.72,39.74,61600,0.0,,,,,False
2022-01-03 12:50:00+00:00,39.75,39.79,39.7,39.715,178700,0.0,,,,,False
2022-01-03 13:00:00+00:00,39.72,39.735,39.665,39.685,85500,0.0,,,,,True
2022-01-03 13:10:00+00:00,39.665,39.745,39.625,39.71,211300,0.0,,,,,False
2022-01-03 13:20:00+00:00,39.71,39.755,39.685,39.755,200700,0.0,,,,,False
2022-01-03 13:30:00+00:00,39.745,39.745,39.7,39.715,79400,0.0,,,,,False
2022-01-03 13:40:00+00:00,39.7,39.72,39.655,39.7,226300,0.0,,,,,False
