symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held,entry_reason,exit_reason,post_circuit_breaker,entry_geo_class,entry_geo_valid_box,entry_geo_h_pct,entry_atr_pct,entry_slope_pct_per_bar,entry_dist_L_pct,entry_dist_U_pct
SNGS,1,2022-01-06 13:10:00+00:00,2022-01-06 21:10:00+00:00,38.985,38.965,17955.623957932537,-359.1124791585793,-0.00035911247915857927,48,v3_long,timeout,False,A,True,0.01873957130021812,0.003857352275567616,,0.1643835616438328,0.8356164383561672
SNGS,-1,2022-01-12 20:50:00+00:00,2022-01-13 06:50:00+00:00,40.805,40.95,17148.59995747063,-2486.546993833295,-0.0024874402646735006,60,v3_short,timeout,False,A,True,0.01409141036637674,0.003395942374008791,0.000252420046562918,0.8782608695652175,0.1217391304347825
SNGS,-1,2022-01-20 10:20:00+00:00,2022-01-20 10:20:00+00:00,36.85,36.545,18941.873497120916,5777.271416621874,0.005793758480325639,0,v3_short,opposite_signal,False,A,True,0.02385147038894166,0.005511135203505429,8.94430139585305e-05,0.7159090909090917,0.2840909090909083
SNGS,1,2022-01-20 21:40:00+00:00,2022-01-21 06:50:00+00:00,36.405,36.2,19284.497414106332,-3953.321969891765,-0.003941766240900943,55,v3_long,timeout,False,A,True,0.014556440538313682,0.003581657876004014,-2.0598736610821986e-05,0.08490566037736152,0.9150943396226384
SNGS,-1,2022-01-21 11:00:00+00:00,2022-01-21 14:10:00+00:00,36.225,35.681625000000004,19303.928308671268,10489.2720447242,0.010499999999999949,19,v3_short,tp,False,A,True,0.015873015873015754,0.004941338854382318,-0.0001366459627329205,0.7739130434782671,0.22608695652173288
SNGS,-1,2022-01-25 21:00:00+00:00,2022-01-25 21:30:00+00:00,34.6,34.946000000000005,20422.754144882187,-7066.272934129311,-0.007000000000000073,3,v3_short,sl,False,A,True,0.021817656408033393,0.004482070244656165,-9.391706400809215e-05,0.9205298013245092,0.07947019867549077
SNGS,-1,2022-01-28 20:20:00+00:00,2022-01-31 06:50:00+00:00,36.01,36.07,19485.723475674346,-1169.143408540505,-0.0011663426825882141,351,v3_short,timeout,False,A,True,0.011522976537553773,0.0034594429191918434,0.0001249479383590139,0.626506024096382,0.373493975903618
SNGS,-1,2022-02-01 11:40:00+00:00,2022-02-01 17:40:00+00:00,36.54,35.9919,19180.69244589641,10512.937529595783,0.01049999999999996,36,v3_short,tp,False,A,True,0.015051997810618617,0.003760640205348892,,0.9636363636363582,0.03636363636364177
SNGS,1,2022-02-02 19:20:00+00:00,2022-02-03 06:50:00+00:00,35.76,35.76,19804.85341845,0.0,0.0,69,v3_long,timeout,False,A,True,0.028107956929100696,0.003444644533802883,6.572507341630525e-05,0.08955223880596688,0.9104477611940331
SNGS,-1,2022-02-03 11:50:00+00:00,2022-02-03 19:50:00+00:00,35.72,35.395,19827.03130581668,6443.785174390337,0.006368980963045829,48,v3_short,timeout,False,A,True,0.01471206389239172,0.0031432441268506926,,0.7619047619047613,0.23809523809523875
SNGS,-1,2022-02-04 19:40:00+00:00,2022-02-07 06:50:00+00:00,36.085,36.075,19751.481442866705,197.51481442862774,0.00019398642095049486,355,v3_short,timeout,False,A,True,0.013032025509496711,0.0032594210566522373,-5.96145847774821e-05,0.9361702127659549,0.06382978723404513
SNGS,-1,2022-02-09 10:40:00+00:00,2022-02-09 16:30:00+00:00,36.9,36.3465,19318.982879022904,10693.057023539171,0.010499999999999995,35,v3_short,tp,False,A,True,0.010971149939049197,0.003079930981278935,9.7521332791548e-05,0.5061728395061672,0.4938271604938328
SNGS,1,2022-02-15 19:20:00+00:00,2022-02-16 06:50:00+00:00,35.735,36.145,20158.265234431863,8264.888746117138,0.00803134182174346,69,v3_long,timeout,False,A,True,0.011193507765495972,0.004625888413291716,0.00030082552119770214,0.17500000000000132,0.8249999999999986
SNGS,-1,2022-02-17 11:00:00+00:00,2022-02-17 16:40:00+00:00,35.48,34.947799999999994,20466.207166705317,10892.115454120634,0.010500000000000063,34,v3_short,tp,False,A,True,0.01267605633802825,0.003492957746478883,-0.00022816901408450767,0.733333333333325,0.2666666666666751
SNGS,-1,2022-02-18 10:20:00+00:00,2022-02-18 10:20:00+00:00,35.11,35.09,20899.046171819682,417.9809234363105,0.0003987467957845974,0,v3_short,opposite_signal,False,A,True,0.011098463289698365,0.003333604358077913,0.00013801935116676135,0.28205128205128016,0.7179487179487198
SNGS,-1,2022-09-28 22:20:00+00:00,2022-09-29 09:50:00+00:00,18.265,18.415,40189.32919457949,-6028.399379186867,-0.005748699698877581,69,v3_short,timeout,False,A,True,0.011220580186097335,0.005132759179205342,-0.00030377668308702776,0.9756097560975656,0.024390243902434376
SNGS,1,2022-10-06 23:40:00+00:00,2022-10-07 09:50:00+00:00,18.565,18.5,39312.589182524294,-2555.3182968641295,-0.0024508483705898676,61,v3_long,timeout,False,A,True,0.00646377592243455,0.003264866409801174,-0.00016159439806086567,0.0,1.0
SNGS,-1,2022-10-10 21:50:00+00:00,2022-10-11 09:50:00+00:00,18.36,18.4,39654.111948026075,-1586.1644779210092,-0.0015250544662309044,72,v3_short,timeout,False,A,True,0.010348583877995712,0.005190965274998906,0.0005392156862745071,0.5789473684210458,0.4210526315789543
SNGS,-1,2022-10-11 13:20:00+00:00,2022-10-11 21:20:00+00:00,18.575,18.68,39135.35290612188,-4109.212055142814,-0.003956931359353986,48,v3_short,timeout,False,A,True,0.02664155005382137,0.006138192629043005,,0.757575757575756,0.24242424242424396
SNGS,-1,2022-10-13 13:20:00+00:00,2022-10-13 13:50:00+00:00,18.78,18.9678,38554.99104327017,-7240.627317926112,-0.006999999999999972,3,v3_short,sl,False,A,True,0.03033528472591806,0.0050685521680731895,,0.7017543859649157,0.2982456140350843
SNGS,-1,2022-10-18 13:20:00+00:00,2022-10-18 14:30:00+00:00,19.66,19.365099999999998,36571.428925232234,10784.914390051057,0.01050000000000007,7,v3_short,tp,False,A,True,0.024415055951169728,0.005449789274814698,,0.6458333333333349,0.35416666666666513
SNGS,-1,2022-10-25 22:50:00+00:00,2022-10-26 09:50:00+00:00,20.74,20.8,35031.03822290749,-2101.862293374529,-0.0020250723240116484,66,v3_short,timeout,False,A,True,0.00867888138862101,0.0033013205282112815,0.0004508196721311487,0.7499999999999901,0.2500000000000099
SNGS,-1,2022-10-28 13:20:00+00:00,2022-10-28 14:00:00+00:00,21.08,21.290799999999997,34396.225291164104,-7250.724291377358,-0.006999999999999966,4,v3_short,sl,False,A,True,0.01707779886148005,0.003512695400740933,,0.8888888888888812,0.1111111111111188
SNGS,-1,2022-11-11 13:20:00+00:00,2022-11-11 21:20:00+00:00,22.02,21.855,32697.40790798252,5395.072304817088,0.0052452316076294,48,v3_short,timeout,False,A,True,0.02703316674238993,0.005668419116851657,,0.831932773109242,0.168067226890758
SNGS,-1,2022-12-20 13:20:00+00:00,2022-12-20 19:00:00+00:00,22.095,22.315949999999997,32757.342056897356,-7237.734727471419,-0.006999999999999951,34,v3_short,sl,False,A,True,0.03982801538809697,0.0046228946432612565,,0.6704545454545433,0.32954545454545664
SNGS,-1,2022-12-29 13:20:00+00:00,2022-12-29 21:20:00+00:00,21.705,21.825,33112.511330933754,-3973.5013597120833,-0.0038700760193504124,48,v3_short,timeout,False,A,True,0.015200368493781752,0.0033449584347787988,,0.7727272727272654,0.22727272727273462
SNGS,-1,2023-01-10 13:20:00+00:00,2023-01-10 21:20:00+00:00,21.52,21.47,33267.91856348135,1663.395928174091,0.001626394052044633,48,v3_short,timeout,False,A,True,0.02277480827329779,0.0038732667131458755,,0.7959183673469367,0.20408163265306328
SNGS,-1,2023-01-30 23:30:00+00:00,2023-01-31 09:50:00+00:00,23.15,23.16,30975.80927152659,-309.7580927153143,-0.00030237580993525246,62,v3_short,timeout,False,A,True,0.006263498920086375,0.0030722440163970612,6.695464362851021e-05,0.6896551724137804,0.31034482758621956
SNGS,-1,2023-03-22 13:20:00+00:00,2023-03-22 21:20:00+00:00,23.06,23.0,31087.30069258195,1865.2380415548773,0.0018213356461404641,48,v3_short,timeout,False,A,True,0.01431049436253245,0.003252385082393769,,0.6363636363636315,0.36363636363636853
SNGS,-1,2023-04-06 13:20:00+00:00,2023-04-06 16:00:00+00:00,25.38,24.999299999999998,28297.037848700882,10772.682309000453,0.010500000000000028,16,v3_short,tp,False,A,True,0.01753349093774627,0.00498142519419116,,0.6966292134831428,0.3033707865168572
SNGS,-1,2023-05-04 13:20:00+00:00,2023-05-04 21:20:00+00:00,23.535,23.5,30835.763680319887,1079.2517288112003,0.0010410027618440662,48,v3_short,timeout,False,A,True,0.019974500637484013,0.00394632991318074,,0.393617021276594,0.6063829787234061
