symbol,trades,total_pnl,total_return,win_rate,gross_profit,gross_loss,pf,max_drawdown,equity0,equity_final
SBER,3,-50336.80726038803,-0.05033680726038803,0.0,0.0,50336.80726038803,0.0,-0.05033680726038804,1000000.0,949663.192739612
GAZP,3,-24631.16713833309,-0.02463116713833309,0.0,0.0,24631.16713833309,0.0,-0.024631167138333084,1000000.0,975368.8328616669
LKOH,5,-57737.50378934248,-0.05773750378934248,0.2,9922.628593475672,67660.13238281815,0.14665399318662078,-0.062204032859775035,1000000.0,942262.4962106574
GMKN,5,-23739.08990954403,-0.02373908990954403,0.2,9923.296294323633,33662.38620386766,0.2947888552589742,-0.02876433049694198,1000000.0,976260.9100904561
YNDX,11,-72465.2204555295,-0.0724652204555295,0.36363636363636365,27510.547695681773,99975.76815121128,0.27517215625763075,-0.0863848007369279,1000000.0,927534.7795444705
ROSN,10,-8196.88438829023,-0.00819688438829023,0.3,38675.69229615571,46872.576684445936,0.8251240924203286,-0.0357737012539112,1000000.0,991803.1156117098
NVTK,14,-7080.3341495265695,-0.00708033414952657,0.5714285714285714,72107.15699250471,79187.49114203129,0.9105877197595863,-0.03405637254901967,1000000.0,992919.6658504735
NLMK,20,13907.869506504967,0.013907869506504966,0.4,79348.30747823698,65440.43797173202,1.212527145868319,-0.02297071876342442,1000000.0,1013907.8695065049
MTSS,3,-36840.0596667424,-0.036840059666742406,0.0,0.0,36840.0596667424,0.0,-0.036840059666742336,1000000.0,963159.9403332577
TATN,5,-76395.93616980452,-0.07639593616980453,0.2,13466.593486278069,89862.5296560826,0.14985771642326057,-0.07639593616980442,1000000.0,923604.0638301956
CHMF,3,-26725.98682118677,-0.026725986821186768,0.0,0.0,26725.98682118677,0.0,-0.026725986821186844,1000000.0,973274.0131788132
SNGS,13,-43467.730922048824,-0.04346773092204882,0.38461538461538464,70827.6541703628,114295.38509241161,0.6196895361356567,-0.062494936594884,1000000.0,956532.2690779509
PIKK,11,-31886.04399427206,-0.031886043994272056,0.36363636363636365,29743.549253927577,61629.593248199635,0.4826179711123838,-0.04988602372747908,1000000.0,968113.9560057281
PLZL,13,-62177.71351187123,-0.062177713511871235,0.3076923076923077,57789.62932646404,119967.34283833527,0.4817113387627479,-0.06217771351187117,1000000.0,937822.2864881288
MGNT,17,-50937.77367727694,-0.05093777367727694,0.5882352941176471,54530.90266107034,105468.67633834729,0.5170341048571924,-0.06994454497519298,1000000.0,949062.2263227231
VKCO,5,-68137.94680069525,-0.06813794680069525,0.2,7083.950359787273,75221.89716048252,0.09417404542023163,-0.06813794680069526,1000000.0,931862.0531993047
OZON,6,17734.137172938776,0.017734137172938775,0.5,40076.66404119496,22342.526868256187,1.7937391002149843,-0.021481615385393574,1000000.0,1017734.1371729388
